"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","correct","locations","target_present","set_size","task","correct_response","target","foilCM","setSizeCM","searchCondition"
"true","false","[]","[]","[]","preload","0","69793","0.0-0.0","58dd9fe2e75d9c00011c24a9","619531dcf66c91622fa1b861","6195957291e5bff67dc1baac","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","86410","0.0-1.0","58dd9fe2e75d9c00011c24a9","619531dcf66c91622fa1b861","6195957291e5bff67dc1baac","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","98506","0.0-2.0","58dd9fe2e75d9c00011c24a9","619531dcf66c91622fa1b861","6195957291e5bff67dc1baac","12093.79999999702","What a beautiful Thursday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.
    <p> [Press any key to continue.] </p>
    
    ","n","","","","","","","","","",""
"","","","","","video-keyboard-response","3","169433","0.0-3.0","58dd9fe2e75d9c00011c24a9","619531dcf66c91622fa1b861","6195957291e5bff67dc1baac","70918.79999999702","[""video/TaskInstructions.mp4""]"," ","","","","","","","","","",""
"","","","","","html-keyboard-response","4","175240","0.0-4.0","58dd9fe2e75d9c00011c24a9","619531dcf66c91622fa1b861","6195957291e5bff67dc1baac","5804.79999999702","
    <p>First, we're going to do a few practice trials to make sure you understand the task. You will recieve feedback on each trial. </p>
    <p>[Press any key to begin the familiarization phase.]</p>
    ","j","","","","","","","","","",""
"","","","","","visual-search-circle","5","183495","0.0-5.0-0.0","58dd9fe2e75d9c00011c24a9","619531dcf66c91622fa1b861","6195957291e5bff67dc1baac","7181.89999999851","","s","false","[[397,16],[16,202],[202,583],[583,397]]","true","4","training","d","","","",""
"","","","","","html-keyboard-response","6","200168","0.0-6.0","58dd9fe2e75d9c00011c24a9","619531dcf66c91622fa1b861","6195957291e5bff67dc1baac","16670.800000000745"," <div style='float: center;'><img src='img/feedbackWrong.png'></img> </div> ","n","","","","","","","","","",""
"","","","","","visual-search-circle","7","208455","0.0-7.0-0.0","58dd9fe2e75d9c00011c24a9","619531dcf66c91622fa1b861","6195957291e5bff67dc1baac","7275.199999999255","","s","true","[[168,569],[569,431],[431,30],[30,168]]","false","4","training","s","","","",""
"","","","","","html-keyboard-response","8","212193","0.0-8.0","58dd9fe2e75d9c00011c24a9","619531dcf66c91622fa1b861","6195957291e5bff67dc1baac","3734.400000002235"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","9","217278","0.0-9.0-0.0","58dd9fe2e75d9c00011c24a9","619531dcf66c91622fa1b861","6195957291e5bff67dc1baac","4074.7999999970198","","d","false","[[548,132],[279,0],[30,168],[51,467],[320,599],[569,431]]","false","6","training","s","","","",""
