"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","correct","locations","target_present","set_size","task","correct_response","target","foilCM","setSizeCM","searchCondition"
"true","false","[]","[]","[]","preload","0","6986","0.0-0.0","598fa1b80675b100014dacf3","619531dcf66c91622fa1b861","619595779d61d08dbfa295d3","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","17990","0.0-1.0","598fa1b80675b100014dacf3","619531dcf66c91622fa1b861","619595779d61d08dbfa295d3","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","26318","0.0-2.0","598fa1b80675b100014dacf3","619531dcf66c91622fa1b861","619595779d61d08dbfa295d3","8326.599999999627","What a beautiful Thursday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.
    <p> [Press any key to continue.] </p>
    
    "," ","","","","","","","","","",""
"","","","","","video-keyboard-response","3","63585","0.0-3.0","598fa1b80675b100014dacf3","619531dcf66c91622fa1b861","619595779d61d08dbfa295d3","37263.89999999851","[""video/TaskInstructions.mp4""]"," ","","","","","","","","","",""
"","","","","","html-keyboard-response","4","69999","0.0-4.0","598fa1b80675b100014dacf3","619531dcf66c91622fa1b861","619595779d61d08dbfa295d3","6414.5","
    <p>First, we're going to do a few practice trials to make sure you understand the task. You will recieve feedback on each trial. </p>
    <p>[Press any key to begin the familiarization phase.]</p>
    "," ","","","","","","","","","",""
"","","","","","visual-search-circle","5","75537","0.0-5.0-0.0","598fa1b80675b100014dacf3","619531dcf66c91622fa1b861","619595779d61d08dbfa295d3","4481.5","","d","true","[[519,95],[95,80],[80,504],[504,519]]","true","4","training","d","","","",""
"","","","","","html-keyboard-response","6","79007","0.0-6.0","598fa1b80675b100014dacf3","619531dcf66c91622fa1b861","619595779d61d08dbfa295d3","3469.300000000745"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","7","83815","0.0-7.0-0.0","598fa1b80675b100014dacf3","619531dcf66c91622fa1b861","619595779d61d08dbfa295d3","3805.89999999851","","d","false","[[141,554],[554,458],[458,45],[45,141]]","false","4","training","s","","","",""
"","","","","","html-keyboard-response","8","87568","0.0-8.0","598fa1b80675b100014dacf3","619531dcf66c91622fa1b861","619595779d61d08dbfa295d3","3751.4000000003725"," <div style='float: center;'><img src='img/feedbackWrong.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","9","95944","0.0-9.0-0.0","598fa1b80675b100014dacf3","619531dcf66c91622fa1b861","619595779d61d08dbfa295d3","7373","","s","true","[[222,10],[10,222],[87,512],[377,589],[589,377],[512,87]]","false","6","training","s","","","",""
