"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","correct","locations","target_present","set_size","task","correct_response","target","foilCM","setSizeCM","searchCondition"
"true","false","[]","[]","[]","preload","0","33342","0.0-0.0","5c42aad91474820001508980","619531dcf66c91622fa1b861","6195956bd7c3d188c4d585ed","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","39403","0.0-1.0","5c42aad91474820001508980","619531dcf66c91622fa1b861","6195956bd7c3d188c4d585ed","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","55405","0.0-2.0","5c42aad91474820001508980","619531dcf66c91622fa1b861","6195956bd7c3d188c4d585ed","15989","What a beautiful Thursday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.
    <p> [Press any key to continue.] </p>
    
    "," ","","","","","","","","","",""
"","","","","","video-keyboard-response","3","87407","0.0-3.0","5c42aad91474820001508980","619531dcf66c91622fa1b861","6195956bd7c3d188c4d585ed","31916","[""video/TaskInstructions.mp4""]"," ","","","","","","","","","",""
"","","","","","html-keyboard-response","4","89589","0.0-4.0","5c42aad91474820001508980","619531dcf66c91622fa1b861","6195956bd7c3d188c4d585ed","2180","
    <p>First, we're going to do a few practice trials to make sure you understand the task. You will recieve feedback on each trial. </p>
    <p>[Press any key to begin the familiarization phase.]</p>
    "," ","","","","","","","","","",""
"","","","","","visual-search-circle","5","94326","0.0-5.0-0.0","5c42aad91474820001508980","619531dcf66c91622fa1b861","6195956bd7c3d188c4d585ed","3647","","d","true","[[95,519],[519,504],[504,80],[80,95]]","true","4","training","d","","","",""
"","","","","","html-keyboard-response","6","101475","0.0-6.0","5c42aad91474820001508980","619531dcf66c91622fa1b861","6195956bd7c3d188c4d585ed","7139"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","enter","","","","","","","","","",""
"","","","","","visual-search-circle","7","104727","0.0-7.0-0.0","5c42aad91474820001508980","619531dcf66c91622fa1b861","6195956bd7c3d188c4d585ed","2216","","d","false","[[187,578],[578,412],[412,21],[21,187]]","false","4","training","s","","","",""
"","","","","","html-keyboard-response","8","107772","0.0-8.0","5c42aad91474820001508980","619531dcf66c91622fa1b861","6195956bd7c3d188c4d585ed","3041"," <div style='float: center;'><img src='img/feedbackWrong.png'></img> </div> ","enter","","","","","","","","","",""
"","","","","","visual-search-circle","9","110179","0.0-9.0-0.0","5c42aad91474820001508980","619531dcf66c91622fa1b861","6195956bd7c3d188c4d585ed","1387","","s","true","[[594,242],[397,16],[103,73],[5,357],[202,583],[496,526]]","false","6","training","s","","","",""
"","","","","","html-keyboard-response","10","112212","0.0-10.0","5c42aad91474820001508980","619531dcf66c91622fa1b861","6195956bd7c3d188c4d585ed","2026"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","11","114629","0.0-11.0-0.0","5c42aad91474820001508980","619531dcf66c91622fa1b861","6195956bd7c3d188c4d585ed","1382","","s","false","[[336,597],[536,484],[597,263],[484,63],[263,2],[63,115],[2,336],[115,536]]","true","8","training","d","","","",""
"","","","","","html-keyboard-response","12","115442","0.0-12.0","5c42aad91474820001508980","619531dcf66c91622fa1b861","6195956bd7c3d188c4d585ed","808"," <div style='float: center;'><img src='img/feedbackWrong.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","video-keyboard-response","13","121686","0.0-13.0","5c42aad91474820001508980","619531dcf66c91622fa1b861","6195956bd7c3d188c4d585ed","6231","[""video/endTraining.mp4""]"," ","","","","","","","","","",""
"","","","","","html-keyboard-response","14","121688","0.0-14.0-0.0-0.0","5c42aad91474820001508980","619531dcf66c91622fa1b861","6195956bd7c3d188c4d585ed","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","15","123717","0.0-14.0-0.0-1.0","5c42aad91474820001508980","619531dcf66c91622fa1b861","6195956bd7c3d188c4d585ed","1008","","s","false","[[562,154],[349,4],[99,76],[0,317],[126,544],[383,588],[577,414]]","true","7","main_T2_Trial","d","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","7","targetDown_distractorsUp"
"","","","","","html-keyboard-response","16","123722","0.0-14.0-0.0-0.1","5c42aad91474820001508980","619531dcf66c91622fa1b861","6195956bd7c3d188c4d585ed","null","","null","","","","","main_T1_ITI","","","","",""
