"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","correct","locations","target_present","set_size","task","correct_response","target","foilCM","setSizeCM","searchCondition"
"true","false","[]","[]","[]","preload","0","16236","0.0-0.0","5d8cbd29cad5dc0015e66f9e","619531dcf66c91622fa1b861","619596fd4956c4e25123b605","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","20485","0.0-1.0","5d8cbd29cad5dc0015e66f9e","619531dcf66c91622fa1b861","619596fd4956c4e25123b605","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","25429","0.0-2.0","5d8cbd29cad5dc0015e66f9e","619531dcf66c91622fa1b861","619596fd4956c4e25123b605","4939.79999999702","What a beautiful Wednesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.
    <p> [Press any key to continue.] </p>
    
    "," ","","","","","","","","","",""
"","","","","","video-keyboard-response","3","57429","0.0-3.0","5d8cbd29cad5dc0015e66f9e","619531dcf66c91622fa1b861","619596fd4956c4e25123b605","31995","[""video/TaskInstructions.mp4""]"," ","","","","","","","","","",""
"","","","","","html-keyboard-response","4","61645","0.0-4.0","5d8cbd29cad5dc0015e66f9e","619531dcf66c91622fa1b861","619596fd4956c4e25123b605","4214.5","
    <p>First, we're going to do a few practice trials to make sure you understand the task. You will recieve feedback on each trial. </p>
    <p>[Press any key to begin the familiarization phase.]</p>
    "," ","","","","","","","","","",""
"","","","","","visual-search-circle","5","65633","0.0-5.0-0.0","5d8cbd29cad5dc0015e66f9e","619531dcf66c91622fa1b861","619596fd4956c4e25123b605","2897.300000011921","","s","false","[[545,472],[472,54],[54,127],[127,545]]","true","4","training","d","","","",""
"","","","","","html-keyboard-response","6","67214","0.0-6.0","5d8cbd29cad5dc0015e66f9e","619531dcf66c91622fa1b861","619596fd4956c4e25123b605","1579.7000000029802"," <div style='float: center;'><img src='img/feedbackWrong.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","7","71056","0.0-7.0-0.0","5d8cbd29cad5dc0015e66f9e","619531dcf66c91622fa1b861","619596fd4956c4e25123b605","2809.2999999970198","","s","true","[[488,533],[533,111],[111,66],[66,488]]","false","4","training","s","","","",""
"","","","","","html-keyboard-response","8","72345","0.0-8.0","5d8cbd29cad5dc0015e66f9e","619531dcf66c91622fa1b861","619596fd4956c4e25123b605","1287.7999999970198"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","9","75454","0.0-9.0-0.0","5d8cbd29cad5dc0015e66f9e","619531dcf66c91622fa1b861","619596fd4956c4e25123b605","2093.7999999970198","","s","true","[[299,600],[559,450],[559,150],[300,0],[40,150],[40,449]]","false","6","training","s","","","",""
"","","","","","html-keyboard-response","10","78270","0.0-10.0","5d8cbd29cad5dc0015e66f9e","619531dcf66c91622fa1b861","619596fd4956c4e25123b605","2813.7999999970198"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","11","80811","0.0-11.0-0.0","5d8cbd29cad5dc0015e66f9e","619531dcf66c91622fa1b861","619596fd4956c4e25123b605","1528.2000000029802","","d","true","[[562,154],[382,11],[154,37],[11,217],[37,445],[217,588],[445,562],[588,382]]","true","8","training","d","","","",""
"","","","","","html-keyboard-response","12","81994","0.0-12.0","5d8cbd29cad5dc0015e66f9e","619531dcf66c91622fa1b861","619596fd4956c4e25123b605","1181.9000000059605"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","video-keyboard-response","13","88599","0.0-13.0","5d8cbd29cad5dc0015e66f9e","619531dcf66c91622fa1b861","619596fd4956c4e25123b605","6602.199999988079","[""video/endTraining.mp4""]"," ","","","","","","","","","",""
"","","","","","html-keyboard-response","14","88603","0.0-14.0-0.0-0.0","5d8cbd29cad5dc0015e66f9e","619531dcf66c91622fa1b861","619596fd4956c4e25123b605","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","15","90849","0.0-14.0-0.0-1.0","5d8cbd29cad5dc0015e66f9e","619531dcf66c91622fa1b861","619596fd4956c4e25123b605","1221.1000000089407","","d","true","[[598,268],[268,1],[1,331],[331,598]]","true","4","main_T2_Trial","d","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","4","targetUp_distractorsDown"
"","","","","","html-keyboard-response","16","90856","0.0-14.0-0.0-0.1","5d8cbd29cad5dc0015e66f9e","619531dcf66c91622fa1b861","619596fd4956c4e25123b605","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","17","93394","0.0-14.0-0.0-1.1","5d8cbd29cad5dc0015e66f9e","619531dcf66c91622fa1b861","619596fd4956c4e25123b605","1514.2000000029802","","s","true","[[597,263],[357,5],[37,154],[80,504],[426,571]]","false","5","main_T2_Trial","s","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","5","targetUp_distractorsDown"
"","","","","","html-keyboard-response","18","93395","0.0-14.0-0.0-0.2","5d8cbd29cad5dc0015e66f9e","619531dcf66c91622fa1b861","619596fd4956c4e25123b605","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","19","96197","0.0-14.0-0.0-1.2","5d8cbd29cad5dc0015e66f9e","619531dcf66c91622fa1b861","619596fd4956c4e25123b605","1776.7999999970198","","s","true","[[42,145],[18,404],[206,585],[464,550],[598,327],[507,83],[260,2]]","false","7","main_T2_Trial","s","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","7","targetDown_distractorsUp"
"","","","","","html-keyboard-response","20","96200","0.0-14.0-0.0-0.3","5d8cbd29cad5dc0015e66f9e","619531dcf66c91622fa1b861","619596fd4956c4e25123b605","null","","null","","","","","main_T1_ITI","","","","",""
