"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","correct","locations","target_present","set_size","task","correct_response","target","foilCM","setSizeCM","searchCondition"
"true","false","[]","[]","[]","preload","0","222299","0.0-0.0","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","758612","0.0-1.0","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","764814","0.0-2.0","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","6199.60000000149","What a beautiful Wednesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.
    <p> [Press any key to continue.] </p>
    
    "," ","","","","","","","","","",""
"","","","","","video-keyboard-response","3","798467","0.0-3.0","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","33648.29999999702","[""video/TaskInstructions.mp4""]"," ","","","","","","","","","",""
"","","","","","html-keyboard-response","4","803992","0.0-4.0","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","5522.89999999851","
    <p>First, we're going to do a few practice trials to make sure you understand the task. You will recieve feedback on each trial. </p>
    <p>[Press any key to begin the familiarization phase.]</p>
    "," ","","","","","","","","","",""
"","","","","","visual-search-circle","5","807165","0.0-5.0-0.0","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","2098.60000000149","","d","true","[[247,4],[4,352],[352,595],[595,247]]","true","4","training","d","","","",""
"","","","","","html-keyboard-response","6","809283","0.0-6.0","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","2114.5"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","d","","","","","","","","","",""
"","","","","","visual-search-circle","7","811465","0.0-7.0-0.0","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","1163.1000000014901","","s","true","[[14,207],[207,585],[585,392],[392,14]]","false","4","training","s","","","",""
"","","","","","html-keyboard-response","8","812619","0.0-8.0","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","1152.3999999985099"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","9","815689","0.0-9.0-0.0","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","2064.2000000029802","","s","true","[[0,279],[132,548],[431,569],[599,320],[467,51],[168,30]]","false","6","training","s","","","",""
"","","","","","html-keyboard-response","10","816646","0.0-10.0","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","955.5"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","11","819594","0.0-11.0-0.0","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","1923.9000000059605","","d","true","[[536,484],[597,263],[484,63],[263,2],[63,115],[2,336],[115,536],[336,597]]","true","8","training","d","","","",""
"","","","","","html-keyboard-response","12","820609","0.0-12.0","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","1014.3000000044703"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","video-keyboard-response","13","829525","0.0-13.0","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","8914.60000000149","[""video/endTraining.mp4""]","d","","","","","","","","","",""
"","","","","","html-keyboard-response","14","829530","0.0-14.0-0.0-0.0","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","15","832303","0.0-14.0-0.0-1.0","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","1762.3999999985099","","d","true","[[30,168],[168,569],[569,431],[431,30]]","true","4","main_T2_Trial","d","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","4","targetDown_distractorsUp"
"","","","","","html-keyboard-response","16","832311","0.0-14.0-0.0-0.1","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","17","834276","0.0-14.0-0.0-1.1","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","937.1999999955297","","s","true","[[57,123],[25,422],[268,598],[542,476],[574,177],[331,1]]","false","6","main_T2_Trial","s","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","6","targetDown_distractorsUp"
"","","","","","html-keyboard-response","18","834278","0.0-14.0-0.0-0.2","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","19","836736","0.0-14.0-0.0-1.2","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","1442.6999999955297","","s","true","[[6,362],[207,585],[500,522],[593,237],[392,14],[99,77]]","false","6","main_T2_Trial","s","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","6","targetUp_distractorsDown"
"","","","","","html-keyboard-response","20","836783","0.0-14.0-0.0-0.3","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","21","839788","0.0-14.0-0.0-1.3","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","1997.2000000029802","","s","true","[[569,168],[320,0],[51,132],[30,431],[279,599],[548,467]]","false","6","main_T2_Trial","s","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","6","targetDown_distractorsUp"
"","","","","","html-keyboard-response","22","839792","0.0-14.0-0.0-0.4","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","23","843078","0.0-14.0-0.0-1.4","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","2245.10000000149","","s","true","[[450,559],[600,300],[449,40],[150,40],[0,299],[150,559]]","false","6","main_T2_Trial","s","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","6","targetUp_distractorsDown"
"","","","","","html-keyboard-response","24","843081","0.0-14.0-0.0-0.5","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","25","845021","0.0-14.0-0.0-1.5","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","928.2000000029802","","d","true","[[8,227],[42,454],[227,591],[454,557],[591,372],[557,145],[372,8],[145,42]]","true","8","main_T2_Trial","d","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","8","targetDown_distractorsUp"
"","","","","","html-keyboard-response","26","845043","0.0-14.0-0.0-0.6","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","27","847063","0.0-14.0-0.0-1.6","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","1005.8000000044703","","s","true","[[77,99],[99,522],[522,500],[500,77]]","false","4","main_T2_Trial","s","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","4","targetDown_distractorsUp"
"","","","","","html-keyboard-response","28","847066","0.0-14.0-0.0-0.7","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","29","849114","0.0-14.0-0.0-1.7","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","1031","","d","false","[[54,127],[28,426],[273,598],[545,472],[571,173],[326,1]]","false","6","main_T2_Trial","s","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","6","targetDown_distractorsUp"
"","","","","","html-keyboard-response","30","849132","0.0-14.0-0.0-0.8","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","31","851326","0.0-14.0-0.0-1.8","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","1171.0999999940395","","d","true","[[341,597],[595,352],[440,35],[91,84],[30,431]]","true","5","main_T2_Trial","d","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","5","targetDown_distractorsUp"
"","","","","","html-keyboard-response","32","851333","0.0-14.0-0.0-0.9","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","33","854332","0.0-14.0-0.0-1.9","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","1982.2000000029802","","d","true","[[87,87],[1,333],[140,554],[399,583],[583,399],[554,140],[333,1]]","true","7","main_T2_Trial","d","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","7","targetDown_distractorsUp"
"","","","","","html-keyboard-response","34","854337","0.0-14.0-0.0-0.10","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","35","856469","0.0-14.0-0.0-1.10","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","1115.5","","s","true","[[592,367],[504,80],[212,13],[7,232],[95,519],[387,586]]","false","6","main_T2_Trial","s","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","6","targetDown_distractorsUp"
"","","","","","html-keyboard-response","36","856471","0.0-14.0-0.0-0.11","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","37","859412","0.0-14.0-0.0-1.11","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","1923.7999999970198","","d","true","[[136,551],[362,593],[551,463],[593,237],[463,48],[237,6],[48,136],[6,362]]","true","8","main_T2_Trial","d","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","8","targetUp_distractorsDown"
"","","","","","html-keyboard-response","38","859425","0.0-14.0-0.0-0.12","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","39","862002","0.0-14.0-0.0-1.12","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","1564","","s","true","[[284,599],[551,463],[567,163],[315,0],[48,136],[32,436]]","false","6","main_T2_Trial","s","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","6","targetDown_distractorsUp"
"","","","","","html-keyboard-response","40","862010","0.0-14.0-0.0-0.13","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","41","864837","0.0-14.0-0.0-1.13","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","1807.2999999970198","","s","false","[[0,279],[187,578],[529,492],[554,141],[227,8]]","true","5","main_T2_Trial","d","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","5","targetUp_distractorsDown"
"","","","","","html-keyboard-response","42","864842","0.0-14.0-0.0-0.14","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","43","867191","0.0-14.0-0.0-1.14","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","1341.6000000014901","","s","true","[[580,407],[407,19],[19,192],[192,580]]","false","4","main_T2_Trial","s","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","4","targetUp_distractorsDown"
"","","","","","html-keyboard-response","44","867195","0.0-14.0-0.0-0.15","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","45","869390","0.0-14.0-0.0-1.15","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","1192.8999999985099","","d","true","[[407,580],[586,390],[549,132],[324,1],[81,94],[3,342],[148,558]]","true","7","main_T2_Trial","d","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","7","targetUp_distractorsDown"
"","","","","","html-keyboard-response","46","869392","0.0-14.0-0.0-0.16","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","47","871650","0.0-14.0-0.0-1.16","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","1247.1999999955297","","s","true","[[132,51],[11,382],[289,599],[581,402],[484,63]]","false","5","main_T2_Trial","s","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","5","targetDown_distractorsUp"
"","","","","","html-keyboard-response","48","871662","0.0-14.0-0.0-0.17","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","49","873651","0.0-14.0-0.0-1.17","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","939.1000000014901","","d","true","[[519,95],[173,28],[2,336],[242,594],[562,445]]","true","5","main_T2_Trial","d","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","5","targetUp_distractorsDown"
"","","","","","html-keyboard-response","50","873653","0.0-14.0-0.0-0.18","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","51","875741","0.0-14.0-0.0-1.18","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","1072.5999999940395","","s","true","[[504,519],[592,232],[387,13],[95,80],[7,367],[212,586]]","false","6","main_T2_Trial","s","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","6","targetUp_distractorsDown"
"","","","","","html-keyboard-response","52","882118","0.0-14.0-0.0-0.19","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","6376.19999999553","Wow! You've completed 20 out of 160 trials! </p> <p>  </p><p> Take a quick break, then press any key when you're ready to continue.","d","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","53","884629","0.0-14.0-0.0-1.19","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","1487.6000000014901","","s","true","[[197,18],[28,173],[18,402],[173,571],[402,581],[571,426],[581,197],[426,28]]","false","8","main_T2_Trial","s","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","8","targetUp_distractorsDown"
"","","","","","html-keyboard-response","54","884638","0.0-14.0-0.0-0.20","5d9a125f1714540016a40a27","619531dcf66c91622fa1b861","619595f495f7c703c836bf8e","null","","null","","","","","main_T1_ITI","","","","",""
