"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","correct","locations","target_present","set_size","task","correct_response","target","foilCM","setSizeCM","searchCondition"
"true","false","[]","[]","[]","preload","0","255300","0.0-0.0","5dc0353028cfb7479e1f7e8d","619531dcf66c91622fa1b861","619595d31bff77d8d77b04d7","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","896685","0.0-1.0","5dc0353028cfb7479e1f7e8d","619531dcf66c91622fa1b861","619595d31bff77d8d77b04d7","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","948693","0.0-2.0","5dc0353028cfb7479e1f7e8d","619531dcf66c91622fa1b861","619595d31bff77d8d77b04d7","52006","What a beautiful Wednesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.
    <p> [Press any key to continue.] </p>
    
    "," ","","","","","","","","","",""
"","","","","","video-keyboard-response","3","1041816","0.0-3.0","5dc0353028cfb7479e1f7e8d","619531dcf66c91622fa1b861","619595d31bff77d8d77b04d7","93115.40000009537","[""video/TaskInstructions.mp4""]","d","","","","","","","","","",""
"","","","","","html-keyboard-response","4","1044387","0.0-4.0","5dc0353028cfb7479e1f7e8d","619531dcf66c91622fa1b861","619595d31bff77d8d77b04d7","2569.5","
    <p>First, we're going to do a few practice trials to make sure you understand the task. You will recieve feedback on each trial. </p>
    <p>[Press any key to begin the familiarization phase.]</p>
    ","d","","","","","","","","","",""
"","","","","","visual-search-circle","5","1048372","0.0-5.0-0.0","5dc0353028cfb7479e1f7e8d","619531dcf66c91622fa1b861","619595d31bff77d8d77b04d7","2920.100000023842","","d","true","[[107,529],[529,492],[492,70],[70,107]]","true","4","training","d","","","",""
"","","","","","html-keyboard-response","6","1051822","0.0-6.0","5dc0353028cfb7479e1f7e8d","619531dcf66c91622fa1b861","619595d31bff77d8d77b04d7","3448.100000023842"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","7","1054594","0.0-7.0-0.0","5dc0353028cfb7479e1f7e8d","619531dcf66c91622fa1b861","619595d31bff77d8d77b04d7","1756.8000000715256","","s","true","[[554,141],[141,45],[45,458],[458,554]]","false","4","training","s","","","",""
"","","","","","html-keyboard-response","8","1056522","0.0-8.0","5dc0353028cfb7479e1f7e8d","619531dcf66c91622fa1b861","619595d31bff77d8d77b04d7","1925.6000000238419"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","9","1059590","0.0-9.0-0.0","5dc0353028cfb7479e1f7e8d","619531dcf66c91622fa1b861","619595d31bff77d8d77b04d7","2041.8999999761581","","s","true","[[539,480],[576,182],[336,2],[60,119],[23,417],[263,597]]","false","6","training","s","","","",""
