"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","correct","locations","target_present","set_size","task","correct_response","target","foilCM","setSizeCM","searchCondition"
"true","false","[]","[]","[]","preload","0","19570","0.0-0.0","5dece7c319398a3a97c00c8f","619531dcf66c91622fa1b861","61959592db940ea05a18ad29","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","25839","0.0-1.0","5dece7c319398a3a97c00c8f","619531dcf66c91622fa1b861","61959592db940ea05a18ad29","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","37033","0.0-2.0","5dece7c319398a3a97c00c8f","619531dcf66c91622fa1b861","61959592db940ea05a18ad29","11193.199999928474","What a beautiful Thursday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.
    <p> [Press any key to continue.] </p>
    
    ","enter","","","","","","","","","",""
"","","","","","video-keyboard-response","3","45325","0.0-3.0","5dece7c319398a3a97c00c8f","619531dcf66c91622fa1b861","61959592db940ea05a18ad29","8288.399999976158","[""video/TaskInstructions.mp4""]","control","","","","","","","","","",""
"","","","","","html-keyboard-response","4","50911","0.0-4.0","5dece7c319398a3a97c00c8f","619531dcf66c91622fa1b861","61959592db940ea05a18ad29","5585.799999952316","
    <p>First, we're going to do a few practice trials to make sure you understand the task. You will recieve feedback on each trial. </p>
    <p>[Press any key to begin the familiarization phase.]</p>
    ","enter","","","","","","","","","",""
"","","","","","visual-search-circle","5","66272","0.0-5.0-0.0","5dece7c319398a3a97c00c8f","619531dcf66c91622fa1b861","61959592db940ea05a18ad29","14296.600000023842","","d","true","[[508,84],[84,91],[91,515],[515,508]]","true","4","training","d","","","",""
"","","","","","html-keyboard-response","6","70678","0.0-6.0","5dece7c319398a3a97c00c8f","619531dcf66c91622fa1b861","61959592db940ea05a18ad29","4404.799999952316"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","7","76000","0.0-7.0-0.0","5dece7c319398a3a97c00c8f","619531dcf66c91622fa1b861","61959592db940ea05a18ad29","4304.5","","s","true","[[232,592],[592,367],[367,7],[7,232]]","false","4","training","s","","","",""
"","","","","","html-keyboard-response","8","79189","0.0-8.0","5dece7c319398a3a97c00c8f","619531dcf66c91622fa1b861","61959592db940ea05a18ad29","3187.6999999284744"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","9","82424","0.0-9.0-0.0","5dece7c319398a3a97c00c8f","619531dcf66c91622fa1b861","61959592db940ea05a18ad29","2229.100000023842","","d","false","[[533,488],[580,192],[346,3],[66,111],[19,407],[253,596]]","false","6","training","s","","","",""
"","","","","","html-keyboard-response","10","92461","0.0-10.0","5dece7c319398a3a97c00c8f","619531dcf66c91622fa1b861","61959592db940ea05a18ad29","10035.800000071526"," <div style='float: center;'><img src='img/feedbackWrong.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","11","96107","0.0-11.0-0.0","5dece7c319398a3a97c00c8f","619531dcf66c91622fa1b861","61959592db940ea05a18ad29","2625.2999999523163","","d","true","[[1,273],[70,492],[273,598],[492,529],[598,326],[529,107],[326,1],[107,70]]","true","8","training","d","","","",""
"","","","","","html-keyboard-response","12","97476","0.0-12.0","5dece7c319398a3a97c00c8f","619531dcf66c91622fa1b861","61959592db940ea05a18ad29","1368.2000000476837"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","video-keyboard-response","13","112547","0.0-13.0","5dece7c319398a3a97c00c8f","619531dcf66c91622fa1b861","61959592db940ea05a18ad29","15069.100000023842","[""video/endTraining.mp4""]"," ","","","","","","","","","",""
"","","","","","html-keyboard-response","14","112552","0.0-14.0-0.0-0.0","5dece7c319398a3a97c00c8f","619531dcf66c91622fa1b861","61959592db940ea05a18ad29","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","15","115043","0.0-14.0-0.0-1.0","5dece7c319398a3a97c00c8f","619531dcf66c91622fa1b861","61959592db940ea05a18ad29","1466.3000000715256","","d","false","[[551,136],[329,1],[84,91],[2,338],[144,556],[403,581],[584,394]]","false","7","main_T2_Trial","s","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","7","targetDown_distractorsUp"
"","","","","","html-keyboard-response","16","115045","0.0-14.0-0.0-0.1","5dece7c319398a3a97c00c8f","619531dcf66c91622fa1b861","61959592db940ea05a18ad29","null","","null","","","","","main_T1_ITI","","","","",""
