"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","correct","locations","target_present","set_size","task","correct_response","target","foilCM","setSizeCM","searchCondition"
"true","false","[]","[]","[]","preload","0","23164","0.0-0.0","5e29cbd2a5ae4b012aa989f6","619531dcf66c91622fa1b861","619595558add4bfb3c87fb87","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","50544","0.0-1.0","5e29cbd2a5ae4b012aa989f6","619531dcf66c91622fa1b861","619595558add4bfb3c87fb87","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","55769","0.0-2.0","5e29cbd2a5ae4b012aa989f6","619531dcf66c91622fa1b861","619595558add4bfb3c87fb87","5224.5","What a beautiful Thursday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.
    <p> [Press any key to continue.] </p>
    
    "," ","","","","","","","","","",""
"","","","","","video-keyboard-response","3","88717","0.0-3.0","5e29cbd2a5ae4b012aa989f6","619531dcf66c91622fa1b861","619595558add4bfb3c87fb87","32945.40000009537","[""video/TaskInstructions.mp4""]"," ","","","","","","","","","",""
"","","","","","html-keyboard-response","4","92621","0.0-4.0","5e29cbd2a5ae4b012aa989f6","619531dcf66c91622fa1b861","619595558add4bfb3c87fb87","3903.9000000953674","
    <p>First, we're going to do a few practice trials to make sure you understand the task. You will recieve feedback on each trial. </p>
    <p>[Press any key to begin the familiarization phase.]</p>
    "," ","","","","","","","","","",""
"","","","","","visual-search-circle","5","96909","0.0-5.0-0.0","5e29cbd2a5ae4b012aa989f6","619531dcf66c91622fa1b861","619595558add4bfb3c87fb87","3222.2999997138977","","d","true","[[103,526],[526,496],[496,73],[73,103]]","true","4","training","d","","","",""
"","","","","","html-keyboard-response","6","100096","0.0-6.0","5e29cbd2a5ae4b012aa989f6","619531dcf66c91622fa1b861","619595558add4bfb3c87fb87","3186.5"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","7","102878","0.0-7.0-0.0","5e29cbd2a5ae4b012aa989f6","619531dcf66c91622fa1b861","619595558add4bfb3c87fb87","1762.4000000953674","","s","true","[[30,431],[431,569],[569,168],[168,30]]","false","4","training","s","","","",""
"","","","","","html-keyboard-response","8","103541","0.0-8.0","5e29cbd2a5ae4b012aa989f6","619531dcf66c91622fa1b861","619595558add4bfb3c87fb87","661.8000001907349"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","9","108669","0.0-9.0-0.0","5e29cbd2a5ae4b012aa989f6","619531dcf66c91622fa1b861","619595558add4bfb3c87fb87","4115.799999713898","","s","true","[[580,407],[533,111],[253,3],[19,192],[66,488],[346,596]]","false","6","training","s","","","",""
"","","","","","html-keyboard-response","10","109577","0.0-10.0","5e29cbd2a5ae4b012aa989f6","619531dcf66c91622fa1b861","619595558add4bfb3c87fb87","907.4000000953674"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","11","113917","0.0-11.0-0.0","5e29cbd2a5ae4b012aa989f6","619531dcf66c91622fa1b861","619595558add4bfb3c87fb87","3325.300000190735","","d","true","[[463,48],[237,6],[48,136],[6,362],[136,551],[362,593],[551,463],[593,237]]","true","8","training","d","","","",""
"","","","","","html-keyboard-response","12","116112","0.0-12.0","5e29cbd2a5ae4b012aa989f6","619531dcf66c91622fa1b861","619595558add4bfb3c87fb87","2194.5"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
