"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","correct","locations","target_present","set_size","task","correct_response","target","foilCM","setSizeCM","searchCondition"
"true","false","[]","[]","[]","preload","0","135273","0.0-0.0","5e5edbe9c0bc8621b5c2f7da","619531dcf66c91622fa1b861","61959747cd3e5b6fd9c6b885","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","208204","0.0-1.0","5e5edbe9c0bc8621b5c2f7da","619531dcf66c91622fa1b861","61959747cd3e5b6fd9c6b885","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","215056","0.0-2.0","5e5edbe9c0bc8621b5c2f7da","619531dcf66c91622fa1b861","61959747cd3e5b6fd9c6b885","6849","What a beautiful Thursday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.
    <p> [Press any key to continue.] </p>
    
    ","arrowright","","","","","","","","","",""
"","","","","","video-keyboard-response","3","234321","0.0-3.0","5e5edbe9c0bc8621b5c2f7da","619531dcf66c91622fa1b861","61959747cd3e5b6fd9c6b885","19260.20000000298","[""video/TaskInstructions.mp4""]","d","","","","","","","","","",""
"","","","","","html-keyboard-response","4","237029","0.0-4.0","5e5edbe9c0bc8621b5c2f7da","619531dcf66c91622fa1b861","61959747cd3e5b6fd9c6b885","2706.699999988079","
    <p>First, we're going to do a few practice trials to make sure you understand the task. You will recieve feedback on each trial. </p>
    <p>[Press any key to begin the familiarization phase.]</p>
    ","s","","","","","","","","","",""
"","","","","","visual-search-circle","5","239664","0.0-5.0-0.0","5e5edbe9c0bc8621b5c2f7da","619531dcf66c91622fa1b861","61959747cd3e5b6fd9c6b885","1572.0999999940395","","d","true","[[57,123],[123,542],[542,476],[476,57]]","true","4","training","d","","","",""
"","","","","","html-keyboard-response","6","243815","0.0-6.0","5e5edbe9c0bc8621b5c2f7da","619531dcf66c91622fa1b861","61959747cd3e5b6fd9c6b885","4149.9000000059605"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","d","","","","","","","","","",""
"","","","","","visual-search-circle","7","246245","0.0-7.0-0.0","5e5edbe9c0bc8621b5c2f7da","619531dcf66c91622fa1b861","61959747cd3e5b6fd9c6b885","1408.7000000029802","","s","true","[[40,150],[149,559],[559,450],[449,40]]","false","4","training","s","","","",""
"","","","","","html-keyboard-response","8","247217","0.0-8.0","5e5edbe9c0bc8621b5c2f7da","619531dcf66c91622fa1b861","61959747cd3e5b6fd9c6b885","970.5"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","s","","","","","","","","","",""
"","","","","","visual-search-circle","9","250261","0.0-9.0-0.0","5e5edbe9c0bc8621b5c2f7da","619531dcf66c91622fa1b861","61959747cd3e5b6fd9c6b885","2027.199999988079","","s","true","[[119,539],[417,576],[597,336],[480,60],[182,23],[2,263]]","false","6","training","s","","","",""
