"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","correct","locations","target_present","set_size","task","correct_response","target","foilCM","setSizeCM","searchCondition"
"true","false","[]","[]","[]","preload","0","298571","0.0-0.0","5eb528ae7c968c3b2dacfd43","619531dcf66c91622fa1b861","6195954d5b601b02d574655d","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","489190","0.0-1.0","5eb528ae7c968c3b2dacfd43","619531dcf66c91622fa1b861","6195954d5b601b02d574655d","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","496387","0.0-2.0","5eb528ae7c968c3b2dacfd43","619531dcf66c91622fa1b861","6195954d5b601b02d574655d","7195.5999999996275","What a beautiful Thursday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.
    <p> [Press any key to continue.] </p>
    
    ","arrowright","","","","","","","","","",""
"","","","","","video-keyboard-response","3","516707","0.0-3.0","5eb528ae7c968c3b2dacfd43","619531dcf66c91622fa1b861","6195954d5b601b02d574655d","20317.89999999944","[""video/TaskInstructions.mp4""]","arrowright","","","","","","","","","",""
"","","","","","html-keyboard-response","4","521002","0.0-4.0","5eb528ae7c968c3b2dacfd43","619531dcf66c91622fa1b861","6195954d5b601b02d574655d","4294.700000000186","
    <p>First, we're going to do a few practice trials to make sure you understand the task. You will recieve feedback on each trial. </p>
    <p>[Press any key to begin the familiarization phase.]</p>
    ","arrowright","","","","","","","","","",""
"","","","","","visual-search-circle","5","523458","0.0-5.0-0.0","5eb528ae7c968c3b2dacfd43","619531dcf66c91622fa1b861","6195954d5b601b02d574655d","1384.7999999998137","","d","true","[[515,508],[508,84],[84,91],[91,515]]","true","4","training","d","","","",""
"","","","","","html-keyboard-response","6","525098","0.0-6.0","5eb528ae7c968c3b2dacfd43","619531dcf66c91622fa1b861","6195954d5b601b02d574655d","1638.8999999994412"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","arrowright","","","","","","","","","",""
"","","","","","visual-search-circle","7","527290","0.0-7.0-0.0","5eb528ae7c968c3b2dacfd43","619531dcf66c91622fa1b861","6195954d5b601b02d574655d","1181","","s","true","[[362,593],[593,237],[237,6],[6,362]]","false","4","training","s","","","",""
"","","","","","html-keyboard-response","8","527954","0.0-8.0","5eb528ae7c968c3b2dacfd43","619531dcf66c91622fa1b861","6195954d5b601b02d574655d","663"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","arrowright","","","","","","","","","",""
"","","","","","visual-search-circle","9","531218","0.0-9.0-0.0","5eb528ae7c968c3b2dacfd43","619531dcf66c91622fa1b861","6195954d5b601b02d574655d","2258.9000000003725","","d","false","[[182,23],[2,263],[119,539],[417,576],[597,336],[480,60]]","false","6","training","s","","","",""
