"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","correct","locations","target_present","set_size","task","correct_response","target","foilCM","setSizeCM","searchCondition"
"true","false","[]","[]","[]","preload","0","6337","0.0-0.0","5f14cff323b6b655cbc821c3","619531dcf66c91622fa1b861","619595b69a6ee8c18f053d30","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","9823","0.0-1.0","5f14cff323b6b655cbc821c3","619531dcf66c91622fa1b861","619595b69a6ee8c18f053d30","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","18597","0.0-2.0","5f14cff323b6b655cbc821c3","619531dcf66c91622fa1b861","619595b69a6ee8c18f053d30","8771.79999999702","What a beautiful Wednesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.
    <p> [Press any key to continue.] </p>
    
    "," ","","","","","","","","","",""
"","","","","","video-keyboard-response","3","54875","0.0-3.0","5f14cff323b6b655cbc821c3","619531dcf66c91622fa1b861","619595b69a6ee8c18f053d30","36270.70000000298","[""video/TaskInstructions.mp4""]","d","","","","","","","","","",""
"","","","","","html-keyboard-response","4","57128","0.0-4.0","5f14cff323b6b655cbc821c3","619531dcf66c91622fa1b861","619595b69a6ee8c18f053d30","2252.0999999940395","
    <p>First, we're going to do a few practice trials to make sure you understand the task. You will recieve feedback on each trial. </p>
    <p>[Press any key to begin the familiarization phase.]</p>
    ","s","","","","","","","","","",""
"","","","","","visual-search-circle","5","60963","0.0-5.0-0.0","5f14cff323b6b655cbc821c3","619531dcf66c91622fa1b861","619595b69a6ee8c18f053d30","2769.7999999970198","","d","true","[[45,141],[141,554],[554,458],[458,45]]","true","4","training","d","","","",""
"","","","","","html-keyboard-response","6","63140","0.0-6.0","5f14cff323b6b655cbc821c3","619531dcf66c91622fa1b861","619595b69a6ee8c18f053d30","2175.5"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","7","65154","0.0-7.0-0.0","5f14cff323b6b655cbc821c3","619531dcf66c91622fa1b861","619595b69a6ee8c18f053d30","1003.7000000029802","","s","true","[[154,562],[562,445],[445,37],[37,154]]","false","4","training","s","","","",""
"","","","","","html-keyboard-response","8","66178","0.0-8.0","5f14cff323b6b655cbc821c3","619531dcf66c91622fa1b861","619595b69a6ee8c18f053d30","1022.7999999970198"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","9","69218","0.0-9.0-0.0","5f14cff323b6b655cbc821c3","619531dcf66c91622fa1b861","619595b69a6ee8c18f053d30","2029.4000000059605","","s","true","[[263,597],[539,480],[576,182],[336,2],[60,119],[23,417]]","false","6","training","s","","","",""
"","","","","","html-keyboard-response","10","69794","0.0-10.0","5f14cff323b6b655cbc821c3","619531dcf66c91622fa1b861","619595b69a6ee8c18f053d30","574.6000000089407"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","11","71953","0.0-11.0-0.0","5f14cff323b6b655cbc821c3","619531dcf66c91622fa1b861","619595b69a6ee8c18f053d30","1143.2000000029802","","d","true","[[310,0],[95,80],[0,289],[80,504],[289,599],[504,519],[599,310],[519,95]]","true","8","training","d","","","",""
"","","","","","html-keyboard-response","12","72783","0.0-12.0","5f14cff323b6b655cbc821c3","619531dcf66c91622fa1b861","619595b69a6ee8c18f053d30","829.5"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","video-keyboard-response","13","78290","0.0-13.0","5f14cff323b6b655cbc821c3","619531dcf66c91622fa1b861","619595b69a6ee8c18f053d30","5504.100000008941","[""video/endTraining.mp4""]","s","","","","","","","","","",""
"","","","","","html-keyboard-response","14","78292","0.0-14.0-0.0-0.0","5f14cff323b6b655cbc821c3","619531dcf66c91622fa1b861","619595b69a6ee8c18f053d30","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","15","82371","0.0-14.0-0.0-1.0","5f14cff323b6b655cbc821c3","619531dcf66c91622fa1b861","619595b69a6ee8c18f053d30","3069.2999999970198","","d","false","[[377,10],[48,136],[66,488],[407,580],[599,284]]","false","5","main_T2_Trial","s","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","5","targetUp_distractorsDown"
"","","","","","html-keyboard-response","16","82375","0.0-14.0-0.0-0.1","5f14cff323b6b655cbc821c3","619531dcf66c91622fa1b861","619595b69a6ee8c18f053d30","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","17","86589","0.0-14.0-0.0-1.1","5f14cff323b6b655cbc821c3","619531dcf66c91622fa1b861","619595b69a6ee8c18f053d30","3205.2999999970198","","s","true","[[149,559],[409,579],[586,388],[547,131],[322,0],[80,95],[3,344]]","false","7","main_T2_Trial","s","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","7","targetUp_distractorsDown"
"","","","","","html-keyboard-response","18","86591","0.0-14.0-0.0-0.2","5f14cff323b6b655cbc821c3","619531dcf66c91622fa1b861","619595b69a6ee8c18f053d30","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","19","88769","0.0-14.0-0.0-1.2","5f14cff323b6b655cbc821c3","619531dcf66c91622fa1b861","619595b69a6ee8c18f053d30","1167.9000000059605","","d","true","[[450,559],[589,377],[559,150],[377,10],[150,40],[10,222],[40,449],[222,589]]","true","8","main_T2_Trial","d","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","8","targetDown_distractorsUp"
"","","","","","html-keyboard-response","20","88778","0.0-14.0-0.0-0.3","5f14cff323b6b655cbc821c3","619531dcf66c91622fa1b861","619595b69a6ee8c18f053d30","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","21","90850","0.0-14.0-0.0-1.3","5f14cff323b6b655cbc821c3","619531dcf66c91622fa1b861","619595b69a6ee8c18f053d30","1056.5","","s","true","[[562,445],[577,185],[383,11],[126,55],[0,282],[99,523],[349,595]]","false","7","main_T2_Trial","s","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","7","targetDown_distractorsUp"
"","","","","","html-keyboard-response","22","90857","0.0-14.0-0.0-0.4","5f14cff323b6b655cbc821c3","619531dcf66c91622fa1b861","619595b69a6ee8c18f053d30","null","","null","","","","","main_T1_ITI","","","","",""
