"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","correct","locations","target_present","set_size","task","correct_response","target","foilCM","setSizeCM","searchCondition"
"true","false","[]","[]","[]","preload","0","54431","0.0-0.0","5f1c1014ad82c0460a0fbef5","619531dcf66c91622fa1b861","619596ecfb3c877bb8a4bf5a","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","113795","0.0-1.0","5f1c1014ad82c0460a0fbef5","619531dcf66c91622fa1b861","619596ecfb3c877bb8a4bf5a","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","124397","0.0-2.0","5f1c1014ad82c0460a0fbef5","619531dcf66c91622fa1b861","619596ecfb3c877bb8a4bf5a","10600","What a beautiful Thursday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.
    <p> [Press any key to continue.] </p>
    
    "," ","","","","","","","","","",""
"","","","","","video-keyboard-response","3","154240","0.0-3.0","5f1c1014ad82c0460a0fbef5","619531dcf66c91622fa1b861","619596ecfb3c877bb8a4bf5a","29832","[""video/TaskInstructions.mp4""]","d","","","","","","","","","",""
"","","","","","html-keyboard-response","4","159441","0.0-4.0","5f1c1014ad82c0460a0fbef5","619531dcf66c91622fa1b861","619596ecfb3c877bb8a4bf5a","5199","
    <p>First, we're going to do a few practice trials to make sure you understand the task. You will recieve feedback on each trial. </p>
    <p>[Press any key to begin the familiarization phase.]</p>
    "," ","","","","","","","","","",""
"","","","","","visual-search-circle","5","164508","0.0-5.0-0.0","5f1c1014ad82c0460a0fbef5","619531dcf66c91622fa1b861","619596ecfb3c877bb8a4bf5a","4012","","d","true","[[592,367],[367,7],[7,232],[232,592]]","true","4","training","d","","","",""
"","","","","","html-keyboard-response","6","166847","0.0-6.0","5f1c1014ad82c0460a0fbef5","619531dcf66c91622fa1b861","619596ecfb3c877bb8a4bf5a","2337"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","7","170057","0.0-7.0-0.0","5f1c1014ad82c0460a0fbef5","619531dcf66c91622fa1b861","619596ecfb3c877bb8a4bf5a","2204","","s","true","[[294,0],[0,305],[305,599],[599,294]]","false","4","training","s","","","",""
"","","","","","html-keyboard-response","8","171008","0.0-8.0","5f1c1014ad82c0460a0fbef5","619531dcf66c91622fa1b861","619596ecfb3c877bb8a4bf5a","950"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","9","173640","0.0-9.0-0.0","5f1c1014ad82c0460a0fbef5","619531dcf66c91622fa1b861","619596ecfb3c877bb8a4bf5a","1625","","d","false","[[331,598],[574,422],[542,123],[268,1],[25,177],[57,476]]","false","6","training","s","","","",""
"","","","","","html-keyboard-response","10","175070","0.0-10.0","5f1c1014ad82c0460a0fbef5","619531dcf66c91622fa1b861","619596ecfb3c877bb8a4bf5a","1428"," <div style='float: center;'><img src='img/feedbackWrong.png'></img> </div> "," ","","","","","","","","","",""
