"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","correct","locations","target_present","set_size","task","correct_response","target","foilCM","setSizeCM","searchCondition"
"true","false","[]","[]","[]","preload","0","400300","0.0-0.0","5f2dc04ae81ec50f0b8ea40f","619531dcf66c91622fa1b861","6195999b93c099a67b34744f","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","498125","0.0-1.0","5f2dc04ae81ec50f0b8ea40f","619531dcf66c91622fa1b861","6195999b93c099a67b34744f","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","510210","0.0-2.0","5f2dc04ae81ec50f0b8ea40f","619531dcf66c91622fa1b861","6195999b93c099a67b34744f","12083.100000023842","What a beautiful Wednesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.
    <p> [Press any key to continue.] </p>
    
    "," ","","","","","","","","","",""
"","","","","","video-keyboard-response","3","552243","0.0-3.0","5f2dc04ae81ec50f0b8ea40f","619531dcf66c91622fa1b861","6195999b93c099a67b34744f","42027.299999952316","[""video/TaskInstructions.mp4""]"," ","","","","","","","","","",""
"","","","","","html-keyboard-response","4","556641","0.0-4.0","5f2dc04ae81ec50f0b8ea40f","619531dcf66c91622fa1b861","6195999b93c099a67b34744f","4396.899999976158","
    <p>First, we're going to do a few practice trials to make sure you understand the task. You will recieve feedback on each trial. </p>
    <p>[Press any key to begin the familiarization phase.]</p>
    "," ","","","","","","","","","",""
"","","","","","visual-search-circle","5","560327","0.0-5.0-0.0","5f2dc04ae81ec50f0b8ea40f","619531dcf66c91622fa1b861","6195999b93c099a67b34744f","2625.7000000476837","","d","true","[[341,597],[597,258],[258,2],[2,341]]","true","4","training","d","","","",""
"","","","","","html-keyboard-response","6","563029","0.0-6.0","5f2dc04ae81ec50f0b8ea40f","619531dcf66c91622fa1b861","6195999b93c099a67b34744f","2701"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","7","566058","0.0-7.0-0.0","5f2dc04ae81ec50f0b8ea40f","619531dcf66c91622fa1b861","6195999b93c099a67b34744f","2021.8999999761581","","s","true","[[23,417],[417,576],[576,182],[182,23]]","false","4","training","s","","","",""
"","","","","","html-keyboard-response","8","568053","0.0-8.0","5f2dc04ae81ec50f0b8ea40f","619531dcf66c91622fa1b861","6195999b93c099a67b34744f","1992.6000000238419"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","9","572588","0.0-9.0-0.0","5f2dc04ae81ec50f0b8ea40f","619531dcf66c91622fa1b861","6195999b93c099a67b34744f","3523.9000000953674","","s","true","[[25,177],[57,476],[331,598],[574,422],[542,123],[268,1]]","false","6","training","s","","","",""
"","","","","","html-keyboard-response","10","574175","0.0-10.0","5f2dc04ae81ec50f0b8ea40f","619531dcf66c91622fa1b861","6195999b93c099a67b34744f","1584.5"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","11","577355","0.0-11.0-0.0","5f2dc04ae81ec50f0b8ea40f","619531dcf66c91622fa1b861","6195999b93c099a67b34744f","2167.3000000715256","","d","true","[[454,42],[227,8],[42,145],[8,372],[145,557],[372,591],[557,454],[591,227]]","true","8","training","d","","","",""
"","","","","","html-keyboard-response","12","579424","0.0-12.0","5f2dc04ae81ec50f0b8ea40f","619531dcf66c91622fa1b861","6195999b93c099a67b34744f","2067.100000023842"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
