"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","correct","locations","target_present","set_size","task","correct_response","target","foilCM","setSizeCM","searchCondition"
"true","false","[]","[]","[]","preload","0","221191","0.0-0.0","5f2f31201649be31653dabc5","619531dcf66c91622fa1b861","61959691a36b74f687baa825","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","232932","0.0-1.0","5f2f31201649be31653dabc5","619531dcf66c91622fa1b861","61959691a36b74f687baa825","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","244269","0.0-2.0","5f2f31201649be31653dabc5","619531dcf66c91622fa1b861","61959691a36b74f687baa825","11336.800000000745","What a beautiful Wednesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.
    <p> [Press any key to continue.] </p>
    
    ","enter","","","","","","","","","",""
"","","","","","video-keyboard-response","3","292617","0.0-3.0","5f2f31201649be31653dabc5","619531dcf66c91622fa1b861","61959691a36b74f687baa825","48343.699999999255","[""video/TaskInstructions.mp4""]","d","","","","","","","","","",""
"","","","","","html-keyboard-response","4","300229","0.0-4.0","5f2f31201649be31653dabc5","619531dcf66c91622fa1b861","61959691a36b74f687baa825","7611.300000000745","
    <p>First, we're going to do a few practice trials to make sure you understand the task. You will recieve feedback on each trial. </p>
    <p>[Press any key to begin the familiarization phase.]</p>
    ","enter","","","","","","","","","",""
"","","","","","visual-search-circle","5","314694","0.0-5.0-0.0","5f2f31201649be31653dabc5","619531dcf66c91622fa1b861","61959691a36b74f687baa825","13393.5","","d","true","[[440,564],[564,159],[159,35],[35,440]]","true","4","training","d","","","",""
"","","","","","html-keyboard-response","6","318517","0.0-6.0","5f2f31201649be31653dabc5","619531dcf66c91622fa1b861","61959691a36b74f687baa825","3823"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","enter","","","","","","","","","",""
"","","","","","visual-search-circle","7","321053","0.0-7.0-0.0","5f2f31201649be31653dabc5","619531dcf66c91622fa1b861","61959691a36b74f687baa825","1524.199999999255","","s","true","[[600,300],[300,0],[0,299],[299,600]]","false","4","training","s","","","",""
"","","","","","html-keyboard-response","8","322510","0.0-8.0","5f2f31201649be31653dabc5","619531dcf66c91622fa1b861","61959691a36b74f687baa825","1455.800000000745"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","s","","","","","","","","","",""
"","","","","","visual-search-circle","9","327581","0.0-9.0-0.0","5f2f31201649be31653dabc5","619531dcf66c91622fa1b861","61959691a36b74f687baa825","4060.699999999255","","s","true","[[454,557],[599,294],[445,37],[145,42],[0,305],[154,562]]","false","6","training","s","","","",""
"","","","","","html-keyboard-response","10","328453","0.0-10.0","5f2f31201649be31653dabc5","619531dcf66c91622fa1b861","61959691a36b74f687baa825","871"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","s","","","","","","","","","",""
