"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","correct","locations","target_present","set_size","task","correct_response","target","foilCM","setSizeCM","searchCondition"
"true","false","[]","[]","[]","preload","0","1112568","0.0-0.0","5f52b69cd864aa5b51e1fc63","619531dcf66c91622fa1b861","6195a214b03721644d34ff2f","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","1119495","0.0-1.0","5f52b69cd864aa5b51e1fc63","619531dcf66c91622fa1b861","6195a214b03721644d34ff2f","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","1130245","0.0-2.0","5f52b69cd864aa5b51e1fc63","619531dcf66c91622fa1b861","6195a214b03721644d34ff2f","10748","What a beautiful Wednesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.
    <p> [Press any key to continue.] </p>
    
    "," ","","","","","","","","","",""
"","","","","","video-keyboard-response","3","1184036","0.0-3.0","5f52b69cd864aa5b51e1fc63","619531dcf66c91622fa1b861","6195a214b03721644d34ff2f","53766","[""video/TaskInstructions.mp4""]","d","","","","","","","","","",""
"","","","","","html-keyboard-response","4","1188275","0.0-4.0","5f52b69cd864aa5b51e1fc63","619531dcf66c91622fa1b861","6195a214b03721644d34ff2f","4239","
    <p>First, we're going to do a few practice trials to make sure you understand the task. You will recieve feedback on each trial. </p>
    <p>[Press any key to begin the familiarization phase.]</p>
    "," ","","","","","","","","","",""
"","","","","","visual-search-circle","5","1201699","0.0-5.0-0.0","5f52b69cd864aa5b51e1fc63","619531dcf66c91622fa1b861","6195a214b03721644d34ff2f","12353","","d","true","[[0,279],[279,599],[599,320],[320,0]]","true","4","training","d","","","",""
"","","","","","html-keyboard-response","6","1205328","0.0-6.0","5f52b69cd864aa5b51e1fc63","619531dcf66c91622fa1b861","6195a214b03721644d34ff2f","3622"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","7","1217278","0.0-7.0-0.0","5f52b69cd864aa5b51e1fc63","619531dcf66c91622fa1b861","6195a214b03721644d34ff2f","10936","","d","false","[[23,182],[182,576],[576,417],[417,23]]","false","4","training","s","","","",""
"","","","","","html-keyboard-response","8","1225306","0.0-8.0","5f52b69cd864aa5b51e1fc63","619531dcf66c91622fa1b861","6195a214b03721644d34ff2f","8027"," <div style='float: center;'><img src='img/feedbackWrong.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","9","1232923","0.0-9.0-0.0","5f52b69cd864aa5b51e1fc63","619531dcf66c91622fa1b861","6195a214b03721644d34ff2f","6594","","s","true","[[504,519],[592,232],[387,13],[95,80],[7,367],[212,586]]","false","6","training","s","","","",""
"","","","","","html-keyboard-response","10","1235038","0.0-10.0","5f52b69cd864aa5b51e1fc63","619531dcf66c91622fa1b861","6195a214b03721644d34ff2f","2113"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","s","","","","","","","","","",""
"","","","","","visual-search-circle","11","1237234","0.0-11.0-0.0","5f52b69cd864aa5b51e1fc63","619531dcf66c91622fa1b861","6195a214b03721644d34ff2f","1183","","d","true","[[6,237],[48,463],[237,593],[463,551],[593,362],[551,136],[362,6],[136,48]]","true","8","training","d","","","",""
"","","","","","html-keyboard-response","12","1239718","0.0-12.0","5f52b69cd864aa5b51e1fc63","619531dcf66c91622fa1b861","6195a214b03721644d34ff2f","2483"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","d","","","","","","","","","",""
"","","","","","video-keyboard-response","13","1245935","0.0-13.0","5f52b69cd864aa5b51e1fc63","619531dcf66c91622fa1b861","6195a214b03721644d34ff2f","6213","[""video/endTraining.mp4""]"," ","","","","","","","","","",""
"","","","","","html-keyboard-response","14","1245939","0.0-14.0-0.0-0.0","5f52b69cd864aa5b51e1fc63","619531dcf66c91622fa1b861","6195a214b03721644d34ff2f","null","","null","","","","","main_T1_ITI","","","","",""
