"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","correct","locations","target_present","set_size","task","correct_response","target","foilCM","setSizeCM","searchCondition"
"true","false","[]","[]","[]","preload","0","36660","0.0-0.0","5f7601d14e4cec02189a3b0e","619531dcf66c91622fa1b861","619595b4a818dd99c306a983","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","46151","0.0-1.0","5f7601d14e4cec02189a3b0e","619531dcf66c91622fa1b861","619595b4a818dd99c306a983","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","48133","0.0-2.0","5f7601d14e4cec02189a3b0e","619531dcf66c91622fa1b861","619595b4a818dd99c306a983","1980.7000000029802","What a beautiful Thursday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.
    <p> [Press any key to continue.] </p>
    
    ","arrowright","","","","","","","","","",""
"","","","","","video-keyboard-response","3","75999","0.0-3.0","5f7601d14e4cec02189a3b0e","619531dcf66c91622fa1b861","619595b4a818dd99c306a983","27863.89999999851","[""video/TaskInstructions.mp4""]"," ","","","","","","","","","",""
"","","","","","html-keyboard-response","4","77138","0.0-4.0","5f7601d14e4cec02189a3b0e","619531dcf66c91622fa1b861","619595b4a818dd99c306a983","1138.1000000014901","
    <p>First, we're going to do a few practice trials to make sure you understand the task. You will recieve feedback on each trial. </p>
    <p>[Press any key to begin the familiarization phase.]</p>
    "," ","","","","","","","","","",""
"","","","","","visual-search-circle","5","82884","0.0-5.0-0.0","5f7601d14e4cec02189a3b0e","619531dcf66c91622fa1b861","619595b4a818dd99c306a983","4679.29999999702","","s","false","[[585,392],[392,14],[14,207],[207,585]]","true","4","training","d","","","",""
"","","","","","html-keyboard-response","6","87707","0.0-6.0","5f7601d14e4cec02189a3b0e","619531dcf66c91622fa1b861","619595b4a818dd99c306a983","4822.29999999702"," <div style='float: center;'><img src='img/feedbackWrong.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","7","89236","0.0-7.0-0.0","5f7601d14e4cec02189a3b0e","619531dcf66c91622fa1b861","619595b4a818dd99c306a983","520.1999999955297","","d","false","[[177,574],[574,422],[422,25],[25,177]]","false","4","training","s","","","",""
"","","","","","html-keyboard-response","8","90810","0.0-8.0","5f7601d14e4cec02189a3b0e","619531dcf66c91622fa1b861","619595b4a818dd99c306a983","1574"," <div style='float: center;'><img src='img/feedbackWrong.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","9","95020","0.0-9.0-0.0","5f7601d14e4cec02189a3b0e","619531dcf66c91622fa1b861","619595b4a818dd99c306a983","3204.2999999970198","","s","true","[[115,536],[412,578],[597,341],[484,63],[187,21],[2,258]]","false","6","training","s","","","",""
"","","","","","html-keyboard-response","10","96020","0.0-10.0","5f7601d14e4cec02189a3b0e","619531dcf66c91622fa1b861","619595b4a818dd99c306a983","999.1000000014901"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","11","98553","0.0-11.0-0.0","5f7601d14e4cec02189a3b0e","619531dcf66c91622fa1b861","619595b4a818dd99c306a983","1516.7999999970198","","d","true","[[253,596],[476,542],[596,346],[542,123],[346,3],[123,57],[3,253],[57,476]]","true","8","training","d","","","",""
"","","","","","html-keyboard-response","12","99079","0.0-12.0","5f7601d14e4cec02189a3b0e","619531dcf66c91622fa1b861","619595b4a818dd99c306a983","525.7000000029802"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","video-keyboard-response","13","100558","0.0-13.0","5f7601d14e4cec02189a3b0e","619531dcf66c91622fa1b861","619595b4a818dd99c306a983","1477.5999999940395","[""video/endTraining.mp4""]"," ","","","","","","","","","",""
"","","","","","html-keyboard-response","14","100561","0.0-14.0-0.0-0.0","5f7601d14e4cec02189a3b0e","619531dcf66c91622fa1b861","619595b4a818dd99c306a983","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","15","104722","0.0-14.0-0.0-1.0","5f7601d14e4cec02189a3b0e","619531dcf66c91622fa1b861","619595b4a818dd99c306a983","3152.1999999955297","","s","true","[[519,504],[504,80],[80,95],[95,519]]","false","4","main_T2_Trial","s","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","4","targetUp_distractorsDown"
"","","","","","html-keyboard-response","16","104724","0.0-14.0-0.0-0.1","5f7601d14e4cec02189a3b0e","619531dcf66c91622fa1b861","619595b4a818dd99c306a983","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","17","108793","0.0-14.0-0.0-1.1","5f7601d14e4cec02189a3b0e","619531dcf66c91622fa1b861","619595b4a818dd99c306a983","3065.7000000029802","","s","true","[[18,197],[70,492],[352,595],[581,402],[529,107],[247,4]]","false","6","main_T2_Trial","s","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","6","targetUp_distractorsDown"
"","","","","","html-keyboard-response","18","108802","0.0-14.0-0.0-0.2","5f7601d14e4cec02189a3b0e","619531dcf66c91622fa1b861","619595b4a818dd99c306a983","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","19","113270","0.0-14.0-0.0-1.2","5f7601d14e4cec02189a3b0e","619531dcf66c91622fa1b861","619595b4a818dd99c306a983","3465.10000000149","","s","true","[[594,242],[242,5],[5,357],[357,594]]","false","4","main_T2_Trial","s","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","4","targetUp_distractorsDown"
"","","","","","html-keyboard-response","20","113279","0.0-14.0-0.0-0.3","5f7601d14e4cec02189a3b0e","619531dcf66c91622fa1b861","619595b4a818dd99c306a983","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","21","132187","0.0-14.0-0.0-1.3","5f7601d14e4cec02189a3b0e","619531dcf66c91622fa1b861","619595b4a818dd99c306a983","17896","","d","true","[[594,357],[548,132],[357,5],[132,51],[5,242],[51,467],[242,594],[467,548]]","true","8","main_T2_Trial","d","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","8","targetDown_distractorsUp"
"","","","","","html-keyboard-response","22","132197","0.0-14.0-0.0-0.4","5f7601d14e4cec02189a3b0e","619531dcf66c91622fa1b861","619595b4a818dd99c306a983","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","23","137809","0.0-14.0-0.0-1.4","5f7601d14e4cec02189a3b0e","619531dcf66c91622fa1b861","619595b4a818dd99c306a983","4598.10000000149","","s","true","[[500,77],[250,4],[37,153],[22,413],[215,587],[472,545],[599,317]]","false","7","main_T2_Trial","s","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","7","targetDown_distractorsUp"
"","","","","","html-keyboard-response","24","137811","0.0-14.0-0.0-0.5","5f7601d14e4cec02189a3b0e","619531dcf66c91622fa1b861","619595b4a818dd99c306a983","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","25","144483","0.0-14.0-0.0-1.5","5f7601d14e4cec02189a3b0e","619531dcf66c91622fa1b861","619595b4a818dd99c306a983","5662.19999999553","","s","true","[[551,136],[329,1],[84,91],[2,338],[144,556],[403,581],[584,394]]","false","7","main_T2_Trial","s","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","7","targetUp_distractorsDown"
"","","","","","html-keyboard-response","26","144485","0.0-14.0-0.0-0.6","5f7601d14e4cec02189a3b0e","619531dcf66c91622fa1b861","619595b4a818dd99c306a983","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","27","157249","0.0-14.0-0.0-1.6","5f7601d14e4cec02189a3b0e","619531dcf66c91622fa1b861","619595b4a818dd99c306a983","11751.09999999404","","d","false","[[289,0],[59,121],[10,376],[179,574],[439,565],[594,356],[527,104]]","false","7","main_T2_Trial","s","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","7","targetDown_distractorsUp"
"","","","","","html-keyboard-response","28","157251","0.0-14.0-0.0-0.7","5f7601d14e4cec02189a3b0e","619531dcf66c91622fa1b861","619595b4a818dd99c306a983","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","29","159543","0.0-14.0-0.0-1.7","5f7601d14e4cec02189a3b0e","619531dcf66c91622fa1b861","619595b4a818dd99c306a983","1274.3000000044703","","d","true","[[119,539],[539,480],[480,60],[60,119]]","true","4","main_T2_Trial","d","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","4","targetDown_distractorsUp"
"","","","","","html-keyboard-response","30","159547","0.0-14.0-0.0-0.8","5f7601d14e4cec02189a3b0e","619531dcf66c91622fa1b861","619595b4a818dd99c306a983","null","","null","","","","","main_T1_ITI","","","","",""
