"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","correct","locations","target_present","set_size","task","correct_response","target","foilCM","setSizeCM","searchCondition"
"true","false","[]","[]","[]","preload","0","21708","0.0-0.0","5f983f3b00bbab0c4b28149a","619531dcf66c91622fa1b861","6195a2161d2e6fc9ed9c4f4b","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","26050","0.0-1.0","5f983f3b00bbab0c4b28149a","619531dcf66c91622fa1b861","6195a2161d2e6fc9ed9c4f4b","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","34148","0.0-2.0","5f983f3b00bbab0c4b28149a","619531dcf66c91622fa1b861","6195a2161d2e6fc9ed9c4f4b","8096.5999999940395","What a beautiful Thursday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.
    <p> [Press any key to continue.] </p>
    
    "," ","","","","","","","","","",""
"","","","","","video-keyboard-response","3","69358","0.0-3.0","5f983f3b00bbab0c4b28149a","619531dcf66c91622fa1b861","6195a2161d2e6fc9ed9c4f4b","35205.40000000596","[""video/TaskInstructions.mp4""]","d","","","","","","","","","",""
"","","","","","html-keyboard-response","4","75103","0.0-4.0","5f983f3b00bbab0c4b28149a","619531dcf66c91622fa1b861","6195a2161d2e6fc9ed9c4f4b","5744","
    <p>First, we're going to do a few practice trials to make sure you understand the task. You will recieve feedback on each trial. </p>
    <p>[Press any key to begin the familiarization phase.]</p>
    ","d","","","","","","","","","",""
"","","","","","visual-search-circle","5","77244","0.0-5.0-0.0","5f983f3b00bbab0c4b28149a","619531dcf66c91622fa1b861","6195a2161d2e6fc9ed9c4f4b","1078.7000000178814","","s","false","[[508,84],[84,91],[91,515],[515,508]]","true","4","training","d","","","",""
"","","","","","html-keyboard-response","6","82519","0.0-6.0","5f983f3b00bbab0c4b28149a","619531dcf66c91622fa1b861","6195a2161d2e6fc9ed9c4f4b","5273.200000017881"," <div style='float: center;'><img src='img/feedbackWrong.png'></img> </div> ","d","","","","","","","","","",""
"","","","","","visual-search-circle","7","84638","0.0-7.0-0.0","5f983f3b00bbab0c4b28149a","619531dcf66c91622fa1b861","6195a2161d2e6fc9ed9c4f4b","1112.5999999940395","","s","true","[[458,45],[45,141],[141,554],[554,458]]","false","4","training","s","","","",""
"","","","","","html-keyboard-response","8","99081","0.0-8.0","5f983f3b00bbab0c4b28149a","619531dcf66c91622fa1b861","6195a2161d2e6fc9ed9c4f4b","14441"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","s","","","","","","","","","",""
"","","","","","visual-search-circle","9","101044","0.0-9.0-0.0","5f983f3b00bbab0c4b28149a","619531dcf66c91622fa1b861","6195a2161d2e6fc9ed9c4f4b","954.9000000059605","","s","true","[[445,37],[145,42],[0,305],[154,562],[454,557],[599,294]]","false","6","training","s","","","",""
"","","","","","html-keyboard-response","10","105771","0.0-10.0","5f983f3b00bbab0c4b28149a","619531dcf66c91622fa1b861","6195a2161d2e6fc9ed9c4f4b","4726.300000011921"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","s","","","","","","","","","",""
"","","","","","visual-search-circle","11","107417","0.0-11.0-0.0","5f983f3b00bbab0c4b28149a","619531dcf66c91622fa1b861","6195a2161d2e6fc9ed9c4f4b","635.7000000178814","","d","true","[[508,515],[599,305],[515,91],[305,0],[91,84],[0,294],[84,508],[294,599]]","true","8","training","d","","","",""
"","","","","","html-keyboard-response","12","109457","0.0-12.0","5f983f3b00bbab0c4b28149a","619531dcf66c91622fa1b861","6195a2161d2e6fc9ed9c4f4b","2038.7999999821186"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","s","","","","","","","","","",""
"","","","","","video-keyboard-response","13","115101","0.0-13.0","5f983f3b00bbab0c4b28149a","619531dcf66c91622fa1b861","6195a2161d2e6fc9ed9c4f4b","5642.5999999940395","[""video/endTraining.mp4""]","s","","","","","","","","","",""
"","","","","","html-keyboard-response","14","115103","0.0-14.0-0.0-0.0","5f983f3b00bbab0c4b28149a","619531dcf66c91622fa1b861","6195a2161d2e6fc9ed9c4f4b","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","15","117111","0.0-14.0-0.0-1.0","5f983f3b00bbab0c4b28149a","619531dcf66c91622fa1b861","6195a2161d2e6fc9ed9c4f4b","999","","d","true","[[326,598],[529,492],[598,273],[492,70],[273,1],[70,107],[1,326],[107,529]]","true","8","main_T2_Trial","d","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","8","targetDown_distractorsUp"
"","","","","","html-keyboard-response","16","117113","0.0-14.0-0.0-0.1","5f983f3b00bbab0c4b28149a","619531dcf66c91622fa1b861","6195a2161d2e6fc9ed9c4f4b","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","17","119281","0.0-14.0-0.0-1.1","5f983f3b00bbab0c4b28149a","619531dcf66c91622fa1b861","6195a2161d2e6fc9ed9c4f4b","1161.800000011921","","d","true","[[242,594],[562,445],[519,95],[173,28],[2,336]]","true","5","main_T2_Trial","d","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","5","targetUp_distractorsDown"
"","","","","","html-keyboard-response","18","119283","0.0-14.0-0.0-0.2","5f983f3b00bbab0c4b28149a","619531dcf66c91622fa1b861","6195a2161d2e6fc9ed9c4f4b","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","19","120985","0.0-14.0-0.0-1.2","5f983f3b00bbab0c4b28149a","619531dcf66c91622fa1b861","6195a2161d2e6fc9ed9c4f4b","693","","s","true","[[476,542],[596,346],[542,123],[346,3],[123,57],[3,253],[57,476],[253,596]]","false","8","main_T2_Trial","s","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","8","targetUp_distractorsDown"
"","","","","","html-keyboard-response","20","120987","0.0-14.0-0.0-0.3","5f983f3b00bbab0c4b28149a","619531dcf66c91622fa1b861","6195a2161d2e6fc9ed9c4f4b","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","21","122843","0.0-14.0-0.0-1.3","5f983f3b00bbab0c4b28149a","619531dcf66c91622fa1b861","6195a2161d2e6fc9ed9c4f4b","845.1999999880791","","d","true","[[80,95],[3,343],[149,559],[408,579],[586,389],[548,131],[323,0]]","true","7","main_T2_Trial","d","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","7","targetDown_distractorsUp"
"","","","","","html-keyboard-response","22","122845","0.0-14.0-0.0-0.4","5f983f3b00bbab0c4b28149a","619531dcf66c91622fa1b861","6195a2161d2e6fc9ed9c4f4b","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","23","124551","0.0-14.0-0.0-1.4","5f983f3b00bbab0c4b28149a","619531dcf66c91622fa1b861","6195a2161d2e6fc9ed9c4f4b","697.5999999940395","","s","true","[[136,48],[48,463],[463,551],[551,136]]","false","4","main_T2_Trial","s","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","4","targetDown_distractorsUp"
"","","","","","html-keyboard-response","24","124553","0.0-14.0-0.0-0.5","5f983f3b00bbab0c4b28149a","619531dcf66c91622fa1b861","6195a2161d2e6fc9ed9c4f4b","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","25","126214","0.0-14.0-0.0-1.5","5f983f3b00bbab0c4b28149a","619531dcf66c91622fa1b861","6195a2161d2e6fc9ed9c4f4b","653.5999999940395","","s","true","[[4,352],[352,595],[595,247],[247,4]]","false","4","main_T2_Trial","s","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","4","targetUp_distractorsDown"
"","","","","","html-keyboard-response","26","126215","0.0-14.0-0.0-0.6","5f983f3b00bbab0c4b28149a","619531dcf66c91622fa1b861","6195a2161d2e6fc9ed9c4f4b","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","27","128182","0.0-14.0-0.0-1.6","5f983f3b00bbab0c4b28149a","619531dcf66c91622fa1b861","6195a2161d2e6fc9ed9c4f4b","960.5","","s","true","[[467,548],[588,217],[310,0],[18,197],[115,536]]","false","5","main_T2_Trial","s","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","5","targetUp_distractorsDown"
"","","","","","html-keyboard-response","28","128184","0.0-14.0-0.0-0.7","5f983f3b00bbab0c4b28149a","619531dcf66c91622fa1b861","6195a2161d2e6fc9ed9c4f4b","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","29","129974","0.0-14.0-0.0-1.7","5f983f3b00bbab0c4b28149a","619531dcf66c91622fa1b861","6195a2161d2e6fc9ed9c4f4b","785","","s","false","[[598,273],[367,7],[42,145],[73,496],[417,576]]","true","5","main_T2_Trial","d","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","5","targetDown_distractorsUp"
"","","","","","html-keyboard-response","30","129976","0.0-14.0-0.0-0.8","5f983f3b00bbab0c4b28149a","619531dcf66c91622fa1b861","6195a2161d2e6fc9ed9c4f4b","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","31","132060","0.0-14.0-0.0-1.8","5f983f3b00bbab0c4b28149a","619531dcf66c91622fa1b861","6195a2161d2e6fc9ed9c4f4b","1075.3999999761581","","s","true","[[70,492],[307,599],[539,481],[590,225],[423,26],[163,33],[5,240]]","false","7","main_T2_Trial","s","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","7","targetDown_distractorsUp"
"","","","","","html-keyboard-response","32","132061","0.0-14.0-0.0-0.9","5f983f3b00bbab0c4b28149a","619531dcf66c91622fa1b861","6195a2161d2e6fc9ed9c4f4b","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","33","133875","0.0-14.0-0.0-1.9","5f983f3b00bbab0c4b28149a","619531dcf66c91622fa1b861","6195a2161d2e6fc9ed9c4f4b","807.5","","d","true","[[599,279],[431,30],[132,51],[0,320],[168,569],[467,548]]","true","6","main_T2_Trial","d","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","6","targetUp_distractorsDown"
"","","","","","html-keyboard-response","34","133877","0.0-14.0-0.0-0.10","5f983f3b00bbab0c4b28149a","619531dcf66c91622fa1b861","6195a2161d2e6fc9ed9c4f4b","null","","null","","","","","main_T1_ITI","","","","",""
