"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","correct","locations","target_present","set_size","task","correct_response","target","foilCM","setSizeCM","searchCondition"
"true","false","[]","[]","[]","preload","0","277637","0.0-0.0","5fb754ca012e372845878671","619531dcf66c91622fa1b861","619596187bd028d33946da48","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","287187","0.0-1.0","5fb754ca012e372845878671","619531dcf66c91622fa1b861","619596187bd028d33946da48","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","295995","0.0-2.0","5fb754ca012e372845878671","619531dcf66c91622fa1b861","619596187bd028d33946da48","8806.5","What a beautiful Wednesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.
    <p> [Press any key to continue.] </p>
    
    ","enter","","","","","","","","","",""
"","","","","","video-keyboard-response","3","362867","0.0-3.0","5fb754ca012e372845878671","619531dcf66c91622fa1b861","619596187bd028d33946da48","66867.69999998808","[""video/TaskInstructions.mp4""]","enter","","","","","","","","","",""
"","","","","","html-keyboard-response","4","369241","0.0-4.0","5fb754ca012e372845878671","619531dcf66c91622fa1b861","619596187bd028d33946da48","6372.5","
    <p>First, we're going to do a few practice trials to make sure you understand the task. You will recieve feedback on each trial. </p>
    <p>[Press any key to begin the familiarization phase.]</p>
    ","enter","","","","","","","","","",""
"","","","","","visual-search-circle","5","381021","0.0-5.0-0.0","5fb754ca012e372845878671","619531dcf66c91622fa1b861","619596187bd028d33946da48","10706.90000000596","","d","true","[[1,273],[273,598],[598,326],[326,1]]","true","4","training","d","","","",""
"","","","","","html-keyboard-response","6","385608","0.0-6.0","5fb754ca012e372845878671","619531dcf66c91622fa1b861","619596187bd028d33946da48","4584.699999988079"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","enter","","","","","","","","","",""
"","","","","","visual-search-circle","7","391683","0.0-7.0-0.0","5fb754ca012e372845878671","619531dcf66c91622fa1b861","619596187bd028d33946da48","5066.5","","s","true","[[115,536],[536,484],[484,63],[63,115]]","false","4","training","s","","","",""
"","","","","","html-keyboard-response","8","393728","0.0-8.0","5fb754ca012e372845878671","619531dcf66c91622fa1b861","619596187bd028d33946da48","2044.0999999940395"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","enter","","","","","","","","","",""
"","","","","","visual-search-circle","9","399128","0.0-9.0-0.0","5fb754ca012e372845878671","619531dcf66c91622fa1b861","619596187bd028d33946da48","4389.79999999702","","s","true","[[123,542],[422,574],[598,331],[476,57],[177,25],[1,268]]","false","6","training","s","","","",""
"","","","","","html-keyboard-response","10","400417","0.0-10.0","5fb754ca012e372845878671","619531dcf66c91622fa1b861","619596187bd028d33946da48","1286.2000000029802"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","enter","","","","","","","","","",""
"","","","","","visual-search-circle","11","402938","0.0-11.0-0.0","5fb754ca012e372845878671","619531dcf66c91622fa1b861","619596187bd028d33946da48","1501.0999999940395","","d","true","[[284,0],[77,99],[0,315],[99,522],[315,599],[522,500],[599,284],[500,77]]","true","8","training","d","","","",""
"","","","","","html-keyboard-response","12","403784","0.0-12.0","5fb754ca012e372845878671","619531dcf66c91622fa1b861","619596187bd028d33946da48","844.5999999940395"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","enter","","","","","","","","","",""
"","","","","","video-keyboard-response","13","419098","0.0-13.0","5fb754ca012e372845878671","619531dcf66c91622fa1b861","619596187bd028d33946da48","15311.10000000894","[""video/endTraining.mp4""]","enter","","","","","","","","","",""
"","","","","","html-keyboard-response","14","419102","0.0-14.0-0.0-0.0","5fb754ca012e372845878671","619531dcf66c91622fa1b861","619596187bd028d33946da48","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","15","427024","0.0-14.0-0.0-1.0","5fb754ca012e372845878671","619531dcf66c91622fa1b861","619596187bd028d33946da48","6903.100000008941","","s","true","[[7,367],[212,586],[504,519],[592,232],[387,13],[95,80]]","false","6","main_T2_Trial","s","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","6","targetUp_distractorsDown"
"","","","","","html-keyboard-response","16","427029","0.0-14.0-0.0-0.1","5fb754ca012e372845878671","619531dcf66c91622fa1b861","619596187bd028d33946da48","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","17","429546","0.0-14.0-0.0-1.1","5fb754ca012e372845878671","619531dcf66c91622fa1b861","619596187bd028d33946da48","1502.6000000089407","","d","true","[[4,247],[107,529],[402,581],[595,352],[492,70],[197,18]]","true","6","main_T2_Trial","d","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","6","targetUp_distractorsDown"
