"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","correct","locations","target_present","set_size","task","correct_response","target","foilCM","setSizeCM","searchCondition"
"true","false","[]","[]","[]","preload","0","55835","0.0-0.0","5fbbf3f438be4c025df6cdd4","619531dcf66c91622fa1b861","61959beacd808f9ab6afc206","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","59666","0.0-1.0","5fbbf3f438be4c025df6cdd4","619531dcf66c91622fa1b861","61959beacd808f9ab6afc206","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","70787","0.0-2.0","5fbbf3f438be4c025df6cdd4","619531dcf66c91622fa1b861","61959beacd808f9ab6afc206","11115.699999988079","What a beautiful Thursday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.
    <p> [Press any key to continue.] </p>
    
    "," ","","","","","","","","","",""
"","","","","","video-keyboard-response","3","83295","0.0-3.0","5fbbf3f438be4c025df6cdd4","619531dcf66c91622fa1b861","61959beacd808f9ab6afc206","12486.100000023842","[""video/TaskInstructions.mp4""]","audiovolumedown","","","","","","","","","",""
"","","","","","html-keyboard-response","4","93261","0.0-4.0","5fbbf3f438be4c025df6cdd4","619531dcf66c91622fa1b861","61959beacd808f9ab6afc206","9960.899999976158","
    <p>First, we're going to do a few practice trials to make sure you understand the task. You will recieve feedback on each trial. </p>
    <p>[Press any key to begin the familiarization phase.]</p>
    "," ","","","","","","","","","",""
"","","","","","visual-search-circle","5","109957","0.0-5.0-0.0","5fbbf3f438be4c025df6cdd4","619531dcf66c91622fa1b861","61959beacd808f9ab6afc206","15621.399999976158","","s","false","[[23,182],[182,576],[576,417],[417,23]]","true","4","training","d","","","",""
"","","","","","html-keyboard-response","6","117556","0.0-6.0","5fbbf3f438be4c025df6cdd4","619531dcf66c91622fa1b861","61959beacd808f9ab6afc206","7597.5"," <div style='float: center;'><img src='img/feedbackWrong.png'></img> </div> ","d","","","","","","","","","",""
"","","","","","visual-search-circle","7","124960","0.0-7.0-0.0","5fbbf3f438be4c025df6cdd4","619531dcf66c91622fa1b861","61959beacd808f9ab6afc206","6374.599999964237","","s","true","[[310,599],[599,289],[289,0],[0,310]]","false","4","training","s","","","",""
"","","","","","html-keyboard-response","8","128770","0.0-8.0","5fbbf3f438be4c025df6cdd4","619531dcf66c91622fa1b861","61959beacd808f9ab6afc206","3804.800000011921"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","d","","","","","","","","","",""
"","","","","","visual-search-circle","9","132007","0.0-9.0-0.0","5fbbf3f438be4c025df6cdd4","619531dcf66c91622fa1b861","61959beacd808f9ab6afc206","2218.900000035763","","s","true","[[567,436],[551,136],[284,0],[32,163],[48,463],[315,599]]","false","6","training","s","","","",""
"","","","","","html-keyboard-response","10","133181","0.0-10.0","5fbbf3f438be4c025df6cdd4","619531dcf66c91622fa1b861","61959beacd808f9ab6afc206","1172"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","s","","","","","","","","","",""
"","","","","","visual-search-circle","11","135562","0.0-11.0-0.0","5fbbf3f438be4c025df6cdd4","619531dcf66c91622fa1b861","61959beacd808f9ab6afc206","1357.5","","d","true","[[11,217],[37,445],[217,588],[445,562],[588,382],[562,154],[382,11],[154,37]]","true","8","training","d","","","",""
"","","","","","html-keyboard-response","12","136415","0.0-12.0","5fbbf3f438be4c025df6cdd4","619531dcf66c91622fa1b861","61959beacd808f9ab6afc206","850.8000000119209"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","d","","","","","","","","","",""
"","","","","","video-keyboard-response","13","156850","0.0-13.0","5fbbf3f438be4c025df6cdd4","619531dcf66c91622fa1b861","61959beacd808f9ab6afc206","20426.899999976158","[""video/endTraining.mp4""]"," ","","","","","","","","","",""
"","","","","","html-keyboard-response","14","156858","0.0-14.0-0.0-0.0","5fbbf3f438be4c025df6cdd4","619531dcf66c91622fa1b861","61959beacd808f9ab6afc206","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","15","160004","0.0-14.0-0.0-1.0","5fbbf3f438be4c025df6cdd4","619531dcf66c91622fa1b861","61959beacd808f9ab6afc206","2120.600000023842","","s","false","[[593,237],[434,31],[173,27],[8,228],[62,483],[295,599],[531,490]]","true","7","main_T2_Trial","d","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","7","targetDown_distractorsUp"
"","","","","","html-keyboard-response","16","160012","0.0-14.0-0.0-0.1","5fbbf3f438be4c025df6cdd4","619531dcf66c91622fa1b861","61959beacd808f9ab6afc206","null","","null","","","","","main_T1_ITI","","","","",""
