"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","correct","locations","target_present","set_size","task","correct_response","target","foilCM","setSizeCM","searchCondition"
"true","false","[]","[]","[]","preload","0","121045","0.0-0.0","5fd60b369aa1a548ed311af6","619531dcf66c91622fa1b861","619595fe4c3aa422809beede","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","163089","0.0-1.0","5fd60b369aa1a548ed311af6","619531dcf66c91622fa1b861","619595fe4c3aa422809beede","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","170620","0.0-2.0","5fd60b369aa1a548ed311af6","619531dcf66c91622fa1b861","619595fe4c3aa422809beede","7527.0999999940395","What a beautiful Thursday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.
    <p> [Press any key to continue.] </p>
    
    "," ","","","","","","","","","",""
"","","","","","video-keyboard-response","3","208740","0.0-3.0","5fd60b369aa1a548ed311af6","619531dcf66c91622fa1b861","619595fe4c3aa422809beede","38080.20000001788","[""video/TaskInstructions.mp4""]"," ","","","","","","","","","",""
"","","","","","html-keyboard-response","4","215410","0.0-4.0","5fd60b369aa1a548ed311af6","619531dcf66c91622fa1b861","619595fe4c3aa422809beede","6668.4000000059605","
    <p>First, we're going to do a few practice trials to make sure you understand the task. You will recieve feedback on each trial. </p>
    <p>[Press any key to begin the familiarization phase.]</p>
    "," ","","","","","","","","","",""
"","","","","","visual-search-circle","5","220539","0.0-5.0-0.0","5fd60b369aa1a548ed311af6","619531dcf66c91622fa1b861","619595fe4c3aa422809beede","4046.800000011921","","d","true","[[341,597],[597,258],[258,2],[2,341]]","true","4","training","d","","","",""
"","","","","","html-keyboard-response","6","223949","0.0-6.0","5fd60b369aa1a548ed311af6","619531dcf66c91622fa1b861","619595fe4c3aa422809beede","3408.7999999821186"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","7","226494","0.0-7.0-0.0","5fd60b369aa1a548ed311af6","619531dcf66c91622fa1b861","619595fe4c3aa422809beede","1532.2000000178814","","s","true","[[11,382],[382,588],[588,217],[217,11]]","false","4","training","s","","","",""
"","","","","","html-keyboard-response","8","229215","0.0-8.0","5fd60b369aa1a548ed311af6","619531dcf66c91622fa1b861","619595fe4c3aa422809beede","2719"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","9","232115","0.0-9.0-0.0","5fd60b369aa1a548ed311af6","619531dcf66c91622fa1b861","619595fe4c3aa422809beede","1890.0999999940395","","s","true","[[562,445],[557,145],[294,0],[37,154],[42,454],[305,599]]","false","6","training","s","","","",""
"","","","","","html-keyboard-response","10","234271","0.0-10.0","5fd60b369aa1a548ed311af6","619531dcf66c91622fa1b861","619595fe4c3aa422809beede","2154.2000000178814"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","11","236736","0.0-11.0-0.0","5fd60b369aa1a548ed311af6","619531dcf66c91622fa1b861","619595fe4c3aa422809beede","1443.800000011921","","d","true","[[422,25],[192,19],[25,177],[19,407],[177,574],[407,580],[574,422],[580,192]]","true","8","training","d","","","",""
"","","","","","html-keyboard-response","12","237952","0.0-12.0","5fd60b369aa1a548ed311af6","619531dcf66c91622fa1b861","619595fe4c3aa422809beede","1214.699999988079"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","video-keyboard-response","13","243252","0.0-13.0","5fd60b369aa1a548ed311af6","619531dcf66c91622fa1b861","619595fe4c3aa422809beede","5297.4000000059605","[""video/endTraining.mp4""]"," ","","","","","","","","","",""
"","","","","","html-keyboard-response","14","243254","0.0-14.0-0.0-0.0","5fd60b369aa1a548ed311af6","619531dcf66c91622fa1b861","619595fe4c3aa422809beede","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","15","246992","0.0-14.0-0.0-1.0","5fd60b369aa1a548ed311af6","619531dcf66c91622fa1b861","619595fe4c3aa422809beede","2725.0999999940395","","s","false","[[0,305],[212,586],[545,472],[539,119],[202,16]]","true","5","main_T2_Trial","d","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","5","targetUp_distractorsDown"
