"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","correct","locations","target_present","set_size","task","correct_response","target","foilCM","setSizeCM","searchCondition"
"true","false","[]","[]","[]","preload","0","10311","0.0-0.0","6009c2eda21be3026447d80e","619531dcf66c91622fa1b861","6195956ed32b22cf4649fc9b","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","18538","0.0-1.0","6009c2eda21be3026447d80e","619531dcf66c91622fa1b861","6195956ed32b22cf4649fc9b","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","20661","0.0-2.0","6009c2eda21be3026447d80e","619531dcf66c91622fa1b861","6195956ed32b22cf4649fc9b","2122","What a beautiful Wednesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.
    <p> [Press any key to continue.] </p>
    
    ","enter","","","","","","","","","",""
"","","","","","video-keyboard-response","3","68602","0.0-3.0","6009c2eda21be3026447d80e","619531dcf66c91622fa1b861","6195956ed32b22cf4649fc9b","47937.59999999404","[""video/TaskInstructions.mp4""]"," ","","","","","","","","","",""
"","","","","","html-keyboard-response","4","73982","0.0-4.0","6009c2eda21be3026447d80e","619531dcf66c91622fa1b861","6195956ed32b22cf4649fc9b","5378.399999976158","
    <p>First, we're going to do a few practice trials to make sure you understand the task. You will recieve feedback on each trial. </p>
    <p>[Press any key to begin the familiarization phase.]</p>
    "," ","","","","","","","","","",""
"","","","","","visual-search-circle","5","76545","0.0-5.0-0.0","6009c2eda21be3026447d80e","619531dcf66c91622fa1b861","6195956ed32b22cf4649fc9b","1487","","d","true","[[127,545],[545,472],[472,54],[54,127]]","true","4","training","d","","","",""
"","","","","","html-keyboard-response","6","86537","0.0-6.0","6009c2eda21be3026447d80e","619531dcf66c91622fa1b861","6195956ed32b22cf4649fc9b","9991.899999976158"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","7","88880","0.0-7.0-0.0","6009c2eda21be3026447d80e","619531dcf66c91622fa1b861","6195956ed32b22cf4649fc9b","1332.0999999940395","","s","true","[[2,341],[341,597],[597,258],[258,2]]","false","4","training","s","","","",""
"","","","","","html-keyboard-response","8","92591","0.0-8.0","6009c2eda21be3026447d80e","619531dcf66c91622fa1b861","6195956ed32b22cf4649fc9b","3710.5"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","9","94765","0.0-9.0-0.0","6009c2eda21be3026447d80e","619531dcf66c91622fa1b861","6195956ed32b22cf4649fc9b","1156.5","","s","true","[[119,539],[417,576],[597,336],[480,60],[182,23],[2,263]]","false","6","training","s","","","",""
"","","","","","html-keyboard-response","10","95864","0.0-10.0","6009c2eda21be3026447d80e","619531dcf66c91622fa1b861","6195956ed32b22cf4649fc9b","1098.0999999940395"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","11","97925","0.0-11.0-0.0","6009c2eda21be3026447d80e","619531dcf66c91622fa1b861","6195956ed32b22cf4649fc9b","1049.5999999940395","","d","true","[[407,580],[574,422],[580,192],[422,25],[192,19],[25,177],[19,407],[177,574]]","true","8","training","d","","","",""
"","","","","","html-keyboard-response","12","99362","0.0-12.0","6009c2eda21be3026447d80e","619531dcf66c91622fa1b861","6195956ed32b22cf4649fc9b","1435.7000000178814"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","video-keyboard-response","13","105058","0.0-13.0","6009c2eda21be3026447d80e","619531dcf66c91622fa1b861","6195956ed32b22cf4649fc9b","5692.4000000059605","[""video/endTraining.mp4""]"," ","","","","","","","","","",""
