"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","correct","locations","target_present","set_size","task","correct_response","target","foilCM","setSizeCM","searchCondition"
"true","false","[]","[]","[]","preload","0","16187","0.0-0.0","6030050a5bdba4dd09d142f4","619531dcf66c91622fa1b861","619595b47707942196f23d91","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","21173","0.0-1.0","6030050a5bdba4dd09d142f4","619531dcf66c91622fa1b861","619595b47707942196f23d91","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","28359","0.0-2.0","6030050a5bdba4dd09d142f4","619531dcf66c91622fa1b861","619595b47707942196f23d91","7185.200000017881","What a beautiful Wednesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.
    <p> [Press any key to continue.] </p>
    
    "," ","","","","","","","","","",""
"","","","","","video-keyboard-response","3","73657","0.0-3.0","6030050a5bdba4dd09d142f4","619531dcf66c91622fa1b861","619595b47707942196f23d91","45294.29999998212","[""video/TaskInstructions.mp4""]"," ","","","","","","","","","",""
"","","","","","html-keyboard-response","4","78851","0.0-4.0","6030050a5bdba4dd09d142f4","619531dcf66c91622fa1b861","619595b47707942196f23d91","5193.0999999940395","
    <p>First, we're going to do a few practice trials to make sure you understand the task. You will recieve feedback on each trial. </p>
    <p>[Press any key to begin the familiarization phase.]</p>
    "," ","","","","","","","","","",""
"","","","","","visual-search-circle","5","82102","0.0-5.0-0.0","6030050a5bdba4dd09d142f4","619531dcf66c91622fa1b861","619595b47707942196f23d91","2164.4000000059605","","d","true","[[591,372],[372,8],[8,227],[227,591]]","true","4","training","d","","","",""
"","","","","","html-keyboard-response","6","90520","0.0-6.0","6030050a5bdba4dd09d142f4","619531dcf66c91622fa1b861","619595b47707942196f23d91","8416.40000000596"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","7","94234","0.0-7.0-0.0","6030050a5bdba4dd09d142f4","619531dcf66c91622fa1b861","619595b47707942196f23d91","2702.5","","s","true","[[454,557],[557,145],[145,42],[42,454]]","false","4","training","s","","","",""
"","","","","","html-keyboard-response","8","95300","0.0-8.0","6030050a5bdba4dd09d142f4","619531dcf66c91622fa1b861","619595b47707942196f23d91","1064.7000000178814"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","9","98784","0.0-9.0-0.0","6030050a5bdba4dd09d142f4","619531dcf66c91622fa1b861","619595b47707942196f23d91","2467.5999999940395","","s","true","[[599,320],[467,51],[168,30],[0,279],[132,548],[431,569]]","false","6","training","s","","","",""
"","","","","","html-keyboard-response","10","99832","0.0-10.0","6030050a5bdba4dd09d142f4","619531dcf66c91622fa1b861","619595b47707942196f23d91","1047.7000000178814"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","11","102673","0.0-11.0-0.0","6030050a5bdba4dd09d142f4","619531dcf66c91622fa1b861","619595b47707942196f23d91","1821.4000000059605","","d","true","[[182,23],[21,187],[23,417],[187,578],[417,576],[578,412],[576,182],[412,21]]","true","8","training","d","","","",""
"","","","","","html-keyboard-response","12","103752","0.0-12.0","6030050a5bdba4dd09d142f4","619531dcf66c91622fa1b861","619595b47707942196f23d91","1078.0999999940395"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","video-keyboard-response","13","111360","0.0-13.0","6030050a5bdba4dd09d142f4","619531dcf66c91622fa1b861","619595b47707942196f23d91","7605.699999988079","[""video/endTraining.mp4""]"," ","","","","","","","","","",""
"","","","","","html-keyboard-response","14","111363","0.0-14.0-0.0-0.0","6030050a5bdba4dd09d142f4","619531dcf66c91622fa1b861","619595b47707942196f23d91","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","15","114626","0.0-14.0-0.0-1.0","6030050a5bdba4dd09d142f4","619531dcf66c91622fa1b861","619595b47707942196f23d91","2255","","d","false","[[8,227],[227,591],[591,372],[372,8]]","false","4","main_T2_Trial","s","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","4","targetUp_distractorsDown"
