"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","correct","locations","target_present","set_size","task","correct_response","target","foilCM","setSizeCM","searchCondition"
"true","false","[]","[]","[]","preload","0","6754","0.0-0.0","603990bc95a5a047b165f662","619531dcf66c91622fa1b861","619595d41a0f707283706585","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","18845","0.0-1.0","603990bc95a5a047b165f662","619531dcf66c91622fa1b861","619595d41a0f707283706585","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","29144","0.0-2.0","603990bc95a5a047b165f662","619531dcf66c91622fa1b861","619595d41a0f707283706585","10298.5","What a beautiful Thursday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.
    <p> [Press any key to continue.] </p>
    
    "," ","","","","","","","","","",""
"","","","","","video-keyboard-response","3","71298","0.0-3.0","603990bc95a5a047b165f662","619531dcf66c91622fa1b861","619595d41a0f707283706585","42152.60000000894","[""video/TaskInstructions.mp4""]"," ","","","","","","","","","",""
"","","","","","html-keyboard-response","4","77328","0.0-4.0","603990bc95a5a047b165f662","619531dcf66c91622fa1b861","619595d41a0f707283706585","6029.20000000298","
    <p>First, we're going to do a few practice trials to make sure you understand the task. You will recieve feedback on each trial. </p>
    <p>[Press any key to begin the familiarization phase.]</p>
    "," ","","","","","","","","","",""
"","","","","","visual-search-circle","5","80837","0.0-5.0-0.0","603990bc95a5a047b165f662","619531dcf66c91622fa1b861","619595d41a0f707283706585","2447.6000000089407","","d","true","[[14,207],[207,585],[585,392],[392,14]]","true","4","training","d","","","",""
"","","","","","html-keyboard-response","6","84826","0.0-6.0","603990bc95a5a047b165f662","619531dcf66c91622fa1b861","619595d41a0f707283706585","3989.1000000089407"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","7","87529","0.0-7.0-0.0","603990bc95a5a047b165f662","619531dcf66c91622fa1b861","619595d41a0f707283706585","1693.2999999970198","","s","true","[[496,73],[73,103],[103,526],[526,496]]","false","4","training","s","","","",""
"","","","","","html-keyboard-response","8","89445","0.0-8.0","603990bc95a5a047b165f662","619531dcf66c91622fa1b861","619595d41a0f707283706585","1915.300000011921"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","9","92585","0.0-9.0-0.0","603990bc95a5a047b165f662","619531dcf66c91622fa1b861","619595d41a0f707283706585","2134","","s","true","[[382,11],[91,84],[8,372],[217,588],[508,515],[591,227]]","false","6","training","s","","","",""
