"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","correct","locations","target_present","set_size","task","correct_response","target","foilCM","setSizeCM","searchCondition"
"true","false","[]","[]","[]","preload","0","78295","0.0-0.0","60d5f605483d5fe184fcaad8","619531dcf66c91622fa1b861","619599eadaff67e2d91f9efc","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","229757","0.0-1.0","60d5f605483d5fe184fcaad8","619531dcf66c91622fa1b861","619599eadaff67e2d91f9efc","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","236993","0.0-2.0","60d5f605483d5fe184fcaad8","619531dcf66c91622fa1b861","619599eadaff67e2d91f9efc","7235.600000023842","What a beautiful Thursday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.
    <p> [Press any key to continue.] </p>
    
    ","n","","","","","","","","","",""
"","","","","","video-keyboard-response","3","276109","0.0-3.0","60d5f605483d5fe184fcaad8","619531dcf66c91622fa1b861","619599eadaff67e2d91f9efc","39113.19999998808","[""video/TaskInstructions.mp4""]","s","","","","","","","","","",""
"","","","","","html-keyboard-response","4","283570","0.0-4.0","60d5f605483d5fe184fcaad8","619531dcf66c91622fa1b861","619599eadaff67e2d91f9efc","7460.400000035763","
    <p>First, we're going to do a few practice trials to make sure you understand the task. You will recieve feedback on each trial. </p>
    <p>[Press any key to begin the familiarization phase.]</p>
    ","s","","","","","","","","","",""
"","","","","","visual-search-circle","5","286010","0.0-5.0-0.0","60d5f605483d5fe184fcaad8","619531dcf66c91622fa1b861","619599eadaff67e2d91f9efc","1386.1000000238419","","d","true","[[284,0],[0,315],[315,599],[599,284]]","true","4","training","d","","","",""
"","","","","","html-keyboard-response","6","289257","0.0-6.0","60d5f605483d5fe184fcaad8","619531dcf66c91622fa1b861","619599eadaff67e2d91f9efc","3245.800000011921"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","s","","","","","","","","","",""
"","","","","","visual-search-circle","7","291892","0.0-7.0-0.0","60d5f605483d5fe184fcaad8","619531dcf66c91622fa1b861","619599eadaff67e2d91f9efc","1631.8999999761581","","s","true","[[66,111],[111,533],[533,488],[488,66]]","false","4","training","s","","","",""
"","","","","","html-keyboard-response","8","293463","0.0-8.0","60d5f605483d5fe184fcaad8","619531dcf66c91622fa1b861","619599eadaff67e2d91f9efc","1570.4000000357628"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","s","","","","","","","","","",""
"","","","","","visual-search-circle","9","295643","0.0-9.0-0.0","60d5f605483d5fe184fcaad8","619531dcf66c91622fa1b861","619599eadaff67e2d91f9efc","1176.3999999761581","","s","true","[[397,583],[594,357],[496,73],[202,16],[5,242],[103,526]]","false","6","training","s","","","",""
"","","","","","html-keyboard-response","10","296746","0.0-10.0","60d5f605483d5fe184fcaad8","619531dcf66c91622fa1b861","619599eadaff67e2d91f9efc","1102.8999999761581"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","s","","","","","","","","","",""
"","","","","","visual-search-circle","11","298757","0.0-11.0-0.0","60d5f605483d5fe184fcaad8","619531dcf66c91622fa1b861","619599eadaff67e2d91f9efc","1005.7999999523163","","d","true","[[593,362],[551,136],[362,6],[136,48],[6,237],[48,463],[237,593],[463,551]]","true","8","training","d","","","",""
"","","","","","html-keyboard-response","12","299585","0.0-12.0","60d5f605483d5fe184fcaad8","619531dcf66c91622fa1b861","619599eadaff67e2d91f9efc","828.0999999642372"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","s","","","","","","","","","",""
"","","","","","video-keyboard-response","13","304195","0.0-13.0","60d5f605483d5fe184fcaad8","619531dcf66c91622fa1b861","619599eadaff67e2d91f9efc","4608","[""video/endTraining.mp4""]","s","","","","","","","","","",""
"","","","","","html-keyboard-response","14","304196","0.0-14.0-0.0-0.0","60d5f605483d5fe184fcaad8","619531dcf66c91622fa1b861","619599eadaff67e2d91f9efc","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","15","306159","0.0-14.0-0.0-1.0","60d5f605483d5fe184fcaad8","619531dcf66c91622fa1b861","619599eadaff67e2d91f9efc","958.6000000238419","","d","true","[[258,2],[4,247],[159,564],[508,515],[569,168]]","true","5","main_T2_Trial","d","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","5","targetUp_distractorsDown"
"","","","","","html-keyboard-response","16","306162","0.0-14.0-0.0-0.1","60d5f605483d5fe184fcaad8","619531dcf66c91622fa1b861","619599eadaff67e2d91f9efc","null","","null","","","","","main_T1_ITI","","","","",""
