"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","correct","locations","target_present","set_size","task","correct_response","target","foilCM","setSizeCM","searchCondition"
"true","false","[]","[]","[]","preload","0","196820","0.0-0.0","1637185365486","FlSearch2.1.7-PREREGISTERED","today","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","239729","0.0-1.0","1637185365486","FlSearch2.1.7-PREREGISTERED","today","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","246748","0.0-2.0","1637185365486","FlSearch2.1.7-PREREGISTERED","today","7018.5","What a beautiful Wednesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.
    <p> [Press any key to continue.] </p>
    
    "," ","","","","","","","","","",""
"","","","","","video-keyboard-response","3","292006","0.0-3.0","1637185365486","FlSearch2.1.7-PREREGISTERED","today","45243.40000000596","[""video/TaskInstructions.mp4""]"," ","","","","","","","","","",""
"","","","","","html-keyboard-response","4","298531","0.0-4.0","1637185365486","FlSearch2.1.7-PREREGISTERED","today","6524.9000000059605","
    <p>First, we're going to do a few practice trials to make sure you understand the task. You will recieve feedback on each trial. </p>
    <p>[Press any key to begin the familiarization phase.]</p>
    "," ","","","","","","","","","",""
"","","","","","visual-search-circle","5","300850","0.0-5.0-0.0","1637185365486","FlSearch2.1.7-PREREGISTERED","today","1262.699999988079","","d","true","[[168,569],[569,431],[431,30],[30,168]]","true","4","training","d","","","",""
"","","","","","html-keyboard-response","6","303753","0.0-6.0","1637185365486","FlSearch2.1.7-PREREGISTERED","today","2902.699999988079"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","d","","","","","","","","","",""
"","","","","","visual-search-circle","7","305538","0.0-7.0-0.0","1637185365486","FlSearch2.1.7-PREREGISTERED","today","782.5999999940395","","s","true","[[2,341],[341,597],[597,258],[258,2]]","false","4","training","s","","","",""
"","","","","","html-keyboard-response","8","306406","0.0-8.0","1637185365486","FlSearch2.1.7-PREREGISTERED","today","867"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","d","","","","","","","","","",""
"","","","","","visual-search-circle","9","308782","0.0-9.0-0.0","1637185365486","FlSearch2.1.7-PREREGISTERED","today","1371.0999999940395","","s","true","[[591,227],[382,11],[91,84],[8,372],[217,588],[508,515]]","false","6","training","s","","","",""
