"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","correct","locations","target_present","set_size","task","correct_response","target","foilCM","searchCondition"
"true","false","[]","[]","[]","preload","0","5725","0.0-0.0","5baa8477abf2ac0001d277e5","6186fb1cc52d38b480598eb7","61871e84c1871022d5e82168","","","","","","","","","","","",""
"true","","","","","fullscreen","1","8587","0.0-1.0","5baa8477abf2ac0001d277e5","6186fb1cc52d38b480598eb7","61871e84c1871022d5e82168","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","13814","0.0-2.0","5baa8477abf2ac0001d277e5","6186fb1cc52d38b480598eb7","61871e84c1871022d5e82168","5225.899999976158","What a beautiful Saturday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.
    <p> [Press any key to continue.] </p>
    
    "," ","","","","","","","","",""
"","","","","","video-keyboard-response","3","34148","0.0-3.0","5baa8477abf2ac0001d277e5","6186fb1cc52d38b480598eb7","61871e84c1871022d5e82168","20332.299999952316","[""video/TaskInstructions.mp4""]","d","","","","","","","","",""
"","","","","","html-keyboard-response","4","37283","0.0-4.0","5baa8477abf2ac0001d277e5","6186fb1cc52d38b480598eb7","61871e84c1871022d5e82168","3133.600000023842","
    <p>First, we're going to do a few practice trials to make sure you understand the task. You will recieve feedback on each trial. </p>

    <p>[Press any key to begin the familiarization phase.]</p>
    ","d","","","","","","","","",""
"","","","","","visual-search-circle","5","42074","0.0-5.0-0.0","5baa8477abf2ac0001d277e5","6186fb1cc52d38b480598eb7","61871e84c1871022d5e82168","3728.5","","s","false","[[0,305],[305,599],[599,294],[294,0]]","true","4","training","d","","",""
"","","","","","html-keyboard-response","6","45611","0.0-6.0","5baa8477abf2ac0001d277e5","6186fb1cc52d38b480598eb7","61871e84c1871022d5e82168","3536.3000000715256"," <div style='float: center;'><img src='img/feedbackWrong.png'></img> </div> ","d","","","","","","","","",""
"","","","","","visual-search-circle","7","50168","0.0-7.0-0.0","5baa8477abf2ac0001d277e5","6186fb1cc52d38b480598eb7","61871e84c1871022d5e82168","3545","","s","true","[[597,263],[263,2],[2,336],[336,597]]","false","4","training","s","","",""
"","","","","","html-keyboard-response","8","51625","0.0-8.0","5baa8477abf2ac0001d277e5","6186fb1cc52d38b480598eb7","61871e84c1871022d5e82168","1456.4000000953674"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","d","","","","","","","","",""
"","","","","","visual-search-circle","9","55195","0.0-9.0-0.0","5baa8477abf2ac0001d277e5","6186fb1cc52d38b480598eb7","61871e84c1871022d5e82168","2556.8000000715256","","s","true","[[48,463],[315,599],[567,436],[551,136],[284,0],[32,163]]","false","6","training","s","","",""
"","","","","","html-keyboard-response","10","55955","0.0-10.0","5baa8477abf2ac0001d277e5","6186fb1cc52d38b480598eb7","61871e84c1871022d5e82168","759.5"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","s","","","","","","","","",""
"","","","","","visual-search-circle","11","58219","0.0-11.0-0.0","5baa8477abf2ac0001d277e5","6186fb1cc52d38b480598eb7","61871e84c1871022d5e82168","1244.7999999523163","","d","true","[[597,263],[484,63],[263,2],[63,115],[2,336],[115,536],[336,597],[536,484]]","true","8","training","d","","",""
"","","","","","html-keyboard-response","12","58782","0.0-12.0","5baa8477abf2ac0001d277e5","6186fb1cc52d38b480598eb7","61871e84c1871022d5e82168","562.1000000238419"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","d","","","","","","","","",""
"","","","","","video-keyboard-response","13","62100","0.0-13.0","5baa8477abf2ac0001d277e5","6186fb1cc52d38b480598eb7","61871e84c1871022d5e82168","3317","[""video/endTraining.mp4""]","d","","","","","","","","",""
"","","","","","html-keyboard-response","14","62102","0.0-14.0-0.0-0.0","5baa8477abf2ac0001d277e5","6186fb1cc52d38b480598eb7","61871e84c1871022d5e82168","null","","null","","","","","fixation","","","",""
"","","","","","visual-search-circle","15","64678","0.0-14.0-0.0-1.0","5baa8477abf2ac0001d277e5","6186fb1cc52d38b480598eb7","61871e84c1871022d5e82168","1560.0999999046326","","d","true","[[597,263],[417,23],[119,60],[2,336],[182,576],[480,539]]","true","6","","","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","targetUp_distractorsDown"
"","","","","","html-keyboard-response","16","64680","0.0-14.0-0.0-0.1","5baa8477abf2ac0001d277e5","6186fb1cc52d38b480598eb7","61871e84c1871022d5e82168","null","","null","","","","","fixation","","","",""
"","","","","","visual-search-circle","17","66975","0.0-14.0-0.0-1.1","5baa8477abf2ac0001d277e5","6186fb1cc52d38b480598eb7","61871e84c1871022d5e82168","1286.1999999284744","","s","true","[[11,382],[154,562],[382,588],[562,445],[588,217],[445,37],[217,11],[37,154]]","false","8","","","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","targetDown_distractorsUp"
"","","","","","html-keyboard-response","18","66977","0.0-14.0-0.0-0.2","5baa8477abf2ac0001d277e5","6186fb1cc52d38b480598eb7","61871e84c1871022d5e82168","null","","null","","","","","fixation","","","",""
"","","","","","visual-search-circle","19","69997","0.0-14.0-0.0-1.2","5baa8477abf2ac0001d277e5","6186fb1cc52d38b480598eb7","61871e84c1871022d5e82168","2008.3999999761581","","s","true","[[247,595],[529,492],[581,197],[352,4],[70,107],[18,402]]","false","6","","","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","targetDown_distractorsUp"
"","","","","","html-keyboard-response","20","70000","0.0-14.0-0.0-0.3","5baa8477abf2ac0001d277e5","6186fb1cc52d38b480598eb7","61871e84c1871022d5e82168","null","","null","","","","","fixation","","","",""
