"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","correct","locations","target_present","set_size","task","correct_response","target","foilCM","searchCondition"
"true","false","[]","[]","[]","preload","0","51872","0.0-0.0","5c55007647e6020001de175b","6186fb1cc52d38b480598eb7","6187176481163d84519c61c0","","","","","","","","","","","",""
"true","","","","","fullscreen","1","61743","0.0-1.0","5c55007647e6020001de175b","6186fb1cc52d38b480598eb7","6187176481163d84519c61c0","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","71814","0.0-2.0","5c55007647e6020001de175b","6186fb1cc52d38b480598eb7","6187176481163d84519c61c0","10068.60000038147","What a beautiful Saturday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.
    <p> [Press any key to continue.] </p>
    
    ","enter","","","","","","","","",""
"","","","","","video-keyboard-response","3","150298","0.0-3.0","5c55007647e6020001de175b","6186fb1cc52d38b480598eb7","6187176481163d84519c61c0","78476.19999980927","[""video/TaskInstructions.mp4""]","enter","","","","","","","","",""
"","","","","","html-keyboard-response","4","159063","0.0-4.0","5c55007647e6020001de175b","6186fb1cc52d38b480598eb7","6187176481163d84519c61c0","8774.599999904633","
    <p>First, we're going to do a few practice trials to make sure you understand the task. You will recieve feedback on each trial. </p>

    <p>[Press any key to begin the familiarization phase.]</p>
    ","enter","","","","","","","","",""
"","","","","","visual-search-circle","5","164225","0.0-5.0-0.0","5c55007647e6020001de175b","6186fb1cc52d38b480598eb7","6187176481163d84519c61c0","4094.1000003814697","","d","true","[[145,557],[557,454],[454,42],[42,145]]","true","4","training","d","","",""
"","","","","","html-keyboard-response","6","168356","0.0-6.0","5c55007647e6020001de175b","6186fb1cc52d38b480598eb7","6187176481163d84519c61c0","4129.199999809265"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","enter","","","","","","","","",""
"","","","","","visual-search-circle","7","172787","0.0-7.0-0.0","5c55007647e6020001de175b","6186fb1cc52d38b480598eb7","6187176481163d84519c61c0","3421.7000002861023","","d","false","[[268,1],[1,331],[331,598],[598,268]]","false","4","training","s","","",""
"","","","","","html-keyboard-response","8","174095","0.0-8.0","5c55007647e6020001de175b","6186fb1cc52d38b480598eb7","6187176481163d84519c61c0","1304.3000001907349"," <div style='float: center;'><img src='img/feedbackWrong.png'></img> </div> ","enter","","","","","","","","",""
"","","","","","visual-search-circle","9","178585","0.0-9.0-0.0","5c55007647e6020001de175b","6186fb1cc52d38b480598eb7","6187176481163d84519c61c0","3476.0999999046326","","d","false","[[16,397],[242,594],[526,496],[583,202],[357,5],[73,103]]","false","6","training","s","","",""
"","","","","","html-keyboard-response","10","179525","0.0-10.0","5c55007647e6020001de175b","6186fb1cc52d38b480598eb7","6187176481163d84519c61c0","938.0999999046326"," <div style='float: center;'><img src='img/feedbackWrong.png'></img> </div> ","enter","","","","","","","","",""
"","","","","","visual-search-circle","11","183766","0.0-11.0-0.0","5c55007647e6020001de175b","6186fb1cc52d38b480598eb7","6187176481163d84519c61c0","3227.5999999046326","","s","false","[[279,599],[496,526],[599,320],[526,103],[320,0],[103,73],[0,279],[73,496]]","true","8","training","d","","",""
"","","","","","html-keyboard-response","12","186808","0.0-12.0","5c55007647e6020001de175b","6186fb1cc52d38b480598eb7","6187176481163d84519c61c0","3040.0999999046326"," <div style='float: center;'><img src='img/feedbackWrong.png'></img> </div> ","enter","","","","","","","","",""
"","","","","","video-keyboard-response","13","204897","0.0-13.0","5c55007647e6020001de175b","6186fb1cc52d38b480598eb7","6187176481163d84519c61c0","18083.099999904633","[""video/endTraining.mp4""]","enter","","","","","","","","",""
"","","","","","html-keyboard-response","14","204914","0.0-14.0-0.0-0.0","5c55007647e6020001de175b","6186fb1cc52d38b480598eb7","6187176481163d84519c61c0","null","","null","","","","","fixation","","","",""
