"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","correct","locations","target_present","set_size","task","correct_response","target","foilCM","searchCondition"
"true","false","[]","[]","[]","preload","0","56254","0.0-0.0","5ec4392d840c723047239323","6186fb1cc52d38b480598eb7","618729149af03d5eca6e00fe","","","","","","","","","","","",""
"true","","","","","fullscreen","1","119568","0.0-1.0","5ec4392d840c723047239323","6186fb1cc52d38b480598eb7","618729149af03d5eca6e00fe","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","123257","0.0-2.0","5ec4392d840c723047239323","6186fb1cc52d38b480598eb7","618729149af03d5eca6e00fe","3689","What a beautiful Saturday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.
    <p> [Press any key to continue.] </p>
    
    "," ","","","","","","","","",""
"","","","","","video-keyboard-response","3","140070","0.0-3.0","5ec4392d840c723047239323","6186fb1cc52d38b480598eb7","618729149af03d5eca6e00fe","16809.999999999985","[""video/TaskInstructions.mp4""]"," ","","","","","","","","",""
"","","","","","html-keyboard-response","4","141817","0.0-4.0","5ec4392d840c723047239323","6186fb1cc52d38b480598eb7","618729149af03d5eca6e00fe","1746","
    <p>First, we're going to do a few practice trials to make sure you understand the task. You will recieve feedback on each trial. </p>

    <p>[Press any key to begin the familiarization phase.]</p>
    "," ","","","","","","","","",""
"","","","","","visual-search-circle","5","145455","0.0-5.0-0.0","5ec4392d840c723047239323","6186fb1cc52d38b480598eb7","618729149af03d5eca6e00fe","2578","","s","false","[[6,237],[237,593],[593,362],[362,6]]","true","4","training","d","","",""
"","","","","","html-keyboard-response","6","148271","0.0-6.0","5ec4392d840c723047239323","6186fb1cc52d38b480598eb7","618729149af03d5eca6e00fe","2816"," <div style='float: center;'><img src='img/feedbackWrong.png'></img> </div> "," ","","","","","","","","",""
"","","","","","visual-search-circle","7","151924","0.0-7.0-0.0","5ec4392d840c723047239323","6186fb1cc52d38b480598eb7","618729149af03d5eca6e00fe","2648","","s","true","[[326,598],[598,273],[273,1],[1,326]]","false","4","training","s","","",""
"","","","","","html-keyboard-response","8","153309","0.0-8.0","5ec4392d840c723047239323","6186fb1cc52d38b480598eb7","618729149af03d5eca6e00fe","1385"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","",""
"","","","","","visual-search-circle","9","155269","0.0-9.0-0.0","5ec4392d840c723047239323","6186fb1cc52d38b480598eb7","618729149af03d5eca6e00fe","951","","d","false","[[80,504],[367,592],[586,387],[519,95],[232,7],[13,212]]","false","6","training","s","","",""
"","","","","","html-keyboard-response","10","156174","0.0-10.0","5ec4392d840c723047239323","6186fb1cc52d38b480598eb7","618729149af03d5eca6e00fe","904"," <div style='float: center;'><img src='img/feedbackWrong.png'></img> </div> "," ","","","","","","","","",""
"","","","","","visual-search-circle","11","158588","0.0-11.0-0.0","5ec4392d840c723047239323","6186fb1cc52d38b480598eb7","618729149af03d5eca6e00fe","1399","","d","true","[[70,492],[273,598],[492,529],[598,326],[529,107],[326,1],[107,70],[1,273]]","true","8","training","d","","",""
"","","","","","html-keyboard-response","12","159267","0.0-12.0","5ec4392d840c723047239323","6186fb1cc52d38b480598eb7","618729149af03d5eca6e00fe","678"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","",""
"","","","","","video-keyboard-response","13","160659","0.0-13.0","5ec4392d840c723047239323","6186fb1cc52d38b480598eb7","618729149af03d5eca6e00fe","1391","[""video/endTraining.mp4""]"," ","","","","","","","","",""
"","","","","","html-keyboard-response","14","160688","0.0-14.0-0.0-0.0","5ec4392d840c723047239323","6186fb1cc52d38b480598eb7","618729149af03d5eca6e00fe","null","","null","","","","","fixation","","","",""
