"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","correct","locations","target_present","set_size","task","correct_response","target","foilCM","searchCondition"
"true","false","[]","[]","[]","preload","0","56630","0.0-0.0","5f2dc0823d736d0f81069b93","6186fb1cc52d38b480598eb7","618733d24be33ca9d6e738d2","","","","","","","","","","","",""
"true","","","","","fullscreen","1","213352","0.0-1.0","5f2dc0823d736d0f81069b93","6186fb1cc52d38b480598eb7","618733d24be33ca9d6e738d2","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","217833","0.0-2.0","5f2dc0823d736d0f81069b93","6186fb1cc52d38b480598eb7","618733d24be33ca9d6e738d2","4479","What a beautiful Saturday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.
    <p> [Press any key to continue.] </p>
    
    "," ","","","","","","","","",""
"","","","","","video-keyboard-response","3","255058","0.0-3.0","5f2dc0823d736d0f81069b93","6186fb1cc52d38b480598eb7","618733d24be33ca9d6e738d2","37214","[""video/TaskInstructions.mp4""]","d","","","","","","","","",""
"","","","","","html-keyboard-response","4","258195","0.0-4.0","5f2dc0823d736d0f81069b93","6186fb1cc52d38b480598eb7","618733d24be33ca9d6e738d2","3136","
    <p>First, we're going to do a few practice trials to make sure you understand the task. You will recieve feedback on each trial. </p>

    <p>[Press any key to begin the familiarization phase.]</p>
    ","d","","","","","","","","",""
"","","","","","visual-search-circle","5","263874","0.0-5.0-0.0","5f2dc0823d736d0f81069b93","6186fb1cc52d38b480598eb7","618733d24be33ca9d6e738d2","4606","","d","true","[[0,315],[315,599],[599,284],[284,0]]","true","4","training","d","","",""
"","","","","","html-keyboard-response","6","265621","0.0-6.0","5f2dc0823d736d0f81069b93","6186fb1cc52d38b480598eb7","618733d24be33ca9d6e738d2","1742"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","d","","","","","","","","",""
"","","","","","visual-search-circle","7","268350","0.0-7.0-0.0","5f2dc0823d736d0f81069b93","6186fb1cc52d38b480598eb7","618733d24be33ca9d6e738d2","1709","","s","true","[[77,500],[500,522],[522,99],[99,77]]","false","4","training","s","","",""
"","","","","","html-keyboard-response","8","269519","0.0-8.0","5f2dc0823d736d0f81069b93","6186fb1cc52d38b480598eb7","618733d24be33ca9d6e738d2","1166"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","s","","","","","","","","",""
"","","","","","visual-search-circle","9","274666","0.0-9.0-0.0","5f2dc0823d736d0f81069b93","6186fb1cc52d38b480598eb7","618733d24be33ca9d6e738d2","4129","","s","true","[[80,504],[367,592],[586,387],[519,95],[232,7],[13,212]]","false","6","training","s","","",""
"","","","","","html-keyboard-response","10","275649","0.0-10.0","5f2dc0823d736d0f81069b93","6186fb1cc52d38b480598eb7","618733d24be33ca9d6e738d2","980"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","s","","","","","","","","",""
