"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","correct","locations","target_present","set_size","task","correct_response","target","foilCM","searchCondition"
"true","false","[]","[]","[]","preload","0","7460","0.0-0.0","5fc44569444cef8809245f94","6186fb1cc52d38b480598eb7","618726801d39e6ee755c43d6","","","","","","","","","","","",""
"true","","","","","fullscreen","1","10033","0.0-1.0","5fc44569444cef8809245f94","6186fb1cc52d38b480598eb7","618726801d39e6ee755c43d6","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","15125","0.0-2.0","5fc44569444cef8809245f94","6186fb1cc52d38b480598eb7","618726801d39e6ee755c43d6","5090.300000011921","What a beautiful Saturday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.
    <p> [Press any key to continue.] </p>
    
    ","enter","","","","","","","","",""
"","","","","","video-keyboard-response","3","34107","0.0-3.0","5fc44569444cef8809245f94","6186fb1cc52d38b480598eb7","618726801d39e6ee755c43d6","18976.899999976158","[""video/TaskInstructions.mp4""]"," ","","","","","","","","",""
"","","","","","html-keyboard-response","4","38087","0.0-4.0","5fc44569444cef8809245f94","6186fb1cc52d38b480598eb7","618726801d39e6ee755c43d6","3980.100000023842","
    <p>First, we're going to do a few practice trials to make sure you understand the task. You will recieve feedback on each trial. </p>

    <p>[Press any key to begin the familiarization phase.]</p>
    "," ","","","","","","","","",""
"","","","","","visual-search-circle","5","40446","0.0-5.0-0.0","5fc44569444cef8809245f94","6186fb1cc52d38b480598eb7","618726801d39e6ee755c43d6","1296","","d","true","[[28,173],[173,571],[571,426],[426,28]]","true","4","training","d","","",""
"","","","","","html-keyboard-response","6","42256","0.0-6.0","5fc44569444cef8809245f94","6186fb1cc52d38b480598eb7","618726801d39e6ee755c43d6","1809.3999999761581"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","",""
"","","","","","visual-search-circle","7","44215","0.0-7.0-0.0","5fc44569444cef8809245f94","6186fb1cc52d38b480598eb7","618726801d39e6ee755c43d6","952.3999999761581","","s","true","[[91,515],[515,508],[508,84],[84,91]]","false","4","training","s","","",""
"","","","","","html-keyboard-response","8","44785","0.0-8.0","5fc44569444cef8809245f94","6186fb1cc52d38b480598eb7","618726801d39e6ee755c43d6","568.8000000119209"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","",""
"","","","","","visual-search-circle","9","48751","0.0-9.0-0.0","5fc44569444cef8809245f94","6186fb1cc52d38b480598eb7","618726801d39e6ee755c43d6","2954.600000023842","","s","true","[[571,426],[545,127],[273,1],[28,173],[54,472],[326,598]]","false","6","training","s","","",""
"","","","","","html-keyboard-response","10","49314","0.0-10.0","5fc44569444cef8809245f94","6186fb1cc52d38b480598eb7","618726801d39e6ee755c43d6","561.3999999761581"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","",""
