"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","correct","locations","target_present","set_size","task","correct_response","target","foilCM","searchCondition"
"true","false","[]","[]","[]","preload","0","2966","0.0-0.0","600b867e297f072364af7a99","6186fb1cc52d38b480598eb7","6187200eefe163220b525c5d","","","","","","","","","","","",""
"true","","","","","fullscreen","1","6318","0.0-1.0","600b867e297f072364af7a99","6186fb1cc52d38b480598eb7","6187200eefe163220b525c5d","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","12332","0.0-2.0","600b867e297f072364af7a99","6186fb1cc52d38b480598eb7","6187200eefe163220b525c5d","6013.300000190735","What a beautiful Saturday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.
    <p> [Press any key to continue.] </p>
    
    "," ","","","","","","","","",""
"","","","","","video-keyboard-response","3","47237","0.0-3.0","600b867e297f072364af7a99","6186fb1cc52d38b480598eb7","6187200eefe163220b525c5d","34903","[""video/TaskInstructions.mp4""]","d","","","","","","","","",""
"","","","","","html-keyboard-response","4","51464","0.0-4.0","600b867e297f072364af7a99","6186fb1cc52d38b480598eb7","6187200eefe163220b525c5d","4226.700000047684","
    <p>First, we're going to do a few practice trials to make sure you understand the task. You will recieve feedback on each trial. </p>

    <p>[Press any key to begin the familiarization phase.]</p>
    ","d","","","","","","","","",""
"","","","","","visual-search-circle","5","58717","0.0-5.0-0.0","600b867e297f072364af7a99","6186fb1cc52d38b480598eb7","6187200eefe163220b525c5d","6197.600000143051","","d","true","[[454,42],[42,145],[145,557],[557,454]]","true","4","training","d","","",""
"","","","","","html-keyboard-response","6","61662","0.0-6.0","600b867e297f072364af7a99","6186fb1cc52d38b480598eb7","6187200eefe163220b525c5d","2945.2000000476837"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","d","","","","","","","","",""
"","","","","","visual-search-circle","7","65455","0.0-7.0-0.0","600b867e297f072364af7a99","6186fb1cc52d38b480598eb7","6187200eefe163220b525c5d","2790.7999999523163","","s","true","[[597,263],[263,2],[2,336],[336,597]]","false","4","training","s","","",""
"","","","","","html-keyboard-response","8","66676","0.0-8.0","600b867e297f072364af7a99","6186fb1cc52d38b480598eb7","6187200eefe163220b525c5d","1220.4000000953674"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","s","","","","","","","","",""
"","","","","","visual-search-circle","9","75751","0.0-9.0-0.0","600b867e297f072364af7a99","6186fb1cc52d38b480598eb7","6187200eefe163220b525c5d","8072","","d","false","[[496,73],[202,16],[5,242],[103,526],[397,583],[594,357]]","false","6","training","s","","",""
"","","","","","html-keyboard-response","10","80072","0.0-10.0","600b867e297f072364af7a99","6186fb1cc52d38b480598eb7","6187200eefe163220b525c5d","4319.5"," <div style='float: center;'><img src='img/feedbackWrong.png'></img> </div> ","d","","","","","","","","",""
"","","","","","visual-search-circle","11","90967","0.0-11.0-0.0","600b867e297f072364af7a99","6186fb1cc52d38b480598eb7","6187200eefe163220b525c5d","9891.800000190735","","d","true","[[222,10],[40,150],[10,377],[149,559],[377,589],[559,450],[589,222],[449,40]]","true","8","training","d","","",""
"","","","","","html-keyboard-response","12","91989","0.0-12.0","600b867e297f072364af7a99","6186fb1cc52d38b480598eb7","6187200eefe163220b525c5d","1021.1000001430511"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","d","","","","","","","","",""
"","","","","","video-keyboard-response","13","97043","0.0-13.0","600b867e297f072364af7a99","6186fb1cc52d38b480598eb7","6187200eefe163220b525c5d","5052.599999904633","[""video/endTraining.mp4""]","d","","","","","","","","",""
"","","","","","html-keyboard-response","14","97044","0.0-14.0-0.0-0.0","600b867e297f072364af7a99","6186fb1cc52d38b480598eb7","6187200eefe163220b525c5d","null","","null","","","","","fixation","","","",""
"","","","","","visual-search-circle","15","103134","0.0-14.0-0.0-1.0","600b867e297f072364af7a99","6186fb1cc52d38b480598eb7","6187200eefe163220b525c5d","5086.5","","d","true","[[119,539],[417,576],[597,336],[480,60],[182,23],[2,263]]","true","6","","","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","targetDown_distractorsUp"
"","","","","","html-keyboard-response","16","103145","0.0-14.0-0.0-0.1","600b867e297f072364af7a99","6186fb1cc52d38b480598eb7","6187200eefe163220b525c5d","null","","null","","","","","fixation","","","",""
