"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","correct","locations","target_present","set_size","task","correct_response","target","foilCM","searchCondition"
"true","false","[]","[]","[]","preload","0","14163","0.0-0.0","6063da0f55279e9ff7d38e2c","6186fb1cc52d38b480598eb7","618732e6508dc878b7e50df9","","","","","","","","","","","",""
"true","","","","","fullscreen","1","18017","0.0-1.0","6063da0f55279e9ff7d38e2c","6186fb1cc52d38b480598eb7","618732e6508dc878b7e50df9","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","21418","0.0-2.0","6063da0f55279e9ff7d38e2c","6186fb1cc52d38b480598eb7","618732e6508dc878b7e50df9","3399.5","What a beautiful Saturday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.
    <p> [Press any key to continue.] </p>
    
    "," ","","","","","","","","",""
"","","","","","video-keyboard-response","3","43617","0.0-3.0","6063da0f55279e9ff7d38e2c","6186fb1cc52d38b480598eb7","618732e6508dc878b7e50df9","22193.900000002235","[""video/TaskInstructions.mp4""]"," ","","","","","","","","",""
"","","","","","html-keyboard-response","4","47402","0.0-4.0","6063da0f55279e9ff7d38e2c","6186fb1cc52d38b480598eb7","618732e6508dc878b7e50df9","3783.300000000745","
    <p>First, we're going to do a few practice trials to make sure you understand the task. You will recieve feedback on each trial. </p>

    <p>[Press any key to begin the familiarization phase.]</p>
    "," ","","","","","","","","",""
"","","","","","visual-search-circle","5","50804","0.0-5.0-0.0","6063da0f55279e9ff7d38e2c","6186fb1cc52d38b480598eb7","618732e6508dc878b7e50df9","2336.39999999851","","d","true","[[42,145],[145,557],[557,454],[454,42]]","true","4","training","d","","",""
"","","","","","html-keyboard-response","6","52499","0.0-6.0","6063da0f55279e9ff7d38e2c","6186fb1cc52d38b480598eb7","618732e6508dc878b7e50df9","1692.5999999977648"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","",""
"","","","","","visual-search-circle","7","54757","0.0-7.0-0.0","6063da0f55279e9ff7d38e2c","6186fb1cc52d38b480598eb7","618732e6508dc878b7e50df9","1247.0999999977648","","s","true","[[352,595],[595,247],[247,4],[4,352]]","false","4","training","s","","",""
"","","","","","html-keyboard-response","8","55589","0.0-8.0","6063da0f55279e9ff7d38e2c","6186fb1cc52d38b480598eb7","618732e6508dc878b7e50df9","830.8999999985099"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","",""
"","","","","","visual-search-circle","9","58099","0.0-9.0-0.0","6063da0f55279e9ff7d38e2c","6186fb1cc52d38b480598eb7","618732e6508dc878b7e50df9","1497.8999999985099","","s","true","[[154,37],[0,294],[145,557],[445,562],[599,305],[454,42]]","false","6","training","s","","",""
"","","","","","html-keyboard-response","10","58771","0.0-10.0","6063da0f55279e9ff7d38e2c","6186fb1cc52d38b480598eb7","618732e6508dc878b7e50df9","669.7999999970198"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","",""
"","","","","","visual-search-circle","11","60858","0.0-11.0-0.0","6063da0f55279e9ff7d38e2c","6186fb1cc52d38b480598eb7","618732e6508dc878b7e50df9","1072.199999999255","","d","true","[[163,32],[14,207],[32,436],[207,585],[436,567],[585,392],[567,163],[392,14]]","true","8","training","d","","",""
"","","","","","html-keyboard-response","12","61717","0.0-12.0","6063da0f55279e9ff7d38e2c","6186fb1cc52d38b480598eb7","618732e6508dc878b7e50df9","857.8000000007451"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","",""
"","","","","","video-keyboard-response","13","64484","0.0-13.0","6063da0f55279e9ff7d38e2c","6186fb1cc52d38b480598eb7","618732e6508dc878b7e50df9","2764.199999999255","[""video/endTraining.mp4""]"," ","","","","","","","","",""
"","","","","","html-keyboard-response","14","64487","0.0-14.0-0.0-0.0","6063da0f55279e9ff7d38e2c","6186fb1cc52d38b480598eb7","618732e6508dc878b7e50df9","null","","null","","","","","fixation","","","",""
"","","","","","visual-search-circle","15","66771","0.0-14.0-0.0-1.0","6063da0f55279e9ff7d38e2c","6186fb1cc52d38b480598eb7","618732e6508dc878b7e50df9","1274.199999999255","","d","true","[[63,115],[51,467],[382,588],[599,310],[402,18]]","true","5","","","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","targetUp_distractorsDown"
"","","","","","html-keyboard-response","16","66773","0.0-14.0-0.0-0.1","6063da0f55279e9ff7d38e2c","6186fb1cc52d38b480598eb7","618732e6508dc878b7e50df9","null","","null","","","","","fixation","","","",""
"","","","","","visual-search-circle","17","69135","0.0-14.0-0.0-1.1","6063da0f55279e9ff7d38e2c","6186fb1cc52d38b480598eb7","618732e6508dc878b7e50df9","1339.8999999985099","","d","true","[[2,341],[187,578],[484,536],[597,258],[412,21],[115,63]]","true","6","","","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","targetUp_distractorsDown"
"","","","","","html-keyboard-response","18","69137","0.0-14.0-0.0-0.2","6063da0f55279e9ff7d38e2c","6186fb1cc52d38b480598eb7","618732e6508dc878b7e50df9","null","","null","","","","","fixation","","","",""
"","","","","","visual-search-circle","19","71415","0.0-14.0-0.0-1.2","6063da0f55279e9ff7d38e2c","6186fb1cc52d38b480598eb7","618732e6508dc878b7e50df9","1265.6000000014901","","s","true","[[48,136],[6,362],[136,551],[362,593],[551,463],[593,237],[463,48],[237,6]]","false","8","","","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","targetDown_distractorsUp"
"","","","","","html-keyboard-response","20","71417","0.0-14.0-0.0-0.3","6063da0f55279e9ff7d38e2c","6186fb1cc52d38b480598eb7","618732e6508dc878b7e50df9","null","","null","","","","","fixation","","","",""
"","","","","","visual-search-circle","21","73725","0.0-14.0-0.0-1.3","6063da0f55279e9ff7d38e2c","6186fb1cc52d38b480598eb7","618732e6508dc878b7e50df9","1297.9000000022352","","s","true","[[440,35],[35,159],[159,564],[564,440]]","false","4","","","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","targetUp_distractorsDown"
"","","","","","html-keyboard-response","22","73727","0.0-14.0-0.0-0.4","6063da0f55279e9ff7d38e2c","6186fb1cc52d38b480598eb7","618732e6508dc878b7e50df9","null","","null","","","","","fixation","","","",""
"","","","","","visual-search-circle","23","75906","0.0-14.0-0.0-1.4","6063da0f55279e9ff7d38e2c","6186fb1cc52d38b480598eb7","618732e6508dc878b7e50df9","1172.199999999255","","s","true","[[30,431],[431,569],[569,168],[168,30]]","false","4","","","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","targetDown_distractorsUp"
"","","","","","html-keyboard-response","24","75908","0.0-14.0-0.0-0.5","6063da0f55279e9ff7d38e2c","6186fb1cc52d38b480598eb7","618732e6508dc878b7e50df9","null","","null","","","","","fixation","","","",""
