"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","correct","locations","target_present","set_size","task","correct_response","target","foilCM","searchCondition"
"true","false","[]","[]","[]","preload","0","27779","0.0-0.0","60fcce101117fe454e42be6b","6186fb1cc52d38b480598eb7","618731f51ea130388fd77019","","","","","","","","","","","",""
"true","","","","","fullscreen","1","38704","0.0-1.0","60fcce101117fe454e42be6b","6186fb1cc52d38b480598eb7","618731f51ea130388fd77019","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","48415","0.0-2.0","60fcce101117fe454e42be6b","6186fb1cc52d38b480598eb7","618731f51ea130388fd77019","9709.600000000559","What a beautiful Saturday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.
    <p> [Press any key to continue.] </p>
    
    "," ","","","","","","","","",""
"","","","","","video-keyboard-response","3","78373","0.0-3.0","60fcce101117fe454e42be6b","6186fb1cc52d38b480598eb7","618731f51ea130388fd77019","29952.200000000186","[""video/TaskInstructions.mp4""]"," ","","","","","","","","",""
"","","","","","html-keyboard-response","4","81611","0.0-4.0","60fcce101117fe454e42be6b","6186fb1cc52d38b480598eb7","618731f51ea130388fd77019","3237","
    <p>First, we're going to do a few practice trials to make sure you understand the task. You will recieve feedback on each trial. </p>

    <p>[Press any key to begin the familiarization phase.]</p>
    "," ","","","","","","","","",""
"","","","","","visual-search-circle","5","89049","0.0-5.0-0.0","60fcce101117fe454e42be6b","6186fb1cc52d38b480598eb7","618731f51ea130388fd77019","6371.9000000003725","","s","false","[[320,599],[599,279],[279,0],[0,320]]","true","4","training","d","","",""
"","","","","","html-keyboard-response","6","90102","0.0-6.0","60fcce101117fe454e42be6b","6186fb1cc52d38b480598eb7","618731f51ea130388fd77019","1051.0999999996275"," <div style='float: center;'><img src='img/feedbackWrong.png'></img> </div> "," ","","","","","","","","",""
"","","","","","visual-search-circle","7","93934","0.0-7.0-0.0","60fcce101117fe454e42be6b","6186fb1cc52d38b480598eb7","618731f51ea130388fd77019","2820.0999999996275","","s","true","[[598,331],[331,1],[1,268],[268,598]]","false","4","training","s","","",""
"","","","","","html-keyboard-response","8","94715","0.0-8.0","60fcce101117fe454e42be6b","6186fb1cc52d38b480598eb7","618731f51ea130388fd77019","779.3999999994412"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","",""
"","","","","","visual-search-circle","9","97755","0.0-9.0-0.0","60fcce101117fe454e42be6b","6186fb1cc52d38b480598eb7","618731f51ea130388fd77019","2030.199999999255","","d","false","[[480,60],[182,23],[2,263],[119,539],[417,576],[597,336]]","false","6","training","s","","",""
"","","","","","html-keyboard-response","10","98405","0.0-10.0","60fcce101117fe454e42be6b","6186fb1cc52d38b480598eb7","618731f51ea130388fd77019","648"," <div style='float: center;'><img src='img/feedbackWrong.png'></img> </div> "," ","","","","","","","","",""
"","","","","","visual-search-circle","11","100874","0.0-11.0-0.0","60fcce101117fe454e42be6b","6186fb1cc52d38b480598eb7","618731f51ea130388fd77019","1451.0999999996275","","d","true","[[45,141],[7,367],[141,554],[367,592],[554,458],[592,232],[458,45],[232,7]]","true","8","training","d","","",""
"","","","","","html-keyboard-response","12","101733","0.0-12.0","60fcce101117fe454e42be6b","6186fb1cc52d38b480598eb7","618731f51ea130388fd77019","858.2000000001863"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","",""
"","","","","","video-keyboard-response","13","103185","0.0-13.0","60fcce101117fe454e42be6b","6186fb1cc52d38b480598eb7","618731f51ea130388fd77019","1447.7000000001863","[""video/endTraining.mp4""]"," ","","","","","","","","",""
"","","","","","html-keyboard-response","14","103189","0.0-14.0-0.0-0.0","60fcce101117fe454e42be6b","6186fb1cc52d38b480598eb7","618731f51ea130388fd77019","null","","null","","","","","fixation","","","",""
"","","","","","visual-search-circle","15","106093","0.0-14.0-0.0-1.0","60fcce101117fe454e42be6b","6186fb1cc52d38b480598eb7","618731f51ea130388fd77019","1889.2999999998137","","d","true","[[458,554],[591,227],[320,0],[21,187],[107,529]]","true","5","","","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","targetDown_distractorsUp"
"","","","","","html-keyboard-response","16","106096","0.0-14.0-0.0-0.1","60fcce101117fe454e42be6b","6186fb1cc52d38b480598eb7","618731f51ea130388fd77019","null","","null","","","","","fixation","","","",""
