"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","correct","locations","target_present","set_size","task","correct_response","target","foilCM","searchCondition"
"true","false","[]","[]","[]","preload","0","20366","0.0-0.0","6111b4c15650244aadca5dd0","6186fb1cc52d38b480598eb7","6187384b4893130c4d002824","","","","","","","","","","","",""
"true","","","","","fullscreen","1","25106","0.0-1.0","6111b4c15650244aadca5dd0","6186fb1cc52d38b480598eb7","6187384b4893130c4d002824","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","33420","0.0-2.0","6111b4c15650244aadca5dd0","6186fb1cc52d38b480598eb7","6187384b4893130c4d002824","8312.5","What a beautiful Saturday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.
    <p> [Press any key to continue.] </p>
    
    "," ","","","","","","","","",""
"","","","","","video-keyboard-response","3","86268","0.0-3.0","6111b4c15650244aadca5dd0","6186fb1cc52d38b480598eb7","6187384b4893130c4d002824","52843.70000000112","[""video/TaskInstructions.mp4""]"," ","","","","","","","","",""
"","","","","","html-keyboard-response","4","91226","0.0-4.0","6111b4c15650244aadca5dd0","6186fb1cc52d38b480598eb7","6187384b4893130c4d002824","4956.9000000003725","
    <p>First, we're going to do a few practice trials to make sure you understand the task. You will recieve feedback on each trial. </p>

    <p>[Press any key to begin the familiarization phase.]</p>
    "," ","","","","","","","","",""
"","","","","","visual-search-circle","5","93794","0.0-5.0-0.0","6111b4c15650244aadca5dd0","6186fb1cc52d38b480598eb7","6187384b4893130c4d002824","1498.5999999996275","","d","true","[[467,51],[51,132],[132,548],[548,467]]","true","4","training","d","","",""
"","","","","","html-keyboard-response","6","97030","0.0-6.0","6111b4c15650244aadca5dd0","6186fb1cc52d38b480598eb7","6187384b4893130c4d002824","3235.4000000003725"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","",""
"","","","","","visual-search-circle","7","98757","0.0-7.0-0.0","6111b4c15650244aadca5dd0","6186fb1cc52d38b480598eb7","6187384b4893130c4d002824","719.8000000007451","","s","true","[[562,445],[445,37],[37,154],[154,562]]","false","4","training","s","","",""
"","","","","","html-keyboard-response","8","102639","0.0-8.0","6111b4c15650244aadca5dd0","6186fb1cc52d38b480598eb7","6187384b4893130c4d002824","3880.5999999996275"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","",""
"","","","","","visual-search-circle","9","104345","0.0-9.0-0.0","6111b4c15650244aadca5dd0","6186fb1cc52d38b480598eb7","6187384b4893130c4d002824","687.5","","s","true","[[0,284],[136,551],[436,567],[599,315],[463,48],[163,32]]","false","6","training","s","","",""
"","","","","","html-keyboard-response","10","105570","0.0-10.0","6111b4c15650244aadca5dd0","6186fb1cc52d38b480598eb7","6187384b4893130c4d002824","1224.9000000003725"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","",""
"","","","","","visual-search-circle","11","107571","0.0-11.0-0.0","6111b4c15650244aadca5dd0","6186fb1cc52d38b480598eb7","6187384b4893130c4d002824","988.5","","s","false","[[557,145],[372,8],[145,42],[8,227],[42,454],[227,591],[454,557],[591,372]]","true","8","training","d","","",""
"","","","","","html-keyboard-response","12","109842","0.0-12.0","6111b4c15650244aadca5dd0","6186fb1cc52d38b480598eb7","6187384b4893130c4d002824","2271.300000000745"," <div style='float: center;'><img src='img/feedbackWrong.png'></img> </div> "," ","","","","","","","","",""
"","","","","","video-keyboard-response","13","119645","0.0-13.0","6111b4c15650244aadca5dd0","6186fb1cc52d38b480598eb7","6187384b4893130c4d002824","9801","[""video/endTraining.mp4""]"," ","","","","","","","","",""
"","","","","","html-keyboard-response","14","119649","0.0-14.0-0.0-0.0","6111b4c15650244aadca5dd0","6186fb1cc52d38b480598eb7","6187384b4893130c4d002824","null","","null","","","","","fixation","","","",""
"","","","","","visual-search-circle","15","122100","0.0-14.0-0.0-1.0","6111b4c15650244aadca5dd0","6186fb1cc52d38b480598eb7","6187384b4893130c4d002824","1436","","s","true","[[30,431],[341,597],[595,352],[440,35],[91,84]]","false","5","","","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","targetUp_distractorsDown"
"","","","","","html-keyboard-response","16","122106","0.0-14.0-0.0-0.1","6111b4c15650244aadca5dd0","6186fb1cc52d38b480598eb7","6187384b4893130c4d002824","null","","null","","","","","fixation","","","",""
