"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","correct","locations","target_present","set_size","task","correct_response","target","foilCM","searchCondition"
"true","false","[]","[]","[]","preload","0","32490","0.0-0.0","6151e6a0397a519cc56745e6","6186fb1cc52d38b480598eb7","6187385be49ad3961d53bd6c","","","","","","","","","","","",""
"true","","","","","fullscreen","1","38015","0.0-1.0","6151e6a0397a519cc56745e6","6186fb1cc52d38b480598eb7","6187385be49ad3961d53bd6c","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","75341","0.0-2.0","6151e6a0397a519cc56745e6","6186fb1cc52d38b480598eb7","6187385be49ad3961d53bd6c","37325.2999997139","What a beautiful Saturday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.
    <p> [Press any key to continue.] </p>
    
    "," ","","","","","","","","",""
"","","","","","video-keyboard-response","3","99197","0.0-3.0","6151e6a0397a519cc56745e6","6186fb1cc52d38b480598eb7","6187385be49ad3961d53bd6c","23854.5","[""video/TaskInstructions.mp4""]"," ","","","","","","","","",""
"","","","","","html-keyboard-response","4","105589","0.0-4.0","6151e6a0397a519cc56745e6","6186fb1cc52d38b480598eb7","6187385be49ad3961d53bd6c","6390.800000190735","
    <p>First, we're going to do a few practice trials to make sure you understand the task. You will recieve feedback on each trial. </p>

    <p>[Press any key to begin the familiarization phase.]</p>
    "," ","","","","","","","","",""
"","","","","","visual-search-circle","5","118334","0.0-5.0-0.0","6151e6a0397a519cc56745e6","6186fb1cc52d38b480598eb7","6187385be49ad3961d53bd6c","11690.5","","d","true","[[273,1],[1,326],[326,598],[598,273]]","true","4","training","d","","",""
"","","","","","html-keyboard-response","6","120549","0.0-6.0","6151e6a0397a519cc56745e6","6186fb1cc52d38b480598eb7","6187385be49ad3961d53bd6c","2214.7999997138977"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","",""
"","","","","","visual-search-circle","7","127157","0.0-7.0-0.0","6151e6a0397a519cc56745e6","6186fb1cc52d38b480598eb7","6187385be49ad3961d53bd6c","5605.199999809265","","s","true","[[591,372],[372,8],[8,227],[227,591]]","false","4","training","s","","",""
"","","","","","html-keyboard-response","8","128541","0.0-8.0","6151e6a0397a519cc56745e6","6186fb1cc52d38b480598eb7","6187385be49ad3961d53bd6c","1384.1999998092651"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> "," ","","","","","","","","",""
"","","","","","visual-search-circle","9","133413","0.0-9.0-0.0","6151e6a0397a519cc56745e6","6186fb1cc52d38b480598eb7","6187385be49ad3961d53bd6c","3867.9000000953674","","s","true","[[397,583],[594,357],[496,73],[202,16],[5,242],[103,526]]","false","6","training","s","","",""
