"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","correct","locations","target_present","set_size","task","correct_response","target","foilCM","searchCondition"
"true","false","[]","[]","[]","preload","0","4779","0.0-0.0","61645bc01c5b213c62ee0473","6186fb1cc52d38b480598eb7","618733cba8cce9010c72c0d2","","","","","","","","","","","",""
"true","","","","","fullscreen","1","8133","0.0-1.0","61645bc01c5b213c62ee0473","6186fb1cc52d38b480598eb7","618733cba8cce9010c72c0d2","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","15610","0.0-2.0","61645bc01c5b213c62ee0473","6186fb1cc52d38b480598eb7","618733cba8cce9010c72c0d2","7473","What a beautiful Saturday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.
    <p> [Press any key to continue.] </p>
    
    ",";","","","","","","","","",""
"","","","","","video-keyboard-response","3","40150","0.0-3.0","61645bc01c5b213c62ee0473","6186fb1cc52d38b480598eb7","618733cba8cce9010c72c0d2","24430","[""video/TaskInstructions.mp4""]","d","","","","","","","","",""
"","","","","","html-keyboard-response","4","42861","0.0-4.0","61645bc01c5b213c62ee0473","6186fb1cc52d38b480598eb7","618733cba8cce9010c72c0d2","2710","
    <p>First, we're going to do a few practice trials to make sure you understand the task. You will recieve feedback on each trial. </p>

    <p>[Press any key to begin the familiarization phase.]</p>
    ","d","","","","","","","","",""
"","","","","","visual-search-circle","5","47006","0.0-5.0-0.0","61645bc01c5b213c62ee0473","6186fb1cc52d38b480598eb7","618733cba8cce9010c72c0d2","3085","","d","true","[[382,588],[588,217],[217,11],[11,382]]","true","4","training","d","","",""
"","","","","","html-keyboard-response","6","48544","0.0-6.0","61645bc01c5b213c62ee0473","6186fb1cc52d38b480598eb7","618733cba8cce9010c72c0d2","1535"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","d","","","","","","","","",""
"","","","","","visual-search-circle","7","52507","0.0-7.0-0.0","61645bc01c5b213c62ee0473","6186fb1cc52d38b480598eb7","618733cba8cce9010c72c0d2","2959","","s","true","[[217,11],[11,382],[382,588],[588,217]]","false","4","training","s","","",""
"","","","","","html-keyboard-response","8","53749","0.0-8.0","61645bc01c5b213c62ee0473","6186fb1cc52d38b480598eb7","618733cba8cce9010c72c0d2","1241"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","s","","","","","","","","",""
"","","","","","visual-search-circle","9","57145","0.0-9.0-0.0","61645bc01c5b213c62ee0473","6186fb1cc52d38b480598eb7","618733cba8cce9010c72c0d2","2386","","d","false","[[13,387],[232,592],[519,504],[586,212],[367,7],[80,95]]","false","6","training","s","","",""
"","","","","","html-keyboard-response","10","59980","0.0-10.0","61645bc01c5b213c62ee0473","6186fb1cc52d38b480598eb7","618733cba8cce9010c72c0d2","2833"," <div style='float: center;'><img src='img/feedbackWrong.png'></img> </div> ","d","","","","","","","","",""
"","","","","","visual-search-circle","11","64381","0.0-11.0-0.0","61645bc01c5b213c62ee0473","6186fb1cc52d38b480598eb7","618733cba8cce9010c72c0d2","3393","","d","true","[[551,463],[593,237],[463,48],[237,6],[48,136],[6,362],[136,551],[362,593]]","true","8","training","d","","",""
"","","","","","html-keyboard-response","12","65999","0.0-12.0","61645bc01c5b213c62ee0473","6186fb1cc52d38b480598eb7","618733cba8cce9010c72c0d2","1617"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","d","","","","","","","","",""
"","","","","","video-keyboard-response","13","68038","0.0-13.0","61645bc01c5b213c62ee0473","6186fb1cc52d38b480598eb7","618733cba8cce9010c72c0d2","2037","[""video/endTraining.mp4""]","d","","","","","","","","",""
"","","","","","html-keyboard-response","14","68041","0.0-14.0-0.0-0.0","61645bc01c5b213c62ee0473","6186fb1cc52d38b480598eb7","618733cba8cce9010c72c0d2","null","","null","","","","","fixation","","","",""
"","","","","","visual-search-circle","15","71804","0.0-14.0-0.0-1.0","61645bc01c5b213c62ee0473","6186fb1cc52d38b480598eb7","618733cba8cce9010c72c0d2","2752","","d","true","[[504,519],[571,173],[263,2],[5,242],[154,562]]","true","5","","","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","targetDown_distractorsUp"
"","","","","","html-keyboard-response","16","71806","0.0-14.0-0.0-0.1","61645bc01c5b213c62ee0473","6186fb1cc52d38b480598eb7","618733cba8cce9010c72c0d2","null","","null","","","","","fixation","","","",""
"","","","","","visual-search-circle","17","75030","0.0-14.0-0.0-1.1","61645bc01c5b213c62ee0473","6186fb1cc52d38b480598eb7","618733cba8cce9010c72c0d2","2215","","s","true","[[598,268],[488,66],[268,1],[66,111],[1,331],[111,533],[331,598],[533,488]]","false","8","","","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","targetUp_distractorsDown"
"","","","","","html-keyboard-response","18","75031","0.0-14.0-0.0-0.2","61645bc01c5b213c62ee0473","6186fb1cc52d38b480598eb7","618733cba8cce9010c72c0d2","null","","null","","","","","fixation","","","",""
"","","","","","visual-search-circle","19","77800","0.0-14.0-0.0-1.2","61645bc01c5b213c62ee0473","6186fb1cc52d38b480598eb7","618733cba8cce9010c72c0d2","1759","","d","true","[[177,25],[25,422],[422,574],[574,177]]","true","4","","","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","targetUp_distractorsDown"
"","","","","","html-keyboard-response","20","77800","0.0-14.0-0.0-0.3","61645bc01c5b213c62ee0473","6186fb1cc52d38b480598eb7","618733cba8cce9010c72c0d2","null","","null","","","","","fixation","","","",""
"","","","","","visual-search-circle","21","80211","0.0-14.0-0.0-1.3","61645bc01c5b213c62ee0473","6186fb1cc52d38b480598eb7","618733cba8cce9010c72c0d2","1405","","d","true","[[315,0],[19,192],[111,533],[463,551],[589,222]]","true","5","","","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","targetDown_distractorsUp"
"","","","","","html-keyboard-response","22","80211","0.0-14.0-0.0-0.4","61645bc01c5b213c62ee0473","6186fb1cc52d38b480598eb7","618733cba8cce9010c72c0d2","null","","null","","","","","fixation","","","",""
"","","","","","visual-search-circle","23","83521","0.0-14.0-0.0-1.4","61645bc01c5b213c62ee0473","6186fb1cc52d38b480598eb7","618733cba8cce9010c72c0d2","2302","","s","false","[[458,554],[598,334],[512,88],[267,1],[46,139],[16,398],[200,582]]","true","7","","","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","targetUp_distractorsDown"
