"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","correct","locations","target_present","set_size","task","correct_response","target","foilCM","searchCondition"
"true","false","[]","[]","[]","preload","0","17236","0.0-0.0","616faf3ab8c53e7a73a5dea5","6186fb1cc52d38b480598eb7","61872fdf7d2baf4c343bb995","","","","","","","","","","","",""
"true","","","","","fullscreen","1","20544","0.0-1.0","616faf3ab8c53e7a73a5dea5","6186fb1cc52d38b480598eb7","61872fdf7d2baf4c343bb995","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","28481","0.0-2.0","616faf3ab8c53e7a73a5dea5","6186fb1cc52d38b480598eb7","61872fdf7d2baf4c343bb995","7935","What a beautiful Saturday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.
    <p> [Press any key to continue.] </p>
    
    "," ","","","","","","","","",""
"","","","","","video-keyboard-response","3","43066","0.0-3.0","616faf3ab8c53e7a73a5dea5","6186fb1cc52d38b480598eb7","61872fdf7d2baf4c343bb995","14579.40000000596","[""video/TaskInstructions.mp4""]"," ","","","","","","","","",""
"","","","","","html-keyboard-response","4","44911","0.0-4.0","616faf3ab8c53e7a73a5dea5","6186fb1cc52d38b480598eb7","61872fdf7d2baf4c343bb995","1844","
    <p>First, we're going to do a few practice trials to make sure you understand the task. You will recieve feedback on each trial. </p>

    <p>[Press any key to begin the familiarization phase.]</p>
    "," ","","","","","","","","",""
"","","","","","visual-search-circle","5","50140","0.0-5.0-0.0","616faf3ab8c53e7a73a5dea5","6186fb1cc52d38b480598eb7","61872fdf7d2baf4c343bb995","4171.300000011921","","s","false","[[28,426],[426,571],[571,173],[173,28]]","true","4","training","d","","",""
"","","","","","html-keyboard-response","6","55017","0.0-6.0","616faf3ab8c53e7a73a5dea5","6186fb1cc52d38b480598eb7","61872fdf7d2baf4c343bb995","4875.299999982119"," <div style='float: center;'><img src='img/feedbackWrong.png'></img> </div> "," ","","","","","","","","",""
"","","","","","visual-search-circle","7","57873","0.0-7.0-0.0","616faf3ab8c53e7a73a5dea5","6186fb1cc52d38b480598eb7","61872fdf7d2baf4c343bb995","1846.0999999940395","","d","false","[[227,8],[8,372],[372,591],[591,227]]","false","4","training","s","","",""
"","","","","","html-keyboard-response","8","64455","0.0-8.0","616faf3ab8c53e7a73a5dea5","6186fb1cc52d38b480598eb7","61872fdf7d2baf4c343bb995","6581.299999982119"," <div style='float: center;'><img src='img/feedbackWrong.png'></img> </div> ","d","","","","","","","","",""
"","","","","","visual-search-circle","9","67882","0.0-9.0-0.0","616faf3ab8c53e7a73a5dea5","6186fb1cc52d38b480598eb7","61872fdf7d2baf4c343bb995","2416.600000023842","","s","true","[[512,512],[589,222],[377,10],[87,87],[10,377],[222,589]]","false","6","training","s","","",""
"","","","","","html-keyboard-response","10","69639","0.0-10.0","616faf3ab8c53e7a73a5dea5","6186fb1cc52d38b480598eb7","61872fdf7d2baf4c343bb995","1756.199999988079"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","d","","","","","","","","",""
"","","","","","visual-search-circle","11","72251","0.0-11.0-0.0","616faf3ab8c53e7a73a5dea5","6186fb1cc52d38b480598eb7","61872fdf7d2baf4c343bb995","1597.699999988079","","d","true","[[492,529],[598,326],[529,107],[326,1],[107,70],[1,273],[70,492],[273,598]]","true","8","training","d","","",""
"","","","","","html-keyboard-response","12","73125","0.0-12.0","616faf3ab8c53e7a73a5dea5","6186fb1cc52d38b480598eb7","61872fdf7d2baf4c343bb995","873.5"," <div style='float: center; '><img src='img/feedbackRight.png'></img> </div> ","d","","","","","","","","",""
"","","","","","video-keyboard-response","13","75406","0.0-13.0","616faf3ab8c53e7a73a5dea5","6186fb1cc52d38b480598eb7","61872fdf7d2baf4c343bb995","2278.5","[""video/endTraining.mp4""]","d","","","","","","","","",""
"","","","","","html-keyboard-response","14","75408","0.0-14.0-0.0-0.0","616faf3ab8c53e7a73a5dea5","6186fb1cc52d38b480598eb7","61872fdf7d2baf4c343bb995","null","","null","","","","","fixation","","","",""
