"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","6170","0.0-0.0","55899b8dfdf99b7ae47f5fa4","640759fa512f630a2bdc333d","6408c18356bfc13724548624","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","10757","0.0-1.0","55899b8dfdf99b7ae47f5fa4","640759fa512f630a2bdc333d","6408c18356bfc13724548624","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","20308","0.0-2.0","55899b8dfdf99b7ae47f5fa4","640759fa512f630a2bdc333d","6408c18356bfc13724548624","9550.5","What a beautiful Wednesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>","enter","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","30309","0.0-3.0","55899b8dfdf99b7ae47f5fa4","640759fa512f630a2bdc333d","6408c18356bfc13724548624","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","33275","0.0-4.0","55899b8dfdf99b7ae47f5fa4","640759fa512f630a2bdc333d","6408c18356bfc13724548624","2965.300000011921","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","enter","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","43277","0.0-5.0","55899b8dfdf99b7ae47f5fa4","640759fa512f630a2bdc333d","6408c18356bfc13724548624","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","60300","0.0-6.0","55899b8dfdf99b7ae47f5fa4","640759fa512f630a2bdc333d","6408c18356bfc13724548624","17021.19999998808","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","enter","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","85716","0.0-7.0","55899b8dfdf99b7ae47f5fa4","640759fa512f630a2bdc333d","6408c18356bfc13724548624","25414.5","[""video/TaskInstructions3.mp4""]","enter","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","97188","0.0-8.0-0.0","55899b8dfdf99b7ae47f5fa4","640759fa512f630a2bdc333d","6408c18356bfc13724548624","11470.599999964237","img/training1.png","enter","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","116590","0.0-8.0-1.0-0.0","55899b8dfdf99b7ae47f5fa4","640759fa512f630a2bdc333d","6408c18356bfc13724548624","[6982.800000011921]","","","[11]","[354]","354","294","265.52720859558","[265.52720859558]","[331.52720859558]","[332]","0","0","1","0","498.5969999523222","1002.3369999880815","1000","","","0","training","",""
"","","","","","image-keyboard-response","10","131916","0.0-8.0-0.1","55899b8dfdf99b7ae47f5fa4","640759fa512f630a2bdc333d","6408c18356bfc13724548624","15324.800000011921","img/training2.png","enter","","","","","","","","","","","","","","","","","","","","",""
