"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","1099","0.0-0.0","565c6791c121fe0012fc3caf","640759fa512f630a2bdc333d","640785cd275d18f9bcdc3327","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","4615","0.0-1.0","565c6791c121fe0012fc3caf","640759fa512f630a2bdc333d","640785cd275d18f9bcdc3327","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","12601","0.0-2.0","565c6791c121fe0012fc3caf","640759fa512f630a2bdc333d","640785cd275d18f9bcdc3327","7983.700000047684","What a beautiful Tuesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>","v","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","22607","0.0-3.0","565c6791c121fe0012fc3caf","640759fa512f630a2bdc333d","640785cd275d18f9bcdc3327","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","24448","0.0-4.0","565c6791c121fe0012fc3caf","640759fa512f630a2bdc333d","640785cd275d18f9bcdc3327","1838.7000000476837","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","v","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","34456","0.0-5.0","565c6791c121fe0012fc3caf","640759fa512f630a2bdc333d","640785cd275d18f9bcdc3327","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","46614","0.0-6.0","565c6791c121fe0012fc3caf","640759fa512f630a2bdc333d","640785cd275d18f9bcdc3327","12157.100000023842","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","c","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","74310","0.0-7.0","565c6791c121fe0012fc3caf","640759fa512f630a2bdc333d","640785cd275d18f9bcdc3327","27685.299999952316","[""video/TaskInstructions3.mp4""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","81196","0.0-8.0-0.0","565c6791c121fe0012fc3caf","640759fa512f630a2bdc333d","640785cd275d18f9bcdc3327","6881.199999928474","img/training1.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","97380","0.0-8.0-1.0-0.0","565c6791c121fe0012fc3caf","640759fa512f630a2bdc333d","640785cd275d18f9bcdc3327","[8405.799999952316]","","","[5]","[70]","70","335","46.61673354335331","[46.61673354335331]","[71.61673354335329]","[70]","0","0","1","0","498.80599995231023","995.5869999523129","1000","","","0","training","",""
"","","","","","image-keyboard-response","10","113385","0.0-8.0-0.1","565c6791c121fe0012fc3caf","640759fa512f630a2bdc333d","640785cd275d18f9bcdc3327","16002.600000023842","img/training2.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","many-guess-6","11","122474","0.0-8.0-1.1-0.1","565c6791c121fe0012fc3caf","640759fa512f630a2bdc333d","640785cd275d18f9bcdc3327","[4070]","","","[33,30,20]","[81,152,321]","81","15","1.4237020534503835","[1.4237020534503835]","[346.42370205345037]","[346]","[120,210,300,120,30,300,120,300,210,300,120,210,210,30,210,300,120,300,300,30,30,30,30,120,300,30,30,210,30,300,120,30,30,210,300,30]","0","3","0","998.6330000000016","996.1370000238385","1000","[[[""img/mask89.png""],[""img/mask11.png""],[""img/mask94.png""]]]","","[33,30,20]","training","",""
"","","","","","image-keyboard-response","12","133444","0.0-8.0-0.2","565c6791c121fe0012fc3caf","640759fa512f630a2bdc333d","640785cd275d18f9bcdc3327","10968.100000023842","img/training3.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","13","141934","0.0-8.0-1.2-0.2","565c6791c121fe0012fc3caf","640759fa512f630a2bdc333d","640785cd275d18f9bcdc3327","[4282.600000023842]","","","[9,20,34,3,29]","[241,175,83,116,230]","241","319","196.2737813474793","[196.2737813474793]","[237.2737813474793]","[237]","[120,210,210,30,30,30,210,300,300,300,120,300,210,120,210,120,300,300,120,30,30,120,30,30,120,210,210,30,120,300,210,300,30,120,210,210]","0","5","0","498.9589999523305","497.37399995230953","500","[[[""img/mask41.png""],[""img/mask99.png""],[""img/mask12.png""],[""img/mask3.png""],[""img/mask67.png""]]]","","[9,20,34,3,29]","training","",""
