"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","1008","0.0-0.0","56de362a6893b5000dea58f5","640759fa512f630a2bdc333d","640785c9903930be7597e7bf","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","3515","0.0-1.0","56de362a6893b5000dea58f5","640759fa512f630a2bdc333d","640785c9903930be7597e7bf","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","10136","0.0-2.0","56de362a6893b5000dea58f5","640759fa512f630a2bdc333d","640785c9903930be7597e7bf","6619.300000011921","What a beautiful Tuesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","20139","0.0-3.0","56de362a6893b5000dea58f5","640759fa512f630a2bdc333d","640785c9903930be7597e7bf","5907.5","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","23947","0.0-4.0","56de362a6893b5000dea58f5","640759fa512f630a2bdc333d","640785c9903930be7597e7bf","3806.800000011921","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","33955","0.0-5.0","56de362a6893b5000dea58f5","640759fa512f630a2bdc333d","640785c9903930be7597e7bf","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","44936","0.0-6.0","56de362a6893b5000dea58f5","640759fa512f630a2bdc333d","640785c9903930be7597e7bf","10981.5","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","59000","0.0-7.0","56de362a6893b5000dea58f5","640759fa512f630a2bdc333d","640785c9903930be7597e7bf","14061.5","[""video/TaskInstructions3.mp4""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","65302","0.0-8.0-0.0","56de362a6893b5000dea58f5","640759fa512f630a2bdc333d","640785c9903930be7597e7bf","6301.099999964237","img/training1.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","79044","0.0-8.0-1.0-0.0","56de362a6893b5000dea58f5","640759fa512f630a2bdc333d","640785c9903930be7597e7bf","[2492.699999988079]","","","[4]","[175]","175","35","223.59838626524865","[223.59838626524865]","[188.59838626524865]","[189]","0","0","1","0","498.15899999999965","998.7630000000063","1000","","","0","training","",""
"","","","","","image-keyboard-response","10","90790","0.0-8.0-0.1","56de362a6893b5000dea58f5","640759fa512f630a2bdc333d","640785c9903930be7597e7bf","11745.100000023842","img/training2.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","many-guess-6","11","98976","0.0-8.0-1.1-0.1","56de362a6893b5000dea58f5","640759fa512f630a2bdc333d","640785c9903930be7597e7bf","[2553.800000011921]","","","[17,32,9]","[267,89,332]","267","87","74.26867971738932","[74.26867971738932]","[347.2686797173893]","[345]","[210,210,210,30,120,120,30,210,120,120,210,210,300,210,210,30,30,120,300,300,120,210,30,120,30,120,30,300,30,120,300,300,30,300,300,30]","0","3","0","997.5240000000049","995.1150000357593","1000","[[[""img/mask52.png""],[""img/mask24.png""],[""img/mask80.png""]]]","","[17,32,9]","training","",""
"","","","","","image-keyboard-response","12","106326","0.0-8.0-0.2","56de362a6893b5000dea58f5","640759fa512f630a2bdc333d","640785c9903930be7597e7bf","7348.800000011921","img/training3.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","13","113024","0.0-8.0-1.2-0.2","56de362a6893b5000dea58f5","640759fa512f630a2bdc333d","640785c9903930be7597e7bf","[2787.7000000476837]","","","[1,22,25,28,31]","[128,296,250,171,182]","128","294","96.77943135783308","[96.77943135783308]","[162.77943135783306]","[161]","[120,210,210,30,210,210,210,30,120,210,300,120,120,120,300,300,300,300,300,120,30,210,300,120,210,210,210,30,300,210,300,30,300,30,210,300]","0","5","0","497.7830000119138","492.74400000000605","500","[[[""img/mask39.png""],[""img/mask97.png""],[""img/mask26.png""],[""img/mask93.png""],[""img/mask90.png""]]]","","[1,22,25,28,31]","training","",""
"","","","","","image-keyboard-response","14","119061","0.0-8.0-0.3","56de362a6893b5000dea58f5","640759fa512f630a2bdc333d","640785c9903930be7597e7bf","6036.099999964237","img/training4.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","15","126058","0.0-8.0-1.3-0.3","56de362a6893b5000dea58f5","640759fa512f630a2bdc333d","640785c9903930be7597e7bf","[3552.400000035763]","","","[0,11,32,21,2,4,31,9,17,8]","[277,311,163,266,290,191,218,3,335,241]","277","354","259.12585849122803","[259.12585849122803]","[265.12585849122803]","[266]","[300,210,30,210,300,30,120,120,300,30,210,30,300,210,210,120,120,30,300,30,210,300,30,300,210,120,120,300,300,300,300,300,210,210,210,120]","0","10","0","131.89200001192512","138.77099998807535","132","[[[""img/mask87.png""],[""img/mask64.png""],[""img/mask42.png""],[""img/mask48.png""],[""img/mask91.png""],[""img/mask72.png""],[""img/mask31.png""],[""img/mask16.png""],[""img/mask85.png""],[""img/mask56.png""]]]","","[0,11,32,21,2,4,31,9,17,8]","training","",""
"","","","","","image-keyboard-response","16","132220","0.0-8.0-0.4","56de362a6893b5000dea58f5","640759fa512f630a2bdc333d","640785c9903930be7597e7bf","6161.199999988079","img/training5.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","17","137892","0.0-8.0-1.4-0.4","56de362a6893b5000dea58f5","640759fa512f630a2bdc333d","640785c9903930be7597e7bf","[2536.399999976158]","","","[21,12,33,20,34,2,19,17,24,31,25,23,5,29,0,13,11,18,16,8,26,15,9,30,14,10,6,27,3,7,35,32,4,28,22,1]","[234,214,74,334,45,15,354,134,84,224,194,344,144,154,184,284,274,64,114,174,204,25,264,5,254,294,55,104,244,164,35,314,124,304,324,94]","234","226","185.0566965877395","[185.0566965877395]","[319.0566965877395]","[318]","[210,210,210,210,300,300,30,210,300,300,30,210,30,30,120,30,120,120,300,210,210,300,300,300,30,300,30,120,120,120,210,300,300,210,120,300]","0","36","0","131.47100001192302","19.14999999999418","16","[[[""img/mask21.png""],[""img/mask38.png""],[""img/mask80.png""],[""img/mask61.png""],[""img/mask22.png""],[""img/mask33.png""],[""img/mask63.png""],[""img/mask38.png""],[""img/mask10.png""],[""img/mask43.png""],[""img/mask66.png""],[""img/mask31.png""],[""img/mask97.png""],[""img/mask100.png""],[""img/mask47.png""],[""img/mask74.png""],[""img/mask62.png""],[""img/mask83.png""],[""img/mask60.png""],[""img/mask5.png""],[""img/mask61.png""],[""img/mask96.png""],[""img/mask15.png""],[""img/mask16.png""],[""img/mask85.png""],[""img/mask6.png""],[""img/mask74.png""],[""img/mask21.png""],[""img/mask13.png""],[""img/mask95.png""],[""img/mask26.png""],[""img/mask58.png""],[""img/mask23.png""],[""img/mask90.png""],[""img/mask51.png""],[""img/mask55.png""]]]","","[21,12,33,20,34,2,19,17,24,31,25,23,5,29,0,13,11,18,16,8,26,15,9,30,14,10,6,27,3,7,35,32,4,28,22,1]","training","",""
"","","","","","image-keyboard-response","18","144627","0.0-9.0","56de362a6893b5000dea58f5","640759fa512f630a2bdc333d","640785c9903930be7597e7bf","6734.700000047684","[""img/endTraining.png""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","145136","0.0-10.0-0.0","56de362a6893b5000dea58f5","640759fa512f630a2bdc333d","640785c9903930be7597e7bf","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","color-precision2","20","149626","0.0-10.0-1.0-0.0","56de362a6893b5000dea58f5","640759fa512f630a2bdc333d","640785c9903930be7597e7bf","[1176.6000000238419]","","","[17]","[173]","173","226","34.13761400209392","[34.13761400209392]","[168.13761400209393]","[167]","0","0","1","0","147.94400001192116","999.8540000357607","1000","[[[""img/mask62.png""]]]","","","main","226","color-precision2"
"","","","","","html-keyboard-response","21","150130","0.0-10.0-0.1","56de362a6893b5000dea58f5","640759fa512f630a2bdc333d","640785c9903930be7597e7bf","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","color-precision2","22","154318","0.0-10.0-1.1-0.1","56de362a6893b5000dea58f5","640759fa512f630a2bdc333d","640785c9903930be7597e7bf","[643.3000000119209]","","","[22]","[314]","314","136","94.63319655798611","[94.63319655798611]","[318.63319655798614]","[317]","0","0","1","0","148.40999998807092","994.1200000238314","1000","[[[""img/mask88.png""]]]","","","main","136","color-precision2"
"","","","","","html-keyboard-response","23","154821","0.0-10.0-0.2","56de362a6893b5000dea58f5","640759fa512f630a2bdc333d","640785c9903930be7597e7bf","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","color-precision2","24","158552","0.0-10.0-1.2-0.2","56de362a6893b5000dea58f5","640759fa512f630a2bdc333d","640785c9903930be7597e7bf","[443.7999999523163]","","","[8]","[354]","354","156","148.22328554381278","[148.22328554381278]","[352.2232855438128]","[351]","0","0","1","0","148.78700003575068","995.0970000357484","1000","[[[""img/mask4.png""]]]","","","main","156","color-precision2"
"","","","","","html-keyboard-response","25","159063","0.0-10.0-0.3","56de362a6893b5000dea58f5","640759fa512f630a2bdc333d","640785c9903930be7597e7bf","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","color-precision2","26","162756","0.0-10.0-1.3-0.3","56de362a6893b5000dea58f5","640759fa512f630a2bdc333d","640785c9903930be7597e7bf","[914.1000000238419]","","","[15]","[89]","89","71","165.3318961672693","[165.3318961672693]","[94.33189616726929]","[93]","0","0","1","0","147.64300003575045","993.3530000119354","1000","[[[""img/mask73.png""]]]","","","main","71","color-precision2"
"","","","","","html-keyboard-response","27","163258","0.0-10.0-0.4","56de362a6893b5000dea58f5","640759fa512f630a2bdc333d","640785c9903930be7597e7bf","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","color-precision2","28","166423","0.0-10.0-1.4-0.4","56de362a6893b5000dea58f5","640759fa512f630a2bdc333d","640785c9903930be7597e7bf","[463.2999999523163]","","","[8]","[276]","276","274","196.758419638302","[196.758419638302]","[282.75841963830203]","[282]","0","0","1","0","148.60200001191697","998.096000011923","1000","[[[""img/mask12.png""]]]","","","main","274","color-precision2"
"","","","","","html-keyboard-response","29","166930","0.0-10.0-0.5","56de362a6893b5000dea58f5","640759fa512f630a2bdc333d","640785c9903930be7597e7bf","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","color-precision2","30","170779","0.0-10.0-1.5-0.5","56de362a6893b5000dea58f5","640759fa512f630a2bdc333d","640785c9903930be7597e7bf","[1050.1000000238419]","","","[30]","[207]","207","50","256.0112698493623","[256.0112698493623]","[206.0112698493623]","[207]","0","0","1","0","147.39600003577652","997.8060000000114","1000","[[[""img/mask68.png""]]]","","","main","50","color-precision2"
"","","","","","html-keyboard-response","31","171285","0.0-10.0-0.6","56de362a6893b5000dea58f5","640759fa512f630a2bdc333d","640785c9903930be7597e7bf","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","many-guess-6","32","176147","0.0-10.0-1.6-0.6","56de362a6893b5000dea58f5","640759fa512f630a2bdc333d","640785c9903930be7597e7bf","[2919.699999988079]","","","[35,19,17,8,31,18,6,1,24,20,25,34,0,22,32,4,12,23,14,33,16,28,21,13,2,11,29,10,5,30,27,15,26,9,7,3]","[192,232,62,32,42,82,182,212,132,162,2,321,331,172,22,351,271,102,72,301,281,252,202,92,311,222,122,12,142,262,52,341,242,112,291,152]","192","330","43.205450325797244","[43.205450325797244]","[73.20545032579724]","[72]","[120,30,30,120,120,210,120,210,210]","0","36","0","148.6859999880835","23.796000000002095","16","[[[""img/mask28.png""],[""img/mask15.png""],[""img/mask30.png""],[""img/mask58.png""],[""img/mask41.png""],[""img/mask96.png""],[""img/mask72.png""],[""img/mask13.png""],[""img/mask77.png""],[""img/mask25.png""],[""img/mask86.png""],[""img/mask31.png""],[""img/mask6.png""],[""img/mask57.png""],[""img/mask12.png""],[""img/mask60.png""],[""img/mask52.png""],[""img/mask75.png""],[""img/mask57.png""],[""img/mask44.png""],[""img/mask51.png""],[""img/mask92.png""],[""img/mask50.png""],[""img/mask68.png""],[""img/mask61.png""],[""img/mask14.png""],[""img/mask44.png""],[""img/mask86.png""],[""img/mask24.png""],[""img/mask38.png""],[""img/mask62.png""],[""img/mask95.png""],[""img/mask74.png""],[""img/mask87.png""],[""img/mask74.png""],[""img/mask46.png""]]]","","[35,19,17,8,31,18,6,1,24,20,25,34,0,22,32,4,12,23,14,33,16,28,21,13,2,11,29,10,5,30,27,15,26,9,7,3]","main","330","many-guess-6"
"","","","","","html-keyboard-response","33","176653","0.0-10.0-0.7","56de362a6893b5000dea58f5","640759fa512f630a2bdc333d","640785c9903930be7597e7bf","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
