"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","3945","0.0-0.0","59aba109d4ef6600011211c9","640759fa512f630a2bdc333d","6408c17ae3484d9b041fddbc","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","232856","0.0-1.0","59aba109d4ef6600011211c9","640759fa512f630a2bdc333d","6408c17ae3484d9b041fddbc","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","239361","0.0-2.0","59aba109d4ef6600011211c9","640759fa512f630a2bdc333d","6408c17ae3484d9b041fddbc","6503.5","What a beautiful Wednesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","249375","0.0-3.0","59aba109d4ef6600011211c9","640759fa512f630a2bdc333d","6408c17ae3484d9b041fddbc","7108.200000001118","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","253630","0.0-4.0","59aba109d4ef6600011211c9","640759fa512f630a2bdc333d","6408c17ae3484d9b041fddbc","4253.300000000745","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","263644","0.0-5.0","59aba109d4ef6600011211c9","640759fa512f630a2bdc333d","6408c17ae3484d9b041fddbc","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","267679","0.0-6.0","59aba109d4ef6600011211c9","640759fa512f630a2bdc333d","6408c17ae3484d9b041fddbc","4034.5","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","277695","0.0-7.0","59aba109d4ef6600011211c9","640759fa512f630a2bdc333d","6408c17ae3484d9b041fddbc","10010.89999999851","[""video/TaskInstructions3.mp4""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","283126","0.0-8.0-0.0","59aba109d4ef6600011211c9","640759fa512f630a2bdc333d","6408c17ae3484d9b041fddbc","5428","img/training1.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","299441","0.0-8.0-1.0-0.0","59aba109d4ef6600011211c9","640759fa512f630a2bdc333d","6408c17ae3484d9b041fddbc","[6501.5]","","","[31]","[347]","347","349","331.3872702733057","[331.3872702733057]","[342.3872702733057]","[342]","0","0","1","0","498.7890000010957","1002.118000001472","1000","","","0","training","",""
"","","","","","image-keyboard-response","10","308334","0.0-8.0-0.1","59aba109d4ef6600011211c9","640759fa512f630a2bdc333d","6408c17ae3484d9b041fddbc","8890.89999999851","img/training2.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","many-guess-6","11","317870","0.0-8.0-1.1-0.1","59aba109d4ef6600011211c9","640759fa512f630a2bdc333d","6408c17ae3484d9b041fddbc","[2318.199999999255]","","","[24,11,29]","[101,136,36]","101","50","202.42025149298019","[202.42025149298019]","[152.42025149298019]","[152]","[120,120,300,300,210,120,210,300,30,120,210,120,120,300,30,120,210,210,30,30,300,300,30,300,300,120,30,300,30,300,30,210,210,300,300,30]","0","3","0","998.984000000346","992.431000000739","1000","[[[""img/mask5.png""],[""img/mask46.png""],[""img/mask76.png""]]]","","[24,11,29]","training","",""
"","","","","","image-keyboard-response","12","322110","0.0-8.0-0.2","59aba109d4ef6600011211c9","640759fa512f630a2bdc333d","6408c17ae3484d9b041fddbc","4238.4000000003725","img/training3.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","13","331215","0.0-8.0-1.2-0.2","59aba109d4ef6600011211c9","640759fa512f630a2bdc333d","6408c17ae3484d9b041fddbc","[4282.5999999996275]","","","[3,19,25,28,30]","[95,110,318,7,58]","95","254","143.63422107302958","[143.63422107302958]","[249.63422107302958]","[248]","[210,30,300,300,300,210,300,210,30,210,30,300,120,300,30,300,120,300,210,30,300,300,30,300,120,120,300,30,30,300,210,300,30,120,120,300]","0","5","0","498.98300000076415","501.297000000719","500","[[[""img/mask63.png""],[""img/mask66.png""],[""img/mask19.png""],[""img/mask53.png""],[""img/mask79.png""]]]","","[3,19,25,28,30]","training","",""
"","","","","","image-keyboard-response","14","336318","0.0-8.0-0.3","59aba109d4ef6600011211c9","640759fa512f630a2bdc333d","6408c17ae3484d9b041fddbc","5100.800000000745","img/training4.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","15","344002","0.0-8.0-1.3-0.3","59aba109d4ef6600011211c9","640759fa512f630a2bdc333d","6408c17ae3484d9b041fddbc","[3206.7000000011176]","","","[18,2,35,12,3,34,14,9,33,8]","[160,38,175,129,356,9,24,85,61,106]","160","209","221.8436458663533","[221.8436458663533]","[12.843645866353313]","[13]","[120,120,210,210,210,210,210,210,300,120,120,300,30,120,210,30,120,210,30,120,30,120,300,120,30,210,210,210,210,300,210,120,300,300,120,210]","0","10","0","131.50700000108918","125.22300000151154","132","[[[""img/mask76.png""],[""img/mask25.png""],[""img/mask82.png""],[""img/mask59.png""],[""img/mask30.png""],[""img/mask25.png""],[""img/mask96.png""],[""img/mask75.png""],[""img/mask13.png""],[""img/mask63.png""]]]","","[18,2,35,12,3,34,14,9,33,8]","training","",""
"","","","","","image-keyboard-response","16","348054","0.0-8.0-0.4","59aba109d4ef6600011211c9","640759fa512f630a2bdc333d","6408c17ae3484d9b041fddbc","4050.300000000745","img/training5.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","17","355009","0.0-8.0-1.4-0.4","59aba109d4ef6600011211c9","640759fa512f630a2bdc333d","6408c17ae3484d9b041fddbc","[3184.300000000745]","","","[6,22,24,9,35,0,4,26,16,20,5,32,10,33,23,12,19,13,8,31,14,29,3,2,21,7,18,30,1,28,27,34,15,25,17,11]","[273,93,113,303,143,203,353,123,243,163,223,263,44,34,233,313,83,173,183,293,283,73,213,253,333,14,54,4,63,133,103,24,153,343,323,193]","273","356","151.376263294482","[151.376263294482]","[155.376263294482]","[154]","[120,300,120,210,210,300,120,120,30,210,120,120,300,210,300,210,120,120,120,300,210,120,120,30,210,210,210,300,210,300,210,300,30,300,300,120]","0","36","0","132.40400000149384","16.675000000745058","16","[[[""img/mask33.png""],[""img/mask31.png""],[""img/mask55.png""],[""img/mask17.png""],[""img/mask21.png""],[""img/mask25.png""],[""img/mask88.png""],[""img/mask69.png""],[""img/mask22.png""],[""img/mask96.png""],[""img/mask18.png""],[""img/mask96.png""],[""img/mask41.png""],[""img/mask1.png""],[""img/mask35.png""],[""img/mask5.png""],[""img/mask96.png""],[""img/mask94.png""],[""img/mask72.png""],[""img/mask39.png""],[""img/mask75.png""],[""img/mask9.png""],[""img/mask70.png""],[""img/mask97.png""],[""img/mask34.png""],[""img/mask98.png""],[""img/mask4.png""],[""img/mask19.png""],[""img/mask51.png""],[""img/mask62.png""],[""img/mask15.png""],[""img/mask76.png""],[""img/mask27.png""],[""img/mask89.png""],[""img/mask68.png""],[""img/mask28.png""]]]","","[6,22,24,9,35,0,4,26,16,20,5,32,10,33,23,12,19,13,8,31,14,29,3,2,21,7,18,30,1,28,27,34,15,25,17,11]","training","",""
"","","","","","image-keyboard-response","18","358806","0.0-9.0","59aba109d4ef6600011211c9","640759fa512f630a2bdc333d","6408c17ae3484d9b041fddbc","3795","[""img/endTraining.png""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","359309","0.0-10.0-0.0","59aba109d4ef6600011211c9","640759fa512f630a2bdc333d","6408c17ae3484d9b041fddbc","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","color-precision2","20","365278","0.0-10.0-1.0-0.0","59aba109d4ef6600011211c9","640759fa512f630a2bdc333d","6408c17ae3484d9b041fddbc","[2571.5]","","","[5]","[201]","201","56","286.2837133913972","[286.2837133913972]","[230.2837133913972]","[230]","0","0","1","0","148.9020000003511","993.2750000003725","1000","[[[""img/mask19.png""]]]","","","main","56","color-precision2"
"","","","","","html-keyboard-response","21","365789","0.0-10.0-0.1","59aba109d4ef6600011211c9","640759fa512f630a2bdc333d","6408c17ae3484d9b041fddbc","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","color-precision2","22","371985","0.0-10.0-1.1-0.1","59aba109d4ef6600011211c9","640759fa512f630a2bdc333d","6408c17ae3484d9b041fddbc","[2531]","","","[23]","[268]","268","287","201.96873234509033","[201.96873234509033]","[274.9687323450903]","[274]","0","0","1","0","149.25199999997858","991.7920000011218","1000","[[[""img/mask34.png""]]]","","","main","287","color-precision2"
"","","","","","html-keyboard-response","23","372487","0.0-10.0-0.2","59aba109d4ef6600011211c9","640759fa512f630a2bdc333d","6408c17ae3484d9b041fddbc","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","many-guess-6","24","377121","0.0-10.0-1.2-0.2","59aba109d4ef6600011211c9","640759fa512f630a2bdc333d","6408c17ae3484d9b041fddbc","[2201.2000000011176]","","","[35,3,21,5,9,12,33,4,27,34,11,28,7,19,13,15,14,26,29,1,20,17,2,24,18,32,22,25,16,31,8,10,0,23,30,6]","[133,253,143,233,283,33,223,153,83,123,14,343,273,93,53,263,63,193,173,43,243,203,333,73,113,183,303,4,353,313,293,103,323,163,213,23]","133","87","57.78907080371387","[57.78907080371387]","[330.78907080371386]","[329]","[30,210,120,210,300,210,210,210,120]","0","36","0","149.61200000002282","21.299000000348315","16","[[[""img/mask39.png""],[""img/mask96.png""],[""img/mask95.png""],[""img/mask99.png""],[""img/mask48.png""],[""img/mask65.png""],[""img/mask12.png""],[""img/mask51.png""],[""img/mask40.png""],[""img/mask82.png""],[""img/mask31.png""],[""img/mask23.png""],[""img/mask91.png""],[""img/mask94.png""],[""img/mask60.png""],[""img/mask84.png""],[""img/mask69.png""],[""img/mask11.png""],[""img/mask87.png""],[""img/mask52.png""],[""img/mask39.png""],[""img/mask66.png""],[""img/mask68.png""],[""img/mask40.png""],[""img/mask4.png""],[""img/mask12.png""],[""img/mask15.png""],[""img/mask79.png""],[""img/mask75.png""],[""img/mask17.png""],[""img/mask44.png""],[""img/mask62.png""],[""img/mask13.png""],[""img/mask85.png""],[""img/mask37.png""],[""img/mask26.png""]]]","","[35,3,21,5,9,12,33,4,27,34,11,28,7,19,13,15,14,26,29,1,20,17,2,24,18,32,22,25,16,31,8,10,0,23,30,6]","main","87","many-guess-6"
"","","","","","html-keyboard-response","25","377622","0.0-10.0-0.3","59aba109d4ef6600011211c9","640759fa512f630a2bdc333d","6408c17ae3484d9b041fddbc","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","color-precision2","26","384158","0.0-10.0-1.3-0.3","59aba109d4ef6600011211c9","640759fa512f630a2bdc333d","6408c17ae3484d9b041fddbc","[3256.9000000003725]","","","[7]","[266]","266","48","336.80890922914574","[336.80890922914574]","[288.80890922914574]","[288]","0","0","1","0","149.1590000007418","1008.0600000007544","1000","[[[""img/mask71.png""]]]","","","main","48","color-precision2"
"","","","","","html-keyboard-response","27","384669","0.0-10.0-0.4","59aba109d4ef6600011211c9","640759fa512f630a2bdc333d","6408c17ae3484d9b041fddbc","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","many-guess-6","28","390880","0.0-10.0-1.4-0.4","59aba109d4ef6600011211c9","640759fa512f630a2bdc333d","6408c17ae3484d9b041fddbc","[3863.0999999996275]","","","[1,16,35,30,18,10,28,15,2,8,29,24,0,21,7,27,20,25,23,26,33,9,34,19,11,14,4,17,22,3,13,31,6,12,32,5]","[353,283,253,343,193,124,144,54,174,203,323,34,243,74,213,313,94,114,333,4,263,104,134,303,24,164,44,14,223,154,184,84,233,64,293,273]","353","231","221.15251315305227","[221.15251315305227]","[350.15251315305227]","[350]","[210,30,300,30,120,300,300,300,300]","0","36","0","149.4079999999958","12.956000001518987","16","[[[""img/mask63.png""],[""img/mask48.png""],[""img/mask15.png""],[""img/mask1.png""],[""img/mask4.png""],[""img/mask9.png""],[""img/mask42.png""],[""img/mask80.png""],[""img/mask39.png""],[""img/mask59.png""],[""img/mask23.png""],[""img/mask21.png""],[""img/mask87.png""],[""img/mask40.png""],[""img/mask10.png""],[""img/mask20.png""],[""img/mask63.png""],[""img/mask64.png""],[""img/mask70.png""],[""img/mask30.png""],[""img/mask18.png""],[""img/mask2.png""],[""img/mask97.png""],[""img/mask10.png""],[""img/mask44.png""],[""img/mask41.png""],[""img/mask82.png""],[""img/mask15.png""],[""img/mask53.png""],[""img/mask10.png""],[""img/mask14.png""],[""img/mask36.png""],[""img/mask88.png""],[""img/mask100.png""],[""img/mask83.png""],[""img/mask99.png""]]]","","[1,16,35,30,18,10,28,15,2,8,29,24,0,21,7,27,20,25,23,26,33,9,34,19,11,14,4,17,22,3,13,31,6,12,32,5]","main","231","many-guess-6"
"","","","","","html-keyboard-response","29","391381","0.0-10.0-0.5","59aba109d4ef6600011211c9","640759fa512f630a2bdc333d","6408c17ae3484d9b041fddbc","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","color-precision2","30","398107","0.0-10.0-1.5-0.5","59aba109d4ef6600011211c9","640759fa512f630a2bdc333d","6408c17ae3484d9b041fddbc","[3925.9000000003725]","","","[27]","[105]","105","167","263.8320686697067","[263.8320686697067]","[96.8320686697067]","[97]","0","0","1","0","148.4099999999744","993.6320000003907","1000","[[[""img/mask39.png""]]]","","","main","167","color-precision2"
"","","","","","html-keyboard-response","31","398625","0.0-10.0-0.6","59aba109d4ef6600011211c9","640759fa512f630a2bdc333d","6408c17ae3484d9b041fddbc","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","color-precision2","32","404215","0.0-10.0-1.6-0.6","59aba109d4ef6600011211c9","640759fa512f630a2bdc333d","6408c17ae3484d9b041fddbc","[2019.0999999996275]","","","[6]","[113]","113","259","359.4366378092809","[359.4366378092809]","[100.43663780928091]","[100]","0","0","1","0","149.31800000113435","1004.8960000003572","1000","[[[""img/mask38.png""]]]","","","main","259","color-precision2"
"","","","","","html-keyboard-response","33","404717","0.0-10.0-0.7","59aba109d4ef6600011211c9","640759fa512f630a2bdc333d","6408c17ae3484d9b041fddbc","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","color-precision2","34","411448","0.0-10.0-1.7-0.7","59aba109d4ef6600011211c9","640759fa512f630a2bdc333d","6408c17ae3484d9b041fddbc","[3871.10000000149]","","","[35]","[260]","260","193","97.45862403083436","[97.45862403083436]","[264.45862403083436]","[263]","0","0","1","0","147.39000000036322","997.5810000000056","1000","[[[""img/mask96.png""]]]","","","main","193","color-precision2"
