"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","12683","0.0-0.0","59ff47d47ecfc50001be0555","640759fa512f630a2bdc333d","6408c17fae5a04ef10acfbb2","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","17654","0.0-1.0","59ff47d47ecfc50001be0555","640759fa512f630a2bdc333d","6408c17fae5a04ef10acfbb2","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","24896","0.0-2.0","59ff47d47ecfc50001be0555","640759fa512f630a2bdc333d","6408c17fae5a04ef10acfbb2","7240.0999999940395","What a beautiful Wednesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","34902","0.0-3.0","59ff47d47ecfc50001be0555","640759fa512f630a2bdc333d","6408c17fae5a04ef10acfbb2","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","35887","0.0-4.0","59ff47d47ecfc50001be0555","640759fa512f630a2bdc333d","6408c17fae5a04ef10acfbb2","984.5","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","45894","0.0-5.0","59ff47d47ecfc50001be0555","640759fa512f630a2bdc333d","6408c17fae5a04ef10acfbb2","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","66800","0.0-6.0","59ff47d47ecfc50001be0555","640759fa512f630a2bdc333d","6408c17fae5a04ef10acfbb2","20904.80000001192","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","78623","0.0-7.0","59ff47d47ecfc50001be0555","640759fa512f630a2bdc333d","6408c17fae5a04ef10acfbb2","11818.800000011921","[""video/TaskInstructions3.mp4""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","85824","0.0-8.0-0.0","59ff47d47ecfc50001be0555","640759fa512f630a2bdc333d","6408c17fae5a04ef10acfbb2","7199.5999999940395","img/training1.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","102753","0.0-8.0-1.0-0.0","59ff47d47ecfc50001be0555","640759fa512f630a2bdc333d","6408c17fae5a04ef10acfbb2","[4818]","","","[33]","[153]","153","288","90.7183431314892","[90.7183431314892]","[162.7183431314892]","[161]","0","0","1","0","498.6970000059664","1007.2509999940376","1000","","","0","training","",""
