"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","1690","0.0-0.0","5a7a1973000dab00018c3410","640759fa512f630a2bdc333d","6408c17f4374e9dd1d4d4fe5","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","4584","0.0-1.0","5a7a1973000dab00018c3410","640759fa512f630a2bdc333d","6408c17f4374e9dd1d4d4fe5","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","9163","0.0-2.0","5a7a1973000dab00018c3410","640759fa512f630a2bdc333d","6408c17f4374e9dd1d4d4fe5","4574.300000000745","What a beautiful Wednesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","19171","0.0-3.0","5a7a1973000dab00018c3410","640759fa512f630a2bdc333d","6408c17f4374e9dd1d4d4fe5","6330.0999999996275","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","26729","0.0-4.0","5a7a1973000dab00018c3410","640759fa512f630a2bdc333d","6408c17f4374e9dd1d4d4fe5","7555.699999999255","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","36743","0.0-5.0","5a7a1973000dab00018c3410","640759fa512f630a2bdc333d","6408c17f4374e9dd1d4d4fe5","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","39178","0.0-6.0","5a7a1973000dab00018c3410","640759fa512f630a2bdc333d","6408c17f4374e9dd1d4d4fe5","2432.699999999255","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","55319","0.0-7.0","5a7a1973000dab00018c3410","640759fa512f630a2bdc333d","6408c17f4374e9dd1d4d4fe5","16133.199999999255","[""video/TaskInstructions3.mp4""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","60125","0.0-8.0-0.0","5a7a1973000dab00018c3410","640759fa512f630a2bdc333d","6408c17f4374e9dd1d4d4fe5","4802.60000000149","img/training1.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","74891","0.0-8.0-1.0-0.0","5a7a1973000dab00018c3410","640759fa512f630a2bdc333d","6408c17f4374e9dd1d4d4fe5","[7719.9000000003725]","","","[5]","[178]","178","165","351.3581218124368","[351.3581218124368]","[186.35812181243682]","[186]","0","0","1","0","495.846000000005","994.8169999996317","1000","","","0","training","",""
