"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","4242","0.0-0.0","5b6142d1f5bc590001184814","640759fa512f630a2bdc333d","6408c17f5ea59136b62acb33","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","8321","0.0-1.0","5b6142d1f5bc590001184814","640759fa512f630a2bdc333d","6408c17f5ea59136b62acb33","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","35229","0.0-2.0","5b6142d1f5bc590001184814","640759fa512f630a2bdc333d","6408c17f5ea59136b62acb33","26905.30000001192","What a beautiful Wednesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","45241","0.0-3.0","5b6142d1f5bc590001184814","640759fa512f630a2bdc333d","6408c17f5ea59136b62acb33","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","100706","0.0-4.0","5b6142d1f5bc590001184814","640759fa512f630a2bdc333d","6408c17f5ea59136b62acb33","55463.30000001192","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","110715","0.0-5.0","5b6142d1f5bc590001184814","640759fa512f630a2bdc333d","6408c17f5ea59136b62acb33","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","118174","0.0-6.0","5b6142d1f5bc590001184814","640759fa512f630a2bdc333d","6408c17f5ea59136b62acb33","7457.5","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","130206","0.0-7.0","5b6142d1f5bc590001184814","640759fa512f630a2bdc333d","6408c17f5ea59136b62acb33","12023.200000047684","[""video/TaskInstructions3.mp4""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","135292","0.0-8.0-0.0","5b6142d1f5bc590001184814","640759fa512f630a2bdc333d","6408c17f5ea59136b62acb33","5080.199999988079","img/training1.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","149942","0.0-8.0-1.0-0.0","5b6142d1f5bc590001184814","640759fa512f630a2bdc333d","6408c17f5ea59136b62acb33","[6445.5]","","","[16]","[333]","333","259","227.2440744759312","[227.2440744759312]","[328.2440744759312]","[328]","0","0","1","0","498.7559999880905","992.4580000119167","1000","","","0","training","",""
"","","","","","image-keyboard-response","10","160275","0.0-8.0-0.1","5b6142d1f5bc590001184814","640759fa512f630a2bdc333d","6408c17f5ea59136b62acb33","10330.100000023842","img/training2.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","many-guess-6","11","167541","0.0-8.0-1.1-0.1","5b6142d1f5bc590001184814","640759fa512f630a2bdc333d","6408c17f5ea59136b62acb33","[2178.800000011921]","","","[5,3,16]","[199,224,260]","199","9","236.23479031329646","[236.23479031329646]","[227.23479031329646]","[227]","[30,30,30,30,120,30,300,300,300,300,30,30,30,300,120,120,210,210,120,210,300,210,300,300,120,30,120,120,300,30,210,300,30,120,210,300]","0","3","0","1000.4970000357716","992.9139999999898","1000","[[[""img/mask70.png""],[""img/mask42.png""],[""img/mask70.png""]]]","","[5,3,16]","training","",""
"","","","","","image-keyboard-response","12","171134","0.0-8.0-0.2","5b6142d1f5bc590001184814","640759fa512f630a2bdc333d","6408c17f5ea59136b62acb33","3591.899999976158","img/training3.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","13","176884","0.0-8.0-1.2-0.2","5b6142d1f5bc590001184814","640759fa512f630a2bdc333d","6408c17f5ea59136b62acb33","[1698.9000000357628]","","","[11,10,4,31,32]","[344,43,297,256,307]","344","352","158.20615628415933","[158.20615628415933]","[166.20615628415933]","[165]","[210,30,120,210,210,210,120,30,120,120,120,210,210,120,210,120,120,120,30,120,210,30,300,300,210,30,210,210,30,300,300,120,300,30,120,120]","0","5","0","499.0139999999956","501.279000011913","500","[[[""img/mask28.png""],[""img/mask24.png""],[""img/mask87.png""],[""img/mask84.png""],[""img/mask50.png""]]]","","[11,10,4,31,32]","training","",""
"","","","","","image-keyboard-response","14","178883","0.0-8.0-0.3","5b6142d1f5bc590001184814","640759fa512f630a2bdc333d","6408c17f5ea59136b62acb33","1997.5","img/training4.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","15","184876","0.0-8.0-1.3-0.3","5b6142d1f5bc590001184814","640759fa512f630a2bdc333d","6408c17f5ea59136b62acb33","[3003.5]","","","[31,8,35,20,5,18,21,1,6,4]","[146,211,319,181,240,169,271,126,195,290]","146","155","318.6985712374039","[318.6985712374039]","[163.69857123740388]","[164]","[300,210,120,120,30,120,120,120,120,120,120,300,120,30,210,30,300,210,210,210,300,210,300,300,120,30,210,300,30,30,120,120,30,30,120,30]","0","10","0","132.4370000238414","140.10000002384186","132","[[[""img/mask4.png""],[""img/mask28.png""],[""img/mask34.png""],[""img/mask33.png""],[""img/mask55.png""],[""img/mask8.png""],[""img/mask93.png""],[""img/mask53.png""],[""img/mask44.png""],[""img/mask54.png""]]]","","[31,8,35,20,5,18,21,1,6,4]","training","",""
"","","","","","image-keyboard-response","16","189522","0.0-8.0-0.4","5b6142d1f5bc590001184814","640759fa512f630a2bdc333d","6408c17f5ea59136b62acb33","4644.199999988079","img/training5.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","17","195038","0.0-8.0-1.4-0.4","5b6142d1f5bc590001184814","640759fa512f630a2bdc333d","6408c17f5ea59136b62acb33","[2241.2999999523163]","","","[0,15,21,22,19,31,24,17,6,9,30,23,14,2,13,28,29,25,34,5,35,8,4,7,26,18,20,11,12,27,10,32,3,33,1,16]","[82,32,102,301,331,241,161,321,211,72,311,22,191,251,181,201,112,12,261,141,291,221,121,131,341,271,231,351,52,281,92,2,62,171,151,42]","82","214","239.54820471956856","[239.54820471956856]","[25.54820471956856]","[26]","[210,210,210,300,120,300,120,300,300,30,30,210,300,210,30,300,300,120,120,210,30,300,300,120,120,300,30,300,210,210,300,30,30,120,120,30]","0","36","0","133.16800000000512","32.94400001192116","16","[[[""img/mask68.png""],[""img/mask22.png""],[""img/mask75.png""],[""img/mask92.png""],[""img/mask20.png""],[""img/mask86.png""],[""img/mask100.png""],[""img/mask28.png""],[""img/mask32.png""],[""img/mask55.png""],[""img/mask65.png""],[""img/mask65.png""],[""img/mask20.png""],[""img/mask83.png""],[""img/mask81.png""],[""img/mask83.png""],[""img/mask36.png""],[""img/mask22.png""],[""img/mask29.png""],[""img/mask37.png""],[""img/mask54.png""],[""img/mask35.png""],[""img/mask69.png""],[""img/mask71.png""],[""img/mask24.png""],[""img/mask75.png""],[""img/mask97.png""],[""img/mask37.png""],[""img/mask43.png""],[""img/mask25.png""],[""img/mask9.png""],[""img/mask62.png""],[""img/mask3.png""],[""img/mask82.png""],[""img/mask4.png""],[""img/mask6.png""]]]","","[0,15,21,22,19,31,24,17,6,9,30,23,14,2,13,28,29,25,34,5,35,8,4,7,26,18,20,11,12,27,10,32,3,33,1,16]","training","",""
"","","","","","image-keyboard-response","18","200663","0.0-9.0","5b6142d1f5bc590001184814","640759fa512f630a2bdc333d","6408c17f5ea59136b62acb33","5624.099999964237","[""img/endTraining.png""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","19","205950","0.0-10.0-0.0-0.0","5b6142d1f5bc590001184814","640759fa512f630a2bdc333d","6408c17f5ea59136b62acb33","[1728.1000000238419]","","","[30]","[47]","47","275","308.0842285294063","[308.0842285294063]","[33.08422852940629]","[33]","0","0","1","0","148.73699998809025","1006.2479999999923","1000","[[[""img/mask93.png""]]]","","","main","275","color-precision2"
"","","","","","html-keyboard-response","20","206453","0.0-10.0-1.0","5b6142d1f5bc590001184814","640759fa512f630a2bdc333d","6408c17f5ea59136b62acb33","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","color-precision2","21","210529","0.0-10.0-0.1-0.1","5b6142d1f5bc590001184814","640759fa512f630a2bdc333d","6408c17f5ea59136b62acb33","[903.5]","","","[5]","[313]","313","266","244.294691082552","[244.294691082552]","[338.294691082552]","[338]","0","0","1","0","147.87299998808885","995.8969999880646","1000","[[[""img/mask43.png""]]]","","","main","266","color-precision2"
"","","","","","html-keyboard-response","22","211031","0.0-10.0-1.1","5b6142d1f5bc590001184814","640759fa512f630a2bdc333d","6408c17f5ea59136b62acb33","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","many-guess-6","23","216249","0.0-10.0-0.2-0.2","5b6142d1f5bc590001184814","640759fa512f630a2bdc333d","6408c17f5ea59136b62acb33","[2271.199999988079]","","","[26,5,6,35,34,28,11,15,14,23,7,30,33,9,17,18,16,12,21,1,29,10,32,31,13,8,4,19,24,20,25,27,0,22,3,2]","[298,189,39,338,19,9,179,348,229,219,328,159,139,268,29,358,249,239,199,59,169,209,89,259,318,119,278,99,109,308,149,49,79,129,69,288]","298","26","52.88928903367406","[52.88928903367406]","[26.88928903367406]","[25]","[30,120,210,210,120,300,120,120,30]","0","36","0","146.75700000001234","16.686999988072785","16","[[[""img/mask9.png""],[""img/mask63.png""],[""img/mask95.png""],[""img/mask87.png""],[""img/mask10.png""],[""img/mask22.png""],[""img/mask90.png""],[""img/mask47.png""],[""img/mask49.png""],[""img/mask36.png""],[""img/mask34.png""],[""img/mask25.png""],[""img/mask64.png""],[""img/mask68.png""],[""img/mask73.png""],[""img/mask35.png""],[""img/mask95.png""],[""img/mask34.png""],[""img/mask20.png""],[""img/mask51.png""],[""img/mask50.png""],[""img/mask31.png""],[""img/mask64.png""],[""img/mask56.png""],[""img/mask31.png""],[""img/mask9.png""],[""img/mask76.png""],[""img/mask69.png""],[""img/mask22.png""],[""img/mask87.png""],[""img/mask66.png""],[""img/mask91.png""],[""img/mask67.png""],[""img/mask41.png""],[""img/mask17.png""],[""img/mask43.png""]]]","","[26,5,6,35,34,28,11,15,14,23,7,30,33,9,17,18,16,12,21,1,29,10,32,31,13,8,4,19,24,20,25,27,0,22,3,2]","main","26","many-guess-6"
"","","","","","html-keyboard-response","24","216751","0.0-10.0-1.2","5b6142d1f5bc590001184814","640759fa512f630a2bdc333d","6408c17f5ea59136b62acb33","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","many-guess-6","25","219941","0.0-10.0-0.3-0.3","5b6142d1f5bc590001184814","640759fa512f630a2bdc333d","6408c17f5ea59136b62acb33","[1360.3999999761581]","","","[21,5,13,15,7,12,24,34,23,4,14,26,25,2,9,17,11,29,27,8,6,19,20,33,18,1,30,16,3,22,10,28,35,32,0,31]","[105,324,264,354,35,145,5,224,85,155,55,214,75,234,254,185,344,304,45,314,334,115,175,195,244,284,65,274,294,15,95,165,204,25,135,125]","105","106","275.32152031772176","[275.32152031772176]","[169.32152031772176]","[170]","[30,300,120,300,120,300,30,210,210]","0","36","0","149.38500003574882","12.567000011913478","16","[[[""img/mask97.png""],[""img/mask34.png""],[""img/mask96.png""],[""img/mask40.png""],[""img/mask74.png""],[""img/mask52.png""],[""img/mask82.png""],[""img/mask72.png""],[""img/mask39.png""],[""img/mask46.png""],[""img/mask95.png""],[""img/mask66.png""],[""img/mask57.png""],[""img/mask80.png""],[""img/mask34.png""],[""img/mask4.png""],[""img/mask15.png""],[""img/mask92.png""],[""img/mask85.png""],[""img/mask100.png""],[""img/mask15.png""],[""img/mask76.png""],[""img/mask32.png""],[""img/mask11.png""],[""img/mask23.png""],[""img/mask19.png""],[""img/mask46.png""],[""img/mask41.png""],[""img/mask26.png""],[""img/mask59.png""],[""img/mask57.png""],[""img/mask65.png""],[""img/mask39.png""],[""img/mask99.png""],[""img/mask99.png""],[""img/mask60.png""]]]","","[21,5,13,15,7,12,24,34,23,4,14,26,25,2,9,17,11,29,27,8,6,19,20,33,18,1,30,16,3,22,10,28,35,32,0,31]","main","106","many-guess-6"
"","","","","","html-keyboard-response","26","220443","0.0-10.0-1.3","5b6142d1f5bc590001184814","640759fa512f630a2bdc333d","6408c17f5ea59136b62acb33","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","many-guess-6","27","224109","0.0-10.0-0.4-0.4","5b6142d1f5bc590001184814","640759fa512f630a2bdc333d","6408c17f5ea59136b62acb33","[1759.3999999761581]","","","[18,13,0,11,17,33,8,19,28,9,15,22,7,29,30,2,27,20,10,6,31,16,32,24,23,14,35,4,34,5,25,1,3,21,12,26]","[96,86,16,106,226,146,26,276,6,286,46,236,56,126,336,36,176,206,246,316,156,296,76,216,66,355,116,326,166,266,306,196,256,186,345,136]","96","115","232.92162161300797","[232.92162161300797]","[117.92162161300797]","[118]","[300,30,210,30,30,120,210,30,30]","0","36","0","149.36400002383743","17.13600002383464","16","[[[""img/mask24.png""],[""img/mask74.png""],[""img/mask56.png""],[""img/mask22.png""],[""img/mask47.png""],[""img/mask12.png""],[""img/mask94.png""],[""img/mask34.png""],[""img/mask78.png""],[""img/mask97.png""],[""img/mask49.png""],[""img/mask46.png""],[""img/mask45.png""],[""img/mask72.png""],[""img/mask56.png""],[""img/mask23.png""],[""img/mask61.png""],[""img/mask43.png""],[""img/mask66.png""],[""img/mask15.png""],[""img/mask39.png""],[""img/mask79.png""],[""img/mask39.png""],[""img/mask76.png""],[""img/mask1.png""],[""img/mask23.png""],[""img/mask37.png""],[""img/mask48.png""],[""img/mask35.png""],[""img/mask23.png""],[""img/mask70.png""],[""img/mask55.png""],[""img/mask61.png""],[""img/mask47.png""],[""img/mask71.png""],[""img/mask29.png""]]]","","[18,13,0,11,17,33,8,19,28,9,15,22,7,29,30,2,27,20,10,6,31,16,32,24,23,14,35,4,34,5,25,1,3,21,12,26]","main","115","many-guess-6"
"","","","","","html-keyboard-response","28","224611","0.0-10.0-1.4","5b6142d1f5bc590001184814","640759fa512f630a2bdc333d","6408c17f5ea59136b62acb33","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","color-precision2","29","228063","0.0-10.0-0.5-0.5","5b6142d1f5bc590001184814","640759fa512f630a2bdc333d","6408c17f5ea59136b62acb33","[674.7000000476837]","","","[25]","[318]","318","275","247.1809248739316","[247.1809248739316]","[332.1809248739316]","[332]","0","0","1","0","147.43500001193024","993.2660000119067","1000","[[[""img/mask60.png""]]]","","","main","275","color-precision2"
"","","","","","html-keyboard-response","30","228564","0.0-10.0-1.5","5b6142d1f5bc590001184814","640759fa512f630a2bdc333d","6408c17f5ea59136b62acb33","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","many-guess-6","31","232533","0.0-10.0-0.6-0.6","5b6142d1f5bc590001184814","640759fa512f630a2bdc333d","6408c17f5ea59136b62acb33","[1544]","","","[26,2,27,25,13,17,28,34,30,5,9,20,33,35,4,15,29,10,7,12,32,22,14,6,1,23,3,24,21,19,11,18,0,16,8,31]","[315,305,106,345,155,135,46,115,86,6,275,36,325,255,165,265,16,185,195,96,295,76,225,26,335,235,145,125,175,245,215,355,205,56,66,285]","315","302","316.4264107642868","[316.4264107642868]","[14.4264107642868]","[14]","[30,300,210,30,120,30,300,210,30]","0","36","0","149.25700000001234","13.297000035759993","16","[[[""img/mask35.png""],[""img/mask63.png""],[""img/mask13.png""],[""img/mask25.png""],[""img/mask89.png""],[""img/mask47.png""],[""img/mask82.png""],[""img/mask15.png""],[""img/mask41.png""],[""img/mask38.png""],[""img/mask66.png""],[""img/mask7.png""],[""img/mask12.png""],[""img/mask8.png""],[""img/mask77.png""],[""img/mask38.png""],[""img/mask50.png""],[""img/mask69.png""],[""img/mask65.png""],[""img/mask54.png""],[""img/mask34.png""],[""img/mask78.png""],[""img/mask28.png""],[""img/mask12.png""],[""img/mask26.png""],[""img/mask60.png""],[""img/mask1.png""],[""img/mask49.png""],[""img/mask48.png""],[""img/mask56.png""],[""img/mask10.png""],[""img/mask3.png""],[""img/mask11.png""],[""img/mask6.png""],[""img/mask87.png""],[""img/mask61.png""]]]","","[26,2,27,25,13,17,28,34,30,5,9,20,33,35,4,15,29,10,7,12,32,22,14,6,1,23,3,24,21,19,11,18,0,16,8,31]","main","302","many-guess-6"
"","","","","","html-keyboard-response","32","233035","0.0-10.0-1.6","5b6142d1f5bc590001184814","640759fa512f630a2bdc333d","6408c17f5ea59136b62acb33","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","many-guess-6","33","237404","0.0-10.0-0.7-0.7","5b6142d1f5bc590001184814","640759fa512f630a2bdc333d","6408c17f5ea59136b62acb33","[2463]","","","[29,2,0,22,4,34,3,21,33,25,14,30,9,6,8,11,20,35,13,12,31,32,16,17,19,23,5,26,28,15,24,27,10,18,7,1]","[25,55,344,155,105,75,245,65,185,145,225,205,165,125,354,95,315,115,215,195,5,324,255,85,175,15,235,45,295,265,334,275,135,285,305,35]","25","54","49.60343099411204","[49.60343099411204]","[355.60343099411205]","[354]","[300,300,120,120,30,210,210,30,300]","0","36","0","149.7659999880707","13.236999988090247","16","[[[""img/mask45.png""],[""img/mask51.png""],[""img/mask84.png""],[""img/mask57.png""],[""img/mask27.png""],[""img/mask11.png""],[""img/mask37.png""],[""img/mask48.png""],[""img/mask68.png""],[""img/mask36.png""],[""img/mask57.png""],[""img/mask69.png""],[""img/mask66.png""],[""img/mask91.png""],[""img/mask18.png""],[""img/mask17.png""],[""img/mask21.png""],[""img/mask52.png""],[""img/mask42.png""],[""img/mask39.png""],[""img/mask75.png""],[""img/mask77.png""],[""img/mask83.png""],[""img/mask67.png""],[""img/mask39.png""],[""img/mask100.png""],[""img/mask9.png""],[""img/mask4.png""],[""img/mask88.png""],[""img/mask74.png""],[""img/mask72.png""],[""img/mask45.png""],[""img/mask65.png""],[""img/mask95.png""],[""img/mask75.png""],[""img/mask5.png""]]]","","[29,2,0,22,4,34,3,21,33,25,14,30,9,6,8,11,20,35,13,12,31,32,16,17,19,23,5,26,28,15,24,27,10,18,7,1]","main","54","many-guess-6"
"","","","","","html-keyboard-response","34","237906","0.0-10.0-1.7","5b6142d1f5bc590001184814","640759fa512f630a2bdc333d","6408c17f5ea59136b62acb33","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
