"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","6419","0.0-0.0","5c8676deddda2d00012ad386","640759fa512f630a2bdc333d","6408c18217b650113cca9d30","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","32340","0.0-1.0","5c8676deddda2d00012ad386","640759fa512f630a2bdc333d","6408c18217b650113cca9d30","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","51969","0.0-2.0","5c8676deddda2d00012ad386","640759fa512f630a2bdc333d","6408c18217b650113cca9d30","19627","What a beautiful Wednesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","61972","0.0-3.0","5c8676deddda2d00012ad386","640759fa512f630a2bdc333d","6408c18217b650113cca9d30","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","63070","0.0-4.0","5c8676deddda2d00012ad386","640759fa512f630a2bdc333d","6408c18217b650113cca9d30","1095","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","73076","0.0-5.0","5c8676deddda2d00012ad386","640759fa512f630a2bdc333d","6408c18217b650113cca9d30","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","81074","0.0-6.0","5c8676deddda2d00012ad386","640759fa512f630a2bdc333d","6408c18217b650113cca9d30","7996","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","arrowdown","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","100623","0.0-7.0","5c8676deddda2d00012ad386","640759fa512f630a2bdc333d","6408c18217b650113cca9d30","19541","[""video/TaskInstructions3.mp4""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","123342","0.0-8.0-0.0","5c8676deddda2d00012ad386","640759fa512f630a2bdc333d","6408c18217b650113cca9d30","22717","img/training1.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","137155","0.0-8.0-1.0-0.0","5c8676deddda2d00012ad386","640759fa512f630a2bdc333d","6408c18217b650113cca9d30","[4910]","","","[6]","[358]","358","244","239.37050133420627","[239.37050133420627]","[355.37050133420627]","[356]","0","0","1","0","497","1006","1000","","","0","training","",""
