"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","15009","0.0-0.0","5d57f9cdedef630016280505","640759fa512f630a2bdc333d","6408c17ce62ed13e6dfdcde5","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","18295","0.0-1.0","5d57f9cdedef630016280505","640759fa512f630a2bdc333d","6408c17ce62ed13e6dfdcde5","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","26012","0.0-2.0","5d57f9cdedef630016280505","640759fa512f630a2bdc333d","6408c17ce62ed13e6dfdcde5","7708.200000001118","What a beautiful Wednesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>","shift","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","36022","0.0-3.0","5d57f9cdedef630016280505","640759fa512f630a2bdc333d","6408c17ce62ed13e6dfdcde5","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","36581","0.0-4.0","5d57f9cdedef630016280505","640759fa512f630a2bdc333d","6408c17ce62ed13e6dfdcde5","555","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","arrowdown","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","46612","0.0-5.0","5d57f9cdedef630016280505","640759fa512f630a2bdc333d","6408c17ce62ed13e6dfdcde5","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","70831","0.0-6.0","5d57f9cdedef630016280505","640759fa512f630a2bdc333d","6408c17ce62ed13e6dfdcde5","24210","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","arrowdown","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","103742","0.0-7.0","5d57f9cdedef630016280505","640759fa512f630a2bdc333d","6408c17ce62ed13e6dfdcde5","32717.5","[""video/TaskInstructions3.mp4""]","arrowright","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","110453","0.0-8.0-0.0","5d57f9cdedef630016280505","640759fa512f630a2bdc333d","6408c17ce62ed13e6dfdcde5","6700.5","img/training1.png","arrowright","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","124838","0.0-8.0-1.0-0.0","5d57f9cdedef630016280505","640759fa512f630a2bdc333d","6408c17ce62ed13e6dfdcde5","[2207.7000000011176]","","","[32]","[262]","262","61","326.46669208154344","[326.46669208154344]","[265.46669208154344]","[265]","0","0","1","0","495.5430000007327","1005.1610000014771","1000","","","0","training","",""
"","","","","","image-keyboard-response","10","140491","0.0-8.0-0.1","5d57f9cdedef630016280505","640759fa512f630a2bdc333d","6408c17ce62ed13e6dfdcde5","15640.199999999255","img/training2.png","arrowdown","","","","","","","","","","","","","","","","","","","","",""
"","","","","","many-guess-6","11","150945","0.0-8.0-1.1-0.1","5d57f9cdedef630016280505","640759fa512f630a2bdc333d","6408c17ce62ed13e6dfdcde5","[4557.200000001118]","","","[22,25,16]","[261,296,323]","261","210","124.26607807458754","[124.26607807458754]","[274.26607807458754]","[272]","[300,120,30,30,120,210,210,30,210,120,30,30,210,30,120,300,30,120,30,210,30,120,30,210,30,120,120,120,210,210,120,210,210,210,120,300]","0","3","0","996.5810000014899","999.7660000000033","1000","[[[""img/mask22.png""],[""img/mask86.png""],[""img/mask10.png""]]]","","[22,25,16]","training","",""
"","","","","","image-keyboard-response","12","160003","0.0-8.0-0.2","5d57f9cdedef630016280505","640759fa512f630a2bdc333d","6408c17ce62ed13e6dfdcde5","9049.200000001118","img/training3.png","arrowdown","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","13","169365","0.0-8.0-1.2-0.2","5d57f9cdedef630016280505","640759fa512f630a2bdc333d","6408c17ce62ed13e6dfdcde5","[4724.299999998882]","","","[15,3,14,31,23]","[141,24,343,74,324]","141","139","122.86518528827958","[122.86518528827958]","[343.8651852882796]","[343]","[300,210,120,210,120,30,300,30,300,300,30,210,210,210,120,300,30,30,120,120,30,300,300,210,210,210,300,300,120,210,300,300,30,120,30,30]","0","5","0","497.46500000113156","497.1480000014999","500","[[[""img/mask82.png""],[""img/mask56.png""],[""img/mask31.png""],[""img/mask19.png""],[""img/mask99.png""]]]","","[15,3,14,31,23]","training","",""
"","","","","","image-keyboard-response","14","173766","0.0-8.0-0.3","5d57f9cdedef630016280505","640759fa512f630a2bdc333d","6408c17ce62ed13e6dfdcde5","4393.699999999255","img/training4.png","arrowdown","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","15","180623","0.0-8.0-1.3-0.3","5d57f9cdedef630016280505","640759fa512f630a2bdc333d","6408c17ce62ed13e6dfdcde5","[3099.5]","","","[9,35,24,1,16,11,27,8,5,31]","[202,253,176,321,216,242,307,347,334,273]","202","137","12.356701843757902","[12.356701843757902]","[235.3567018437579]","[234]","[210,120,300,300,30,30,30,210,120,210,300,210,30,30,30,210,30,30,30,30,300,300,120,210,120,120,120,30,30,210,30,120,30,210,210,120]","0","10","0","130.4250000011234","128.78200000149081","132","[[[""img/mask11.png""],[""img/mask9.png""],[""img/mask11.png""],[""img/mask29.png""],[""img/mask52.png""],[""img/mask37.png""],[""img/mask19.png""],[""img/mask13.png""],[""img/mask59.png""],[""img/mask26.png""]]]","","[9,35,24,1,16,11,27,8,5,31]","training","",""
"","","","","","image-keyboard-response","16","190167","0.0-8.0-0.4","5d57f9cdedef630016280505","640759fa512f630a2bdc333d","6408c17ce62ed13e6dfdcde5","9534.5","img/training5.png","arrowdown","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","17","198286","0.0-8.0-1.4-0.4","5d57f9cdedef630016280505","640759fa512f630a2bdc333d","6408c17ce62ed13e6dfdcde5","[4518.699999999255]","","","[31,35,18,29,4,23,30,10,32,13,8,3,33,24,12,16,20,25,34,17,11,21,15,9,14,6,27,26,5,1,7,0,19,2,28,22]","[48,18,337,218,278,268,288,158,308,238,258,248,8,357,118,228,347,298,78,188,198,68,318,138,168,108,208,28,98,38,88,327,148,178,58,128]","48","231","114.08893850336929","[114.08893850336929]","[243.0889385033693]","[241]","[210,30,30,300,300,30,30,210,210,30,30,120,30,210,120,30,210,300,30,210,210,300,30,210,210,120,120,210,210,120,300,210,300,30,300,120]","0","36","0","130.07100000148057","32.37000000037369","16","[[[""img/mask18.png""],[""img/mask67.png""],[""img/mask40.png""],[""img/mask14.png""],[""img/mask52.png""],[""img/mask1.png""],[""img/mask52.png""],[""img/mask95.png""],[""img/mask100.png""],[""img/mask43.png""],[""img/mask100.png""],[""img/mask98.png""],[""img/mask23.png""],[""img/mask97.png""],[""img/mask33.png""],[""img/mask54.png""],[""img/mask92.png""],[""img/mask23.png""],[""img/mask93.png""],[""img/mask82.png""],[""img/mask74.png""],[""img/mask5.png""],[""img/mask76.png""],[""img/mask97.png""],[""img/mask94.png""],[""img/mask7.png""],[""img/mask76.png""],[""img/mask40.png""],[""img/mask29.png""],[""img/mask10.png""],[""img/mask35.png""],[""img/mask70.png""],[""img/mask68.png""],[""img/mask62.png""],[""img/mask22.png""],[""img/mask91.png""]]]","","[31,35,18,29,4,23,30,10,32,13,8,3,33,24,12,16,20,25,34,17,11,21,15,9,14,6,27,26,5,1,7,0,19,2,28,22]","training","",""
"","","","","","image-keyboard-response","18","202400","0.0-9.0","5d57f9cdedef630016280505","640759fa512f630a2bdc333d","6408c17ce62ed13e6dfdcde5","4085.7000000011176","[""img/endTraining.png""]","arrowdown","","","","","","","","","","","","","","","","","","","","",""
"","","","","","many-guess-6","19","208614","0.0-10.0-0.0-0.0","5d57f9cdedef630016280505","640759fa512f630a2bdc333d","6408c17ce62ed13e6dfdcde5","[3101.5]","","","[34,0,12,31,27,9,7,19,25,3,30,6,5,10,4,24,1,35,32,15,23,8,13,14,16,26,17,28,20,22,2,18,29,33,21,11]","[357,297,108,38,118,28,8,48,207,168,257,317,78,197,267,158,307,247,68,277,217,18,347,58,128,237,88,138,98,177,287,227,327,337,148,187]","357","183","171.14911151608442","[171.14911151608442]","[348.1491115160844]","[347]","[210,210,210,120,30,210,30,120,210]","0","36","0","145.07800000000861","27.28300000037416","16","[[[""img/mask48.png""],[""img/mask84.png""],[""img/mask78.png""],[""img/mask82.png""],[""img/mask30.png""],[""img/mask15.png""],[""img/mask83.png""],[""img/mask42.png""],[""img/mask100.png""],[""img/mask58.png""],[""img/mask29.png""],[""img/mask99.png""],[""img/mask72.png""],[""img/mask81.png""],[""img/mask67.png""],[""img/mask20.png""],[""img/mask59.png""],[""img/mask68.png""],[""img/mask16.png""],[""img/mask17.png""],[""img/mask59.png""],[""img/mask38.png""],[""img/mask82.png""],[""img/mask74.png""],[""img/mask7.png""],[""img/mask40.png""],[""img/mask79.png""],[""img/mask96.png""],[""img/mask82.png""],[""img/mask51.png""],[""img/mask61.png""],[""img/mask41.png""],[""img/mask63.png""],[""img/mask83.png""],[""img/mask54.png""],[""img/mask31.png""]]]","","[34,0,12,31,27,9,7,19,25,3,30,6,5,10,4,24,1,35,32,15,23,8,13,14,16,26,17,28,20,22,2,18,29,33,21,11]","main","183","many-guess-6"
"","","","","","html-keyboard-response","20","209124","0.0-10.0-1.0","5d57f9cdedef630016280505","640759fa512f630a2bdc333d","6408c17ce62ed13e6dfdcde5","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
