"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","9885","0.0-0.0","5dee72917309b950e5262f3a","640759fa512f630a2bdc333d","6408c17cc347c840b5e435e0","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","105014","0.0-1.0","5dee72917309b950e5262f3a","640759fa512f630a2bdc333d","6408c17cc347c840b5e435e0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","110692","0.0-2.0","5dee72917309b950e5262f3a","640759fa512f630a2bdc333d","6408c17cc347c840b5e435e0","5674.100000143051","What a beautiful Wednesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","120707","0.0-3.0","5dee72917309b950e5262f3a","640759fa512f630a2bdc333d","6408c17cc347c840b5e435e0","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","146678","0.0-4.0","5dee72917309b950e5262f3a","640759fa512f630a2bdc333d","6408c17cc347c840b5e435e0","25969.700000047684","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","156689","0.0-5.0","5dee72917309b950e5262f3a","640759fa512f630a2bdc333d","6408c17cc347c840b5e435e0","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","212282","0.0-6.0","5dee72917309b950e5262f3a","640759fa512f630a2bdc333d","6408c17cc347c840b5e435e0","55592","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","226020","0.0-7.0","5dee72917309b950e5262f3a","640759fa512f630a2bdc333d","6408c17cc347c840b5e435e0","13731.799999952316","[""video/TaskInstructions3.mp4""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","235843","0.0-8.0-0.0","5dee72917309b950e5262f3a","640759fa512f630a2bdc333d","6408c17cc347c840b5e435e0","9818","img/training1.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","248304","0.0-8.0-1.0-0.0","5dee72917309b950e5262f3a","640759fa512f630a2bdc333d","6408c17cc347c840b5e435e0","[3587]","","","[4]","[159]","159","63","233.53205845167724","[233.53205845167724]","[170.53205845167724]","[170]","0","0","1","0","498.8020000476972","996.21300004769","1000","","","0","training","",""
"","","","","","image-keyboard-response","10","264790","0.0-8.0-0.1","5dee72917309b950e5262f3a","640759fa512f630a2bdc333d","6408c17cc347c840b5e435e0","16484.700000047684","img/training2.png"," ","","","","","","","","","","","","","","","","","","","","",""
