"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","20889","0.0-0.0","5df2f36b617219204de98060","640759fa512f630a2bdc333d","6408c1811806d9b9e8039b03","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","23790","0.0-1.0","5df2f36b617219204de98060","640759fa512f630a2bdc333d","6408c1811806d9b9e8039b03","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","28717","0.0-2.0","5df2f36b617219204de98060","640759fa512f630a2bdc333d","6408c1811806d9b9e8039b03","4923.399999999907","What a beautiful Wednesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","38732","0.0-3.0","5df2f36b617219204de98060","640759fa512f630a2bdc333d","6408c1811806d9b9e8039b03","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","44380","0.0-4.0","5df2f36b617219204de98060","640759fa512f630a2bdc333d","6408c1811806d9b9e8039b03","5647","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","54401","0.0-5.0","5df2f36b617219204de98060","640759fa512f630a2bdc333d","6408c1811806d9b9e8039b03","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","67069","0.0-6.0","5df2f36b617219204de98060","640759fa512f630a2bdc333d","6408c1811806d9b9e8039b03","12666.59999999986","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","92653","0.0-7.0","5df2f36b617219204de98060","640759fa512f630a2bdc333d","6408c1811806d9b9e8039b03","25573.700000000186","[""video/TaskInstructions3.mp4""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","99358","0.0-8.0-0.0","5df2f36b617219204de98060","640759fa512f630a2bdc333d","6408c1811806d9b9e8039b03","6650.5","img/training1.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","107056","0.0-8.0-1.0-0.0","5df2f36b617219204de98060","640759fa512f630a2bdc333d","6408c1811806d9b9e8039b03","[2433.399999999907]","","","[34]","[119]","119","41","162.63788045286952","[162.63788045286952]","[121.63788045286952]","[120]","0","0","1","0","500.0669999999518","999.8340000001335","1000","","","0","training","",""
"","","","","","image-keyboard-response","10","114238","0.0-8.0-0.1","5df2f36b617219204de98060","640759fa512f630a2bdc333d","6408c1811806d9b9e8039b03","7178.600000000093","img/training2.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","many-guess-6","11","121824","0.0-8.0-1.1-0.1","5df2f36b617219204de98060","640759fa512f630a2bdc333d","6408c1811806d9b9e8039b03","[2518]","","","[28,21,10]","[359,267,177]","359","180","158.50635360298216","[158.50635360298216]","[338.50635360298213]","[337]","[30,30,300,300,300,120,30,300,120,120,30,300,30,120,30,120,300,300,300,30,210,300,120,210,120,120,300,30,210,210,210,30,120,30,120,210]","0","3","0","999.6980000001495","1005.8740000000398","1000","[[[""img/mask62.png""],[""img/mask50.png""],[""img/mask51.png""]]]","","[28,21,10]","training","",""
"","","","","","image-keyboard-response","12","126313","0.0-8.0-0.2","5df2f36b617219204de98060","640759fa512f630a2bdc333d","6408c1811806d9b9e8039b03","4486.299999999814","img/training3.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","13","131521","0.0-8.0-1.2-0.2","5df2f36b617219204de98060","640759fa512f630a2bdc333d","6408c1811806d9b9e8039b03","[1734.6999999999534]","","","[24,4,21,12,17]","[273,178,236,112,52]","273","185","187.34795600009932","[187.34795600009932]","[2.347956000099316]","[1]","[300,210,30,300,30,300,210,30,300,210,30,120,120,300,210,120,30,30,30,30,300,210,210,30,120,30,120,120,120,210,120,30,300,120,300,210]","0","5","0","501.13200000009965","495.725999999966","500","[[[""img/mask95.png""],[""img/mask5.png""],[""img/mask13.png""],[""img/mask50.png""],[""img/mask96.png""]]]","","[24,4,21,12,17]","training","",""
"","","","","","image-keyboard-response","14","137954","0.0-8.0-0.3","5df2f36b617219204de98060","640759fa512f630a2bdc333d","6408c1811806d9b9e8039b03","6429.699999999953","img/training4.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","15","142178","0.0-8.0-1.3-0.3","5df2f36b617219204de98060","640759fa512f630a2bdc333d","6408c1811806d9b9e8039b03","[1603.1000000000931]","","","[15,29,10,2,27,28,11,9,16,3]","[19,64,276,294,33,258,327,344,50,244]","19","158","49.3830849138577","[49.3830849138577]","[251.38308491385772]","[250]","[30,210,300,30,120,210,210,120,30,210,120,120,30,210,120,120,120,210,210,30,30,30,300,30,120,210,300,210,210,120,120,210,120,30,120,300]","0","10","0","132.72999999995227","129.8440000001283","132","[[[""img/mask13.png""],[""img/mask73.png""],[""img/mask25.png""],[""img/mask72.png""],[""img/mask86.png""],[""img/mask100.png""],[""img/mask67.png""],[""img/mask5.png""],[""img/mask20.png""],[""img/mask33.png""]]]","","[15,29,10,2,27,28,11,9,16,3]","training","",""
"","","","","","image-keyboard-response","16","148082","0.0-8.0-0.4","5df2f36b617219204de98060","640759fa512f630a2bdc333d","6408c1811806d9b9e8039b03","5901.5","img/training5.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","17","152534","0.0-8.0-1.4-0.4","5df2f36b617219204de98060","640759fa512f630a2bdc333d","6408c1811806d9b9e8039b03","[1662.5]","","","[31,22,21,7,3,12,10,29,13,18,11,28,14,8,5,9,15,2,24,25,35,0,16,32,34,4,20,6,19,30,23,1,17,26,33,27]","[223,133,313,293,303,63,113,283,23,93,103,213,43,53,143,323,263,13,253,173,193,163,343,33,353,73,83,153,123,203,183,4,233,333,273,243]","223","176","151.56726998348785","[151.56726998348785]","[335.56726998348785]","[334]","[30,120,300,120,120,210,300,120,300,120,210,300,210,30,210,30,300,210,120,210,300,210,30,30,300,30,30,210,210,300,210,120,120,300,210,210]","0","36","0","100.51500000004307","27.57200000010198","16","[[[""img/mask45.png""],[""img/mask53.png""],[""img/mask67.png""],[""img/mask54.png""],[""img/mask37.png""],[""img/mask43.png""],[""img/mask15.png""],[""img/mask1.png""],[""img/mask34.png""],[""img/mask45.png""],[""img/mask32.png""],[""img/mask84.png""],[""img/mask90.png""],[""img/mask26.png""],[""img/mask80.png""],[""img/mask30.png""],[""img/mask30.png""],[""img/mask26.png""],[""img/mask93.png""],[""img/mask65.png""],[""img/mask33.png""],[""img/mask17.png""],[""img/mask83.png""],[""img/mask19.png""],[""img/mask14.png""],[""img/mask22.png""],[""img/mask1.png""],[""img/mask24.png""],[""img/mask39.png""],[""img/mask47.png""],[""img/mask41.png""],[""img/mask2.png""],[""img/mask76.png""],[""img/mask84.png""],[""img/mask52.png""],[""img/mask6.png""]]]","","[31,22,21,7,3,12,10,29,13,18,11,28,14,8,5,9,15,2,24,25,35,0,16,32,34,4,20,6,19,30,23,1,17,26,33,27]","training","",""
"","","","","","image-keyboard-response","18","155593","0.0-9.0","5df2f36b617219204de98060","640759fa512f630a2bdc333d","6408c1811806d9b9e8039b03","3052.4000000001397","[""img/endTraining.png""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","many-guess-6","19","159014","0.0-10.0-0.0-0.0","5df2f36b617219204de98060","640759fa512f630a2bdc333d","6408c1811806d9b9e8039b03","[1476.8000000000466]","","","[18,31,24,6,26,23,2,22,30,7,10,11,21,5,13,33,4,29,3,17,1,35,28,0,19,25,9,14,27,20,12,32,34,8,15,16]","[7,107,276,356,146,346,126,176,186,97,136,37,226,286,216,256,296,236,316,306,336,206,196,47,266,57,116,156,246,166,326,87,77,67,17,27]","7","326","176.4660316181045","[176.4660316181045]","[210.4660316181045]","[210]","[300,30,300,30,30,30,210,210,120]","0","36","0","148.11100000009174","12.578000000037719","16","[[[""img/mask69.png""],[""img/mask94.png""],[""img/mask47.png""],[""img/mask30.png""],[""img/mask35.png""],[""img/mask7.png""],[""img/mask39.png""],[""img/mask24.png""],[""img/mask49.png""],[""img/mask91.png""],[""img/mask86.png""],[""img/mask53.png""],[""img/mask85.png""],[""img/mask49.png""],[""img/mask71.png""],[""img/mask46.png""],[""img/mask73.png""],[""img/mask46.png""],[""img/mask16.png""],[""img/mask17.png""],[""img/mask72.png""],[""img/mask30.png""],[""img/mask75.png""],[""img/mask42.png""],[""img/mask18.png""],[""img/mask72.png""],[""img/mask30.png""],[""img/mask50.png""],[""img/mask65.png""],[""img/mask46.png""],[""img/mask88.png""],[""img/mask6.png""],[""img/mask27.png""],[""img/mask37.png""],[""img/mask80.png""],[""img/mask86.png""]]]","","[18,31,24,6,26,23,2,22,30,7,10,11,21,5,13,33,4,29,3,17,1,35,28,0,19,25,9,14,27,20,12,32,34,8,15,16]","main","326","many-guess-6"
"","","","","","html-keyboard-response","20","159528","0.0-10.0-1.0","5df2f36b617219204de98060","640759fa512f630a2bdc333d","6408c1811806d9b9e8039b03","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","color-precision2","21","163810","0.0-10.0-0.1-0.1","5df2f36b617219204de98060","640759fa512f630a2bdc333d","6408c1811806d9b9e8039b03","[1427.6000000000931]","","","[7]","[262]","262","71","332.7446716250569","[332.7446716250569]","[261.7446716250569]","[262]","0","0","1","0","146.54800000000978","998.3189999999595","1000","[[[""img/mask84.png""]]]","","","main","71","color-precision2"
"","","","","","html-keyboard-response","22","164312","0.0-10.0-1.1","5df2f36b617219204de98060","640759fa512f630a2bdc333d","6408c1811806d9b9e8039b03","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
