"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","4945","0.0-0.0","5e402dcd7b260d000a7b69fe","640759fa512f630a2bdc333d","6408c17ccaaf0e0469ab9a4a","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","8073","0.0-1.0","5e402dcd7b260d000a7b69fe","640759fa512f630a2bdc333d","6408c17ccaaf0e0469ab9a4a","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","11035","0.0-2.0","5e402dcd7b260d000a7b69fe","640759fa512f630a2bdc333d","6408c17ccaaf0e0469ab9a4a","2960.0999999940395","What a beautiful Wednesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>","enter","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","21040","0.0-3.0","5e402dcd7b260d000a7b69fe","640759fa512f630a2bdc333d","6408c17ccaaf0e0469ab9a4a","6534.39999999851","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","enter","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","23348","0.0-4.0","5e402dcd7b260d000a7b69fe","640759fa512f630a2bdc333d","6408c17ccaaf0e0469ab9a4a","2307.7000000029802","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","arrowup","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","33361","0.0-5.0","5e402dcd7b260d000a7b69fe","640759fa512f630a2bdc333d","6408c17ccaaf0e0469ab9a4a","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","38885","0.0-6.0","5e402dcd7b260d000a7b69fe","640759fa512f630a2bdc333d","6408c17ccaaf0e0469ab9a4a","5521.70000000298","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","arrowup","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","47076","0.0-7.0","5e402dcd7b260d000a7b69fe","640759fa512f630a2bdc333d","6408c17ccaaf0e0469ab9a4a","8185.79999999702","[""video/TaskInstructions3.mp4""]","arrowup","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","50062","0.0-8.0-0.0","5e402dcd7b260d000a7b69fe","640759fa512f630a2bdc333d","6408c17ccaaf0e0469ab9a4a","2967.7000000029802","img/training1.png","arrowup","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","58027","0.0-8.0-1.0-0.0","5e402dcd7b260d000a7b69fe","640759fa512f630a2bdc333d","6408c17ccaaf0e0469ab9a4a","[2444.60000000149]","","","[7]","[36]","36","236","269.55788455509247","[269.55788455509247]","[33.55788455509247]","[36]","0","0","1","0","500.22000000000116","1003.0849999940401","1000","","","0","training","",""
"","","","","","image-keyboard-response","10","64964","0.0-8.0-0.1","5e402dcd7b260d000a7b69fe","640759fa512f630a2bdc333d","6408c17ccaaf0e0469ab9a4a","6936.60000000149","img/training2.png","arrowdown","","","","","","","","","","","","","","","","","","","","",""
"","","","","","many-guess-6","11","71747","0.0-8.0-1.1-0.1","5e402dcd7b260d000a7b69fe","640759fa512f630a2bdc333d","6408c17ccaaf0e0469ab9a4a","[1614.2000000029802]","","","[12,9,33]","[50,313,3]","50","297","336.49342576958804","[336.49342576958804]","[39.49342576958804]","[39]","[210,210,210,30,300,120,120,120,300,120,300,210,210,210,300,120,30,300,120,210,120,30,30,30,210,120,30,300,30,30,300,210,210,300,210,210]","0","3","0","1000.0889999940409","995.4219999970228","1000","[[[""img/mask38.png""],[""img/mask98.png""],[""img/mask29.png""]]]","","[12,9,33]","training","",""
"","","","","","image-keyboard-response","12","77386","0.0-8.0-0.2","5e402dcd7b260d000a7b69fe","640759fa512f630a2bdc333d","6408c17ccaaf0e0469ab9a4a","5638.30000000447","img/training3.png","arrowdown","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","13","84275","0.0-8.0-1.2-0.2","5e402dcd7b260d000a7b69fe","640759fa512f630a2bdc333d","6408c17ccaaf0e0469ab9a4a","[2862.7999999970198]","","","[19,21,1,8,14]","[115,219,273,172,193]","115","166","321.2828242762061","[321.2828242762061]","[155.2828242762061]","[155]","[300,210,30,120,30,30,210,210,30,30,210,210,30,30,30,120,210,120,120,300,210,30,210,30,30,300,30,210,30,210,120,120,210,120,210,210]","0","5","0","499.7349999940343","508.1829999970214","500","[[[""img/mask9.png""],[""img/mask44.png""],[""img/mask100.png""],[""img/mask99.png""],[""img/mask29.png""]]]","","[19,21,1,8,14]","training","",""
"","","","","","image-keyboard-response","14","87339","0.0-8.0-0.3","5e402dcd7b260d000a7b69fe","640759fa512f630a2bdc333d","6408c17ccaaf0e0469ab9a4a","3062.89999999851","img/training4.png","arrowdown","","","","","","","","","","","","","","","","","","","","",""
