"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","5695","0.0-0.0","5f2a12f5837dd81e5881b7cc","640759fa512f630a2bdc333d","6408c1857a97bd3946b9d586","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","26154","0.0-1.0","5f2a12f5837dd81e5881b7cc","640759fa512f630a2bdc333d","6408c1857a97bd3946b9d586","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","34875","0.0-2.0","5f2a12f5837dd81e5881b7cc","640759fa512f630a2bdc333d","6408c1857a97bd3946b9d586","8721","What a beautiful Wednesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","44881","0.0-3.0","5f2a12f5837dd81e5881b7cc","640759fa512f630a2bdc333d","6408c1857a97bd3946b9d586","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","85571","0.0-4.0","5f2a12f5837dd81e5881b7cc","640759fa512f630a2bdc333d","6408c1857a97bd3946b9d586","40690","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","95586","0.0-5.0","5f2a12f5837dd81e5881b7cc","640759fa512f630a2bdc333d","6408c1857a97bd3946b9d586","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","131228","0.0-6.0","5f2a12f5837dd81e5881b7cc","640759fa512f630a2bdc333d","6408c1857a97bd3946b9d586","35642","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","158213","0.0-7.0","5f2a12f5837dd81e5881b7cc","640759fa512f630a2bdc333d","6408c1857a97bd3946b9d586","26981","[""video/TaskInstructions3.mp4""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","170380","0.0-8.0-0.0","5f2a12f5837dd81e5881b7cc","640759fa512f630a2bdc333d","6408c1857a97bd3946b9d586","12168","img/training1.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","180121","0.0-8.0-1.0-0.0","5f2a12f5837dd81e5881b7cc","640759fa512f630a2bdc333d","6408c1857a97bd3946b9d586","[2770]","","","[15]","[241]","241","183","61.679575979854064","[61.679575979854064]","[238.67957597985406]","[237]","0","0","1","0","499.3999999999942","1001.4800000000105","1000","","","0","training","",""
