"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","1056","0.0-0.0","5f8bad1242efeb2f49156f51","640759fa512f630a2bdc333d","640785c94ef0b43ee793113d","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","271805","0.0-1.0","5f8bad1242efeb2f49156f51","640759fa512f630a2bdc333d","640785c94ef0b43ee793113d","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","276069","0.0-2.0","5f8bad1242efeb2f49156f51","640759fa512f630a2bdc333d","640785c94ef0b43ee793113d","4263.900000095367","What a beautiful Tuesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","286070","0.0-3.0","5f8bad1242efeb2f49156f51","640759fa512f630a2bdc333d","640785c94ef0b43ee793113d","5261.900000095367","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","286726","0.0-4.0","5f8bad1242efeb2f49156f51","640759fa512f630a2bdc333d","640785c94ef0b43ee793113d","655.0999999046326","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","296729","0.0-5.0","5f8bad1242efeb2f49156f51","640759fa512f630a2bdc333d","640785c94ef0b43ee793113d","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","299455","0.0-6.0","5f8bad1242efeb2f49156f51","640759fa512f630a2bdc333d","640785c94ef0b43ee793113d","2725.9000000953674","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","317617","0.0-7.0","5f8bad1242efeb2f49156f51","640759fa512f630a2bdc333d","640785c94ef0b43ee793113d","18160.5","[""video/TaskInstructions3.mp4""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","321600","0.0-8.0-0.0","5f8bad1242efeb2f49156f51","640759fa512f630a2bdc333d","640785c94ef0b43ee793113d","3981.800000190735","img/training1.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","330061","0.0-8.0-1.0-0.0","5f8bad1242efeb2f49156f51","640759fa512f630a2bdc333d","640785c94ef0b43ee793113d","[2554.5]","","","[4]","[216]","216","12","205.81655119242697","[205.81655119242697]","[193.81655119242697]","[193]","0","0","1","0","499.80099999997765","994.0480000953539","1000","","","0","training","",""
"","","","","","image-keyboard-response","10","335097","0.0-8.0-0.1","5f8bad1242efeb2f49156f51","640759fa512f630a2bdc333d","640785c94ef0b43ee793113d","5034.899999856949","img/training2.png"," ","","","","","","","","","","","","","","","","","","","","",""
