"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","3028","0.0-0.0","6000cefee380e61fa9bc5ae4","640759fa512f630a2bdc333d","6408c1831b890a3c84ea3005","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","1194748","0.0-1.0","6000cefee380e61fa9bc5ae4","640759fa512f630a2bdc333d","6408c1831b890a3c84ea3005","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","1200347","0.0-2.0","6000cefee380e61fa9bc5ae4","640759fa512f630a2bdc333d","6408c1831b890a3c84ea3005","5598","What a beautiful Wednesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","1210356","0.0-3.0","6000cefee380e61fa9bc5ae4","640759fa512f630a2bdc333d","6408c1831b890a3c84ea3005","9342","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","1210466","0.0-4.0","6000cefee380e61fa9bc5ae4","640759fa512f630a2bdc333d","6408c1831b890a3c84ea3005","110","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","v","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","1220472","0.0-5.0","6000cefee380e61fa9bc5ae4","640759fa512f630a2bdc333d","6408c1831b890a3c84ea3005","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","1235066","0.0-6.0","6000cefee380e61fa9bc5ae4","640759fa512f630a2bdc333d","6408c1831b890a3c84ea3005","14594","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","f","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","1248203","0.0-7.0","6000cefee380e61fa9bc5ae4","640759fa512f630a2bdc333d","6408c1831b890a3c84ea3005","13136","[""video/TaskInstructions3.mp4""]","v","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","1254082","0.0-8.0-0.0","6000cefee380e61fa9bc5ae4","640759fa512f630a2bdc333d","6408c1831b890a3c84ea3005","5874","img/training1.png","v","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","1262104","0.0-8.0-1.0-0.0","6000cefee380e61fa9bc5ae4","640759fa512f630a2bdc333d","6408c1831b890a3c84ea3005","[1981]","","","[0]","[169]","169","332","153.32116442322337","[153.32116442322337]","[181.32116442322337]","[180]","0","0","1","0","500","994","1000","","","0","training","",""
"","","","","","image-keyboard-response","10","1267834","0.0-8.0-0.1","6000cefee380e61fa9bc5ae4","640759fa512f630a2bdc333d","6408c1831b890a3c84ea3005","5729","img/training2.png","v","","","","","","","","","","","","","","","","","","","","",""
"","","","","","many-guess-6","11","1359482","0.0-8.0-1.1-0.1","6000cefee380e61fa9bc5ae4","640759fa512f630a2bdc333d","6408c1831b890a3c84ea3005","[87189]","","","[14,19,20]","[41,188,110]","41","276","302.99568428062236","[302.99568428062236]","[26.995684280622356]","[27]","[120,210,300,30,210,30,300,210,300,210,210,210,300,300,210,210,30,300,120,300,120,300,30,120,210,210,120,120,210,300,30,120,30,120,300,300]","0","3","0","1000","994","1000","[[[""img/mask99.png""],[""img/mask47.png""],[""img/mask51.png""]]]","","[14,19,20]","training","",""
"","","","","","image-keyboard-response","12","1364130","0.0-8.0-0.2","6000cefee380e61fa9bc5ae4","640759fa512f630a2bdc333d","6408c1831b890a3c84ea3005","4647","img/training3.png","g","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","13","1369568","0.0-8.0-1.2-0.2","6000cefee380e61fa9bc5ae4","640759fa512f630a2bdc333d","6408c1831b890a3c84ea3005","[2040]","","","[35,34,3,10,28]","[85,21,72,7,155]","85","242","55.79378490994168","[55.79378490994168]","[173.79378490994168]","[172]","[210,300,300,120,210,300,30,210,300,30,300,210,210,300,120,30,120,300,300,120,30,120,300,30,210,300,30,120,210,30,300,300,210,300,30,30]","0","5","0","500","506","500","[[[""img/mask3.png""],[""img/mask99.png""],[""img/mask87.png""],[""img/mask51.png""],[""img/mask60.png""]]]","","[35,34,3,10,28]","training","",""
"","","","","","image-keyboard-response","14","1373826","0.0-8.0-0.3","6000cefee380e61fa9bc5ae4","640759fa512f630a2bdc333d","6408c1831b890a3c84ea3005","4258","img/training4.png","f","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","15","1439885","0.0-8.0-1.3-0.3","6000cefee380e61fa9bc5ae4","640759fa512f630a2bdc333d","6408c1831b890a3c84ea3005","[63637]","","","[18,16,8,11,5,27,35,28,29,30]","[305,215,330,198,146,262,227,186,167,284]","305","8","34.48697619311895","[34.48697619311895]","[26.48697619311895]","[25]","[120,30,300,120,120,120,30,300,300,120,30,300,300,120,120,210,210,30,120,210,210,210,120,120,30,30,30,210,300,120,30,30,120,210,210,30]","0","10","0","133","136","132","[[[""img/mask99.png""],[""img/mask31.png""],[""img/mask45.png""],[""img/mask13.png""],[""img/mask39.png""],[""img/mask84.png""],[""img/mask68.png""],[""img/mask59.png""],[""img/mask90.png""],[""img/mask64.png""]]]","","[18,16,8,11,5,27,35,28,29,30]","training","",""
"","","","","","image-keyboard-response","16","1442523","0.0-8.0-0.4","6000cefee380e61fa9bc5ae4","640759fa512f630a2bdc333d","6408c1831b890a3c84ea3005","2638","img/training5.png","f","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","17","1447068","0.0-8.0-1.4-0.4","6000cefee380e61fa9bc5ae4","640759fa512f630a2bdc333d","6408c1831b890a3c84ea3005","[2294]","","","[5,31,21,19,13,29,17,8,34,3,14,18,25,11,10,32,27,28,33,23,15,0,35,16,6,2,22,9,12,30,24,20,4,1,7,26]","[207,167,107,326,137,77,307,187,17,237,277,127,297,227,27,346,267,257,247,97,57,157,287,217,7,37,177,197,117,336,147,356,87,316,47,67]","207","300","130.11839173650995","[130.11839173650995]","[190.11839173650995]","[188]","[30,120,300,210,30,30,120,300,210,30,120,300,300,300,300,300,300,300,30,300,300,30,120,30,30,300,300,30,120,120,120,210,300,120,120,210]","0","36","0","134","20","16","[[[""img/mask59.png""],[""img/mask9.png""],[""img/mask2.png""],[""img/mask30.png""],[""img/mask41.png""],[""img/mask1.png""],[""img/mask72.png""],[""img/mask86.png""],[""img/mask62.png""],[""img/mask29.png""],[""img/mask92.png""],[""img/mask29.png""],[""img/mask17.png""],[""img/mask30.png""],[""img/mask53.png""],[""img/mask21.png""],[""img/mask74.png""],[""img/mask91.png""],[""img/mask13.png""],[""img/mask52.png""],[""img/mask19.png""],[""img/mask31.png""],[""img/mask100.png""],[""img/mask37.png""],[""img/mask33.png""],[""img/mask56.png""],[""img/mask95.png""],[""img/mask18.png""],[""img/mask15.png""],[""img/mask22.png""],[""img/mask72.png""],[""img/mask32.png""],[""img/mask43.png""],[""img/mask21.png""],[""img/mask28.png""],[""img/mask84.png""]]]","","[5,31,21,19,13,29,17,8,34,3,14,18,25,11,10,32,27,28,33,23,15,0,35,16,6,2,22,9,12,30,24,20,4,1,7,26]","training","",""
"","","","","","image-keyboard-response","18","1449051","0.0-9.0","6000cefee380e61fa9bc5ae4","640759fa512f630a2bdc333d","6408c1831b890a3c84ea3005","1981","[""img/endTraining.png""]","f","","","","","","","","","","","","","","","","","","","","",""
"","","","","","many-guess-6","19","1453408","0.0-10.0-0.0-0.0","6000cefee380e61fa9bc5ae4","640759fa512f630a2bdc333d","6408c1831b890a3c84ea3005","[2616]","","","[4,26,23,33,11,24,34,18,0,2,20,19,31,6,22,1,28,21,29,12,13,3,5,17,10,27,7,14,9,15,25,16,32,30,35,8]","[218,278,258,268,198,178,308,118,188,78,208,168,128,58,338,158,38,108,298,328,98,148,19,9,228,138,248,358,68,88,318,238,28,288,48,348]","218","120","308.899261218535","[308.899261218535]","[188.899261218535]","[189]","[300,120,30,210,120,210,120,30,120]","0","36","0","150","22","16","[[[""img/mask65.png""],[""img/mask96.png""],[""img/mask76.png""],[""img/mask40.png""],[""img/mask30.png""],[""img/mask77.png""],[""img/mask31.png""],[""img/mask84.png""],[""img/mask48.png""],[""img/mask29.png""],[""img/mask2.png""],[""img/mask72.png""],[""img/mask91.png""],[""img/mask62.png""],[""img/mask26.png""],[""img/mask36.png""],[""img/mask54.png""],[""img/mask29.png""],[""img/mask10.png""],[""img/mask75.png""],[""img/mask37.png""],[""img/mask18.png""],[""img/mask40.png""],[""img/mask3.png""],[""img/mask41.png""],[""img/mask56.png""],[""img/mask25.png""],[""img/mask99.png""],[""img/mask26.png""],[""img/mask1.png""],[""img/mask23.png""],[""img/mask11.png""],[""img/mask73.png""],[""img/mask56.png""],[""img/mask88.png""],[""img/mask84.png""]]]","","[4,26,23,33,11,24,34,18,0,2,20,19,31,6,22,1,28,21,29,12,13,3,5,17,10,27,7,14,9,15,25,16,32,30,35,8]","main","120","many-guess-6"
"","","","","","html-keyboard-response","20","1453910","0.0-10.0-1.0","6000cefee380e61fa9bc5ae4","640759fa512f630a2bdc333d","6408c1831b890a3c84ea3005","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","many-guess-6","21","1457991","0.0-10.0-0.1-0.1","6000cefee380e61fa9bc5ae4","640759fa512f630a2bdc333d","6408c1831b890a3c84ea3005","[2397]","","","[16,13,25,23,18,24,27,2,21,11,31,30,4,26,32,29,12,20,34,3,5,14,7,17,33,15,9,1,8,6,10,28,0,19,22,35]","[210,30,300,100,180,340,230,320,250,140,280,130,40,310,359,50,170,349,80,120,160,270,70,200,110,10,90,220,150,60,190,20,260,240,290,330]","210","107","168.1367669518017","[168.1367669518017]","[61.13676695180169]","[60]","[210,210,120,30,210,210,120,30,30]","0","36","0","149","8","16","[[[""img/mask32.png""],[""img/mask26.png""],[""img/mask82.png""],[""img/mask80.png""],[""img/mask93.png""],[""img/mask91.png""],[""img/mask3.png""],[""img/mask15.png""],[""img/mask54.png""],[""img/mask53.png""],[""img/mask53.png""],[""img/mask17.png""],[""img/mask83.png""],[""img/mask54.png""],[""img/mask43.png""],[""img/mask96.png""],[""img/mask88.png""],[""img/mask12.png""],[""img/mask39.png""],[""img/mask30.png""],[""img/mask98.png""],[""img/mask13.png""],[""img/mask93.png""],[""img/mask41.png""],[""img/mask46.png""],[""img/mask28.png""],[""img/mask20.png""],[""img/mask96.png""],[""img/mask29.png""],[""img/mask79.png""],[""img/mask27.png""],[""img/mask24.png""],[""img/mask70.png""],[""img/mask64.png""],[""img/mask15.png""],[""img/mask13.png""]]]","","[16,13,25,23,18,24,27,2,21,11,31,30,4,26,32,29,12,20,34,3,5,14,7,17,33,15,9,1,8,6,10,28,0,19,22,35]","main","107","many-guess-6"
"","","","","","html-keyboard-response","22","1458491","0.0-10.0-1.1","6000cefee380e61fa9bc5ae4","640759fa512f630a2bdc333d","6408c1831b890a3c84ea3005","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","many-guess-6","23","1463792","0.0-10.0-0.2-0.2","6000cefee380e61fa9bc5ae4","640759fa512f630a2bdc333d","6408c1831b890a3c84ea3005","[3363]","","","[30,18,10,34,6,35,5,28,12,7,8,2,24,20,19,21,31,29,27,3,22,13,23,11,0,26,15,32,17,25,14,1,16,33,9,4]","[240,71,41,91,31,11,330,320,191,181,290,141,1,131,340,270,260,161,250,201,300,81,151,211,310,230,350,221,280,171,21,111,61,121,101,51]","240","185","31.402797524262205","[31.402797524262205]","[206.4027975242622]","[205]","[300,120,120,210,210,30,210,210,30]","0","36","0","150","9","16","[[[""img/mask63.png""],[""img/mask51.png""],[""img/mask14.png""],[""img/mask49.png""],[""img/mask69.png""],[""img/mask36.png""],[""img/mask84.png""],[""img/mask49.png""],[""img/mask24.png""],[""img/mask3.png""],[""img/mask66.png""],[""img/mask69.png""],[""img/mask10.png""],[""img/mask9.png""],[""img/mask36.png""],[""img/mask67.png""],[""img/mask44.png""],[""img/mask68.png""],[""img/mask98.png""],[""img/mask32.png""],[""img/mask17.png""],[""img/mask69.png""],[""img/mask68.png""],[""img/mask85.png""],[""img/mask71.png""],[""img/mask53.png""],[""img/mask51.png""],[""img/mask6.png""],[""img/mask56.png""],[""img/mask70.png""],[""img/mask10.png""],[""img/mask25.png""],[""img/mask36.png""],[""img/mask59.png""],[""img/mask68.png""],[""img/mask99.png""]]]","","[30,18,10,34,6,35,5,28,12,7,8,2,24,20,19,21,31,29,27,3,22,13,23,11,0,26,15,32,17,25,14,1,16,33,9,4]","main","185","many-guess-6"
"","","","","","html-keyboard-response","24","1464293","0.0-10.0-1.2","6000cefee380e61fa9bc5ae4","640759fa512f630a2bdc333d","6408c1831b890a3c84ea3005","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","many-guess-6","25","1467226","0.0-10.0-0.3-0.3","6000cefee380e61fa9bc5ae4","640759fa512f630a2bdc333d","6408c1831b890a3c84ea3005","[1695]","","","[26,21,1,3,4,29,17,27,22,8,12,34,10,6,33,9,7,2,18,13,24,15,0,23,28,31,19,14,11,35,5,25,20,32,16,30]","[100,200,220,190,359,309,150,130,120,60,110,170,249,140,210,279,230,299,349,30,329,10,160,70,289,50,269,239,40,90,20,259,80,180,339,319]","100","110","350.1067085996116","[350.1067085996116]","[240.10670859961158]","[239]","[300,300,30,300,300,120,30,30,210]","0","36","0","150","13","16","[[[""img/mask13.png""],[""img/mask6.png""],[""img/mask45.png""],[""img/mask13.png""],[""img/mask31.png""],[""img/mask13.png""],[""img/mask96.png""],[""img/mask14.png""],[""img/mask95.png""],[""img/mask47.png""],[""img/mask19.png""],[""img/mask59.png""],[""img/mask12.png""],[""img/mask65.png""],[""img/mask41.png""],[""img/mask99.png""],[""img/mask37.png""],[""img/mask19.png""],[""img/mask93.png""],[""img/mask20.png""],[""img/mask85.png""],[""img/mask39.png""],[""img/mask34.png""],[""img/mask39.png""],[""img/mask35.png""],[""img/mask46.png""],[""img/mask30.png""],[""img/mask31.png""],[""img/mask81.png""],[""img/mask76.png""],[""img/mask59.png""],[""img/mask21.png""],[""img/mask40.png""],[""img/mask16.png""],[""img/mask98.png""],[""img/mask97.png""]]]","","[26,21,1,3,4,29,17,27,22,8,12,34,10,6,33,9,7,2,18,13,24,15,0,23,28,31,19,14,11,35,5,25,20,32,16,30]","main","110","many-guess-6"
"","","","","","html-keyboard-response","26","1467727","0.0-10.0-1.3","6000cefee380e61fa9bc5ae4","640759fa512f630a2bdc333d","6408c1831b890a3c84ea3005","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
