"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","5687","0.0-0.0","60c119b30aa5205b493541b6","640759fa512f630a2bdc333d","6408c1721806d9b9e8039b00","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","9682","0.0-1.0","60c119b30aa5205b493541b6","640759fa512f630a2bdc333d","6408c1721806d9b9e8039b00","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","16681","0.0-2.0","60c119b30aa5205b493541b6","640759fa512f630a2bdc333d","6408c1721806d9b9e8039b00","6998","What a beautiful Wednesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","26683","0.0-3.0","60c119b30aa5205b493541b6","640759fa512f630a2bdc333d","6408c1721806d9b9e8039b00","9470.899999976158","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","27400","0.0-4.0","60c119b30aa5205b493541b6","640759fa512f630a2bdc333d","6408c1721806d9b9e8039b00","716.8000000119209","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","37415","0.0-5.0","60c119b30aa5205b493541b6","640759fa512f630a2bdc333d","6408c1721806d9b9e8039b00","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","47353","0.0-6.0","60c119b30aa5205b493541b6","640759fa512f630a2bdc333d","6408c1721806d9b9e8039b00","9937.299999952316","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","63523","0.0-7.0","60c119b30aa5205b493541b6","640759fa512f630a2bdc333d","6408c1721806d9b9e8039b00","16161.599999964237","[""video/TaskInstructions3.mp4""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","71696","0.0-8.0-0.0","60c119b30aa5205b493541b6","640759fa512f630a2bdc333d","6408c1721806d9b9e8039b00","8171.800000011921","img/training1.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","81295","0.0-8.0-1.0-0.0","60c119b30aa5205b493541b6","640759fa512f630a2bdc333d","6408c1721806d9b9e8039b00","[2357.399999976158]","","","[21]","[311]","311","297","247.2021761691047","[247.2021761691047]","[310.2021761691047]","[311]","0","0","1","0","498.5040000000008","996.0959999642364","1000","","","0","training","",""
