"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","11867","0.0-0.0","616cf9ae07c1c6bd05d95beb","640759fa512f630a2bdc333d","6408c17f2326cb64f0150108","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","20470","0.0-1.0","616cf9ae07c1c6bd05d95beb","640759fa512f630a2bdc333d","6408c17f2326cb64f0150108","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","31365","0.0-2.0","616cf9ae07c1c6bd05d95beb","640759fa512f630a2bdc333d","6408c17f2326cb64f0150108","10892.799999982119","What a beautiful Wednesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","41371","0.0-3.0","616cf9ae07c1c6bd05d95beb","640759fa512f630a2bdc333d","6408c17f2326cb64f0150108","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","52738","0.0-4.0","616cf9ae07c1c6bd05d95beb","640759fa512f630a2bdc333d","6408c17f2326cb64f0150108","11365.799999982119","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","62749","0.0-5.0","616cf9ae07c1c6bd05d95beb","640759fa512f630a2bdc333d","6408c17f2326cb64f0150108","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","83334","0.0-6.0","616cf9ae07c1c6bd05d95beb","640759fa512f630a2bdc333d","6408c17f2326cb64f0150108","20583.70000001788","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","104514","0.0-7.0","616cf9ae07c1c6bd05d95beb","640759fa512f630a2bdc333d","6408c17f2326cb64f0150108","21160.59999999404","[""video/TaskInstructions3.mp4""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","144849","0.0-8.0-0.0","616cf9ae07c1c6bd05d95beb","640759fa512f630a2bdc333d","6408c17f2326cb64f0150108","40332.29999998212","img/training1.png","n","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","177527","0.0-8.0-1.0-0.0","616cf9ae07c1c6bd05d95beb","640759fa512f630a2bdc333d","6408c17f2326cb64f0150108","[22524.80000001192]","","","[7]","[356]","356","183","159.12789587707383","[159.12789587707383]","[336.1278958770738]","[335]","0","0","1","0","499.10800000000745","999.7669999880891","1000","","","0","training","",""
"","","","","","image-keyboard-response","10","191712","0.0-8.0-0.1","616cf9ae07c1c6bd05d95beb","640759fa512f630a2bdc333d","6408c17f2326cb64f0150108","14183.199999988079","img/training2.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","many-guess-6","11","203115","0.0-8.0-1.1-0.1","616cf9ae07c1c6bd05d95beb","640759fa512f630a2bdc333d","6408c17f2326cb64f0150108","[5667]","","","[31,35,8]","[19,292,36]","19","221","237.9337847082182","[237.9337847082182]","[16.933784708218212]","[19]","[120,30,210,300,300,120,300,30,300,30,30,300,210,300,300,210,300,30,210,210,300,210,300,210,30,120,210,30,120,30,300,210,30,210,300,300]","0","3","0","1000.2479999761563","995.9770000000135","1000","[[[""img/mask22.png""],[""img/mask30.png""],[""img/mask77.png""]]]","","[31,35,8]","training","",""
"","","","","","image-keyboard-response","12","210484","0.0-8.0-0.2","616cf9ae07c1c6bd05d95beb","640759fa512f630a2bdc333d","6408c17f2326cb64f0150108","7367.199999988079","img/training3.png"," ","","","","","","","","","","","","","","","","","","","","",""
