"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","2895","0.0-0.0","62b06c1508dfc74f4f38efab","640759fa512f630a2bdc333d","6408c18285634716bf6568b8","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","5683","0.0-1.0","62b06c1508dfc74f4f38efab","640759fa512f630a2bdc333d","6408c18285634716bf6568b8","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","13302","0.0-2.0","62b06c1508dfc74f4f38efab","640759fa512f630a2bdc333d","6408c18285634716bf6568b8","7616.400000035763","What a beautiful Wednesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>","enter","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","23304","0.0-3.0","62b06c1508dfc74f4f38efab","640759fa512f630a2bdc333d","6408c18285634716bf6568b8","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","23672","0.0-4.0","62b06c1508dfc74f4f38efab","640759fa512f630a2bdc333d","6408c18285634716bf6568b8","365.5999999642372","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","enter","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","33674","0.0-5.0","62b06c1508dfc74f4f38efab","640759fa512f630a2bdc333d","6408c18285634716bf6568b8","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","43468","0.0-6.0","62b06c1508dfc74f4f38efab","640759fa512f630a2bdc333d","6408c18285634716bf6568b8","9792.100000023842","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","enter","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","72949","0.0-7.0","62b06c1508dfc74f4f38efab","640759fa512f630a2bdc333d","6408c18285634716bf6568b8","29474.30000001192","[""video/TaskInstructions3.mp4""]","enter","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","80108","0.0-8.0-0.0","62b06c1508dfc74f4f38efab","640759fa512f630a2bdc333d","6408c18285634716bf6568b8","7156.899999976158","img/training1.png","enter","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","91682","0.0-8.0-1.0-0.0","62b06c1508dfc74f4f38efab","640759fa512f630a2bdc333d","6408c18285634716bf6568b8","[5200]","","","[22]","[43]","43","10","62.43476314659747","[62.43476314659747]","[52.43476314659747]","[51]","0","0","1","0","498.02599998808","995.8370000238356","1000","","","0","training","",""
"","","","","","image-keyboard-response","10","105398","0.0-8.0-0.1","62b06c1508dfc74f4f38efab","640759fa512f630a2bdc333d","6408c18285634716bf6568b8","13712.799999952316","img/training2.png","enter","","","","","","","","","","","","","","","","","","","","",""
"","","","","","many-guess-6","11","115323","0.0-8.0-1.1-0.1","62b06c1508dfc74f4f38efab","640759fa512f630a2bdc333d","6408c18285634716bf6568b8","[4883.699999988079]","","","[2,28,34]","[321,230,128]","321","43","117.19664319319759","[117.19664319319759]","[74.19664319319759]","[72]","[210,300,210,300,30,300,210,30,210,30,300,210,300,120,210,210,300,30,210,210,300,300,120,210,30,30,30,30,120,120,210,300,120,210,30,120]","0","3","0","996.7760000238486","1008.1640000119223","1000","[[[""img/mask26.png""],[""img/mask70.png""],[""img/mask46.png""]]]","","[2,28,34]","training","",""
"","","","","","image-keyboard-response","12","122957","0.0-8.0-0.2","62b06c1508dfc74f4f38efab","640759fa512f630a2bdc333d","6408c18285634716bf6568b8","7631.5","img/training3.png","enter","","","","","","","","","","","","","","","","","","","","",""
