"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","19","0.0-0.0","63bc6b49a80cc5496df4c897","640759fa512f630a2bdc333d","6408c1830f12c18c00e9e8f1","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","3824","0.0-1.0","63bc6b49a80cc5496df4c897","640759fa512f630a2bdc333d","6408c1830f12c18c00e9e8f1","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","6160","0.0-2.0","63bc6b49a80cc5496df4c897","640759fa512f630a2bdc333d","6408c1830f12c18c00e9e8f1","2334","What a beautiful Wednesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","16162","0.0-3.0","63bc6b49a80cc5496df4c897","640759fa512f630a2bdc333d","6408c1830f12c18c00e9e8f1","2030","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","20552","0.0-4.0","63bc6b49a80cc5496df4c897","640759fa512f630a2bdc333d","6408c1830f12c18c00e9e8f1","4388","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","30554","0.0-5.0","63bc6b49a80cc5496df4c897","640759fa512f630a2bdc333d","6408c1830f12c18c00e9e8f1","932","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","31423","0.0-6.0","63bc6b49a80cc5496df4c897","640759fa512f630a2bdc333d","6408c1830f12c18c00e9e8f1","869","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","enter","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","39527","0.0-7.0","63bc6b49a80cc5496df4c897","640759fa512f630a2bdc333d","6408c1830f12c18c00e9e8f1","8095","[""video/TaskInstructions3.mp4""]","enter","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","41072","0.0-8.0-0.0","63bc6b49a80cc5496df4c897","640759fa512f630a2bdc333d","6408c1830f12c18c00e9e8f1","1541","img/training1.png","enter","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","46293","0.0-8.0-1.0-0.0","63bc6b49a80cc5496df4c897","640759fa512f630a2bdc333d","6408c1830f12c18c00e9e8f1","[311]","","","[13]","[316]","316","321","268.7338829859595","[268.7338829859595]","[307.7338829859595]","[308]","0","0","1","0","498.59999999999854","998.9400000000023","1000","","","0","training","",""
"","","","","","image-keyboard-response","10","49464","0.0-8.0-0.1","63bc6b49a80cc5496df4c897","640759fa512f630a2bdc333d","6408c1830f12c18c00e9e8f1","3169","img/training2.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","many-guess-6","11","57394","0.0-8.0-1.1-0.1","63bc6b49a80cc5496df4c897","640759fa512f630a2bdc333d","6408c1830f12c18c00e9e8f1","[1593]","","","[23,0,6]","[309,232,276]","309","106","10.709589281770395","[10.709589281770395]","[264.7095892817704]","[264]","[120,300,30,30,120,30,120,300,30,210,120,300,210,120,300,210,120,30,210,210,210,30,30,210,120,210,300,300,120,30,30,120,300,120,120,300]","0","3","0","1001.7200000000012","1001.0599999999977","1000","[[[""img/mask98.png""],[""img/mask4.png""],[""img/mask6.png""]]]","","[23,0,6]","training","",""
"","","","","","image-keyboard-response","12","62199","0.0-8.0-0.2","63bc6b49a80cc5496df4c897","640759fa512f630a2bdc333d","6408c1830f12c18c00e9e8f1","4805","img/training3.png"," ","","","","","","","","","","","","","","","","","","","","",""
