numericalAnswer.keys,subName
334,s1_5589c7cefdf99b18bd86cf31
187,s1_5589c7cefdf99b18bd86cf31
177,s1_5589c7cefdf99b18bd86cf31
221,s1_5589c7cefdf99b18bd86cf31
221,s1_5589c7cefdf99b18bd86cf31
152,s1_5589c7cefdf99b18bd86cf31
190,s1_5589c7cefdf99b18bd86cf31
318,s1_5589c7cefdf99b18bd86cf31
228,s1_5589c7cefdf99b18bd86cf31
16,s1_5589c7cefdf99b18bd86cf31
309,s1_5589c7cefdf99b18bd86cf31
0,s1_5589c7cefdf99b18bd86cf31
72,s1_5589c7cefdf99b18bd86cf31
164,s1_5589c7cefdf99b18bd86cf31
239,s1_5589c7cefdf99b18bd86cf31
331,s1_5589c7cefdf99b18bd86cf31
38,s1_5589c7cefdf99b18bd86cf31
166,s1_5589c7cefdf99b18bd86cf31
351,s1_5589c7cefdf99b18bd86cf31
26,s1_5589c7cefdf99b18bd86cf31
206,s1_5589c7cefdf99b18bd86cf31
340,s1_5589c7cefdf99b18bd86cf31
350,s1_5589c7cefdf99b18bd86cf31
289,s1_5589c7cefdf99b18bd86cf31
353,s1_5589c7cefdf99b18bd86cf31
174,s1_5589c7cefdf99b18bd86cf31
214,s1_5589c7cefdf99b18bd86cf31
181,s1_5589c7cefdf99b18bd86cf31
166,s1_5589c7cefdf99b18bd86cf31
297,s1_5589c7cefdf99b18bd86cf31
304,s1_5589c7cefdf99b18bd86cf31
75,s1_5589c7cefdf99b18bd86cf31
126,s1_5589c7cefdf99b18bd86cf31
262,s1_5589c7cefdf99b18bd86cf31
288,s1_5589c7cefdf99b18bd86cf31
215,s2_56f59251736c79000c2241f7
239,s2_56f59251736c79000c2241f7
230,s2_56f59251736c79000c2241f7
196,s2_56f59251736c79000c2241f7
6,s2_56f59251736c79000c2241f7
289,s2_56f59251736c79000c2241f7
162,s2_56f59251736c79000c2241f7
350,s2_56f59251736c79000c2241f7
218,s2_56f59251736c79000c2241f7
354,s2_56f59251736c79000c2241f7
228,s2_56f59251736c79000c2241f7
38,s2_56f59251736c79000c2241f7
341,s2_56f59251736c79000c2241f7
332,s2_56f59251736c79000c2241f7
232,s2_56f59251736c79000c2241f7
266,s2_56f59251736c79000c2241f7
346,s2_56f59251736c79000c2241f7
54,s2_56f59251736c79000c2241f7
130,s2_56f59251736c79000c2241f7
160,s2_56f59251736c79000c2241f7
322,s2_56f59251736c79000c2241f7
326,s2_56f59251736c79000c2241f7
232,s2_56f59251736c79000c2241f7
5,s2_56f59251736c79000c2241f7
137,s2_56f59251736c79000c2241f7
164,s2_56f59251736c79000c2241f7
306,s2_56f59251736c79000c2241f7
110,s2_56f59251736c79000c2241f7
222,s2_56f59251736c79000c2241f7
72,s2_56f59251736c79000c2241f7
202,s2_56f59251736c79000c2241f7
123,s2_56f59251736c79000c2241f7
151,s2_56f59251736c79000c2241f7
8,s2_56f59251736c79000c2241f7
148,s2_56f59251736c79000c2241f7
90,s3_580d5d1f357e890001dd14ce
73,s3_580d5d1f357e890001dd14ce
224,s3_580d5d1f357e890001dd14ce
160,s3_580d5d1f357e890001dd14ce
357,s3_580d5d1f357e890001dd14ce
262,s3_580d5d1f357e890001dd14ce
207,s3_580d5d1f357e890001dd14ce
282,s3_580d5d1f357e890001dd14ce
127,s3_580d5d1f357e890001dd14ce
88,s3_580d5d1f357e890001dd14ce
47,s3_580d5d1f357e890001dd14ce
122,s3_580d5d1f357e890001dd14ce
89,s3_580d5d1f357e890001dd14ce
82,s3_580d5d1f357e890001dd14ce
240,s3_580d5d1f357e890001dd14ce
155,s3_580d5d1f357e890001dd14ce
292,s3_580d5d1f357e890001dd14ce
30,s3_580d5d1f357e890001dd14ce
112,s3_580d5d1f357e890001dd14ce
140,s3_580d5d1f357e890001dd14ce
208,s3_580d5d1f357e890001dd14ce
304,s3_580d5d1f357e890001dd14ce
337,s3_580d5d1f357e890001dd14ce
93,s3_580d5d1f357e890001dd14ce
225,s3_580d5d1f357e890001dd14ce
111,s3_580d5d1f357e890001dd14ce
182,s3_580d5d1f357e890001dd14ce
317,s3_580d5d1f357e890001dd14ce
271,s3_580d5d1f357e890001dd14ce
57,s3_580d5d1f357e890001dd14ce
239,s3_580d5d1f357e890001dd14ce
143,s3_580d5d1f357e890001dd14ce
320,s3_580d5d1f357e890001dd14ce
209,s3_580d5d1f357e890001dd14ce
323,s3_580d5d1f357e890001dd14ce
182,s4_58ae2c4ed6a2220001179f7c
21,s4_58ae2c4ed6a2220001179f7c
344,s4_58ae2c4ed6a2220001179f7c
224,s4_58ae2c4ed6a2220001179f7c
338,s4_58ae2c4ed6a2220001179f7c
249,s4_58ae2c4ed6a2220001179f7c
156,s4_58ae2c4ed6a2220001179f7c
106,s4_58ae2c4ed6a2220001179f7c
303,s4_58ae2c4ed6a2220001179f7c
176,s4_58ae2c4ed6a2220001179f7c
343,s4_58ae2c4ed6a2220001179f7c
130,s4_58ae2c4ed6a2220001179f7c
139,s4_58ae2c4ed6a2220001179f7c
175,s4_58ae2c4ed6a2220001179f7c
137,s4_58ae2c4ed6a2220001179f7c
318,s4_58ae2c4ed6a2220001179f7c
354,s4_58ae2c4ed6a2220001179f7c
196,s4_58ae2c4ed6a2220001179f7c
278,s4_58ae2c4ed6a2220001179f7c
142,s4_58ae2c4ed6a2220001179f7c
235,s4_58ae2c4ed6a2220001179f7c
173,s4_58ae2c4ed6a2220001179f7c
243,s4_58ae2c4ed6a2220001179f7c
163,s4_58ae2c4ed6a2220001179f7c
44,s4_58ae2c4ed6a2220001179f7c
274,s4_58ae2c4ed6a2220001179f7c
333,s4_58ae2c4ed6a2220001179f7c
227,s4_58ae2c4ed6a2220001179f7c
164,s4_58ae2c4ed6a2220001179f7c
153,s4_58ae2c4ed6a2220001179f7c
187,s4_58ae2c4ed6a2220001179f7c
