q2ActualNumber,numericalAnswer.keys,P_int maxIter=500
17,5,0.994403755
12,7,0.99888111
5,7,0.999557595
5,6,0.999722873
8,8,0.999620671
16,22,0.998688458
12,11,0.999415508
12,10,0.999366076
8,6,0.999516038
21,15,0.998632408
18,18,0.999146914
18,20,0.99910488
12,18,0.998493464
16,17,0.999229999
7,18,0.165391967
7,19,0.03080075
15,20,0.998903858
8,13,0.998262484
19,18,0.999089793
5,9,0.997131729
16,18,0.999194026
7,17,0.513118939
12,15,0.999274233
12,16,0.999122894
19,28,0.997842866
12,12,0.999431114
8,8,0.999620671
5,9,0.997131729
13,15,0.999324193
3,8,0.121975569
21,20,0.998996045
5,15,7.09E-04
5,10,0.988426805
12,14,0.999366076
15,15,0.999288994
8,10,0.999516038
12,9,0.999274233
12,14,0.999366076
8,10,0.999516038
7,10,0.999320897
16,14,0.999194026
12,10,0.999366076
12,11,0.999415508
17,10,0.998440496
19,12,0.998472296
12,14,0.999366076
16,10,0.998688458
12,9,0.999274233
18,12,0.998684918
16,17,0.999229999
13,10,0.999241617
8,9,0.999596851
5,10,0.988426805
7,9,0.99954372
5,5,0.999762886
3,5,0.999195537
19,15,0.998929873
8,9,0.999596851
18,18,0.999146914
7,10,0.999320897
7,8,0.999640588
21,15,0.998632408
5,5,0.999762886
16,12,0.999032544
13,10,0.999241617
12,12,0.999431114
19,14,0.998820747
16,13,0.999130302
16,10,0.998688458
5,5,0.999762886
3,25,5.98E-88
18,11,0.998462542
8,5,0.999343799
8,6,0.999516038
12,10,0.999366076
19,10,0.997842866
12,11,0.999415508
7,9,0.99954372
7,12,0.997578191
12,7,0.99888111
12,12,0.999431114
12,10,0.999366076
12,8,0.999122894
8,8,0.999620671
5,7,0.999557595
15,18,0.99916908
5,7,0.999557595
8,7,0.999596851
17,12,0.998871396
18,13,0.998847794
14,20,0.998642716
5,9,0.997131729
8,8,0.999620671
19,18,0.999089793
8,9,0.999596851
18,23,0.998847794
12,16,0.999122894
10,9,0.99950704
16,18,0.999194026
12,14,0.999366076
15,12,0.99916908
12,16,0.999122894
12,8,0.999122894
8,9,0.999596851
13,12,0.999369361
21,16,0.998759001
12,17,0.99888111
