q2ActualNumber,numericalAnswer.keys
21,17
8,7
15,10
17,8
15,9
16,11
12,12
7,8
0,0
16,7
12,7
17,11
17,12
0,7
12,9
12,10
19,7
11,10
7,5
10,8
8,7
8,9
16,12
17,10
10,10
23,17
14,10
12,12
10,9
10,9
17,15
8,5
15,6
10,10
8,4
12,9
17,7
17,9
12,10
0,0
12,7
12,10
7,8
10,10
12,10
11,9
19,8
10,10
21,9
16,8
15,6
16,13
23,14
7,3
10,8
0,3
8,12
17,15
16,12
14,12
23,15
0,1
0,2
10,5
12,12
17,13
7,11
10,7
21,8
8,10
12,14
16,19
12,12
17,15
8,4
15,16
16,15
11,13
7,7
12,9
17,17
14,9
16,12
8,12
10,12
15,12
10,8
12,15
19,10
17,17
11,3
12,12
3,3
9,6
7,5
12,8
12,5
6,3
19,13
3,7
19,12
21,10
10,7
8,7
14,10
12,9
18,7
6,7
8,5
12,7
19,13
17,9
19,7
10,3
12,7
19,15
6,3
11,5
8,5
10,5
16,7
16,10
9,8
19,6
17,9
7,4
9,5
8,6
18,3
25,12
16,4
19,8
14,4
17,7
15,7
5,3
16,7
3,5
15,9
14,12
5,3
12,2
7,6
15,1
13,4
19,2
6,2
3,2
15,5
21,4
14,8
16,15
3,4
8,8
10,18
14,5
19,8
12,12
9,4
9,4
16,5
19,8
17,12
19,12
0,6
15,8
10,6
21,8
15,0
21,8
19,10
16,8
7,6
14,10
11,10
12,8
12,15
14,8
17,10
17,10
9,4
3,14
16,9
16,10
12,7
19,9
17,9
18,8
16,8
12,4
12,4
8,8
25,9
12,12
16,7
10,8
10,5
9,7
25,8
15,15
25,12
12,6
3,3
21,15
6,6
12,4
14,4
17,8
14,8
18,6
17,5
14,3
19,14
6,4
10,3
3,7
12,6
19,12
14,15
3,0
17,20
7,5
23,20
8,10
12,8
14,5
5,8
10,3
10,10
9,6
16,3
7,5
14,19
9,3
13,15
19,10
3,1
10,3
10,5
5,5
14,11
17,12
14,9
9,3
16,10
19,8
17,12
8,6
14,10
19,12
3,6
6,6
14,4
12,3
9,3
17,9
8,2
13,4
14,4
13,8
5,4
19,8
14,9
10,7
10,9
14,10
12,3
14,8
17,3
14,8
12,9
8,6
3,10
21,14
19,17
17,9
12,5
17,10
9,4
6,4
10,9
6,5
10,9
10,10
14,5
11,10
10,0
10,5
18,8
6,4
14,5
14,5
12,5
5,5
8,20
14,5
14,4
14,6
3,5
8,4
12,8
10,5
12,0
16,7
19,8
16,10
9,5
15,12
9,9
10,8
8,4
10,4
12,7
12,5
19,5
3,0
3,4
16,1
21,6
18,7
9,4
16,5
10,6
12,6
15,12
17,4
12,15
16,7
12,5
18,9
18,20
25,9
6,9
18,10
10,9
14,5
13,7
14,7
16,10
21,15
6,7
14,7
3,7
10,3
9,7
21,13
14,5
16,7
7,7
7,0
7,7
10,3
14,5
12,0
12,2
16,5
10,7
12,15
8,4
7,6
14,8
10,6
17,12
12,5
14,7
15,9
6,1
10,15
9,12
8,7
7,4
14,13
17,10
12,8
7,7
16,10
19,16
15,8
10,7
10,4
15,9
14,5
10,5
17,15
16,5
19,18
21,10
15,10
7,5
5,6
3,6
16,6
14,5
10,4
5,6
21,10
8,7
10,4
14,4
5,5
7,10
19,4
12,4
10,6
21,8
19,6
6,4
17,8
12,7
12,6
14,5
12,5
16,4
16,6
16,12
14,4
15,8
5,3
14,9
12,3
8,3
7,4
10,5
10,6
9,4
8,4
12,5
3,2
3,2
7,4
12,4
3,3
16,6
16,5
5,5
27,20
21,12
6,8
12,6
8,7
14,4
5,5
8,4
16,10
10,8
14,8
12,5
12,3
17,10
6,7
15,10
12,5
12,5
3,3
9,9
14,9
16,5
16,6
12,7
5,5
7,1
15,5
27,17
14,10
14,4
9,3
3,3
23,14
19,4
10,4
15,6
13,4
15,5
14,7
15,6
12,5
16,17
13,6
11,7
12,5
13,10
7,6
16,14
8,8
25,18
9,8
21,12
10,9
12,5
21,10
3,5
21,14
10,8
12,11
23,14
8,8
7,7
17,10
16,10
19,12
25,14
12,6
9,8
14,10
