trial_index,time_elapsed,subject_id,rt,response,position_of_items,colors_of_items,color_of_target,wheel_spin,response_angle,physical_response_angle,reported_color_angle,reported_color_discrete,which_test,set_size,wheel_num_options,actual_mask_duration,actual_stim_duration,CMDispTime,maskArray,maskRotation,item_positions,task,randomSpinAmount,subNo,targetLocation,targetLocationDeg,colorCorrected,distance,colorUnCorrected,distance1,distance2
20,213433,"558943fafdf99b5ccd435cb3",4952,"","[4,0,6,1,5]","[98,279,18,232,325]",98,251,351.15460897298,351.15460897298,100.15460897298,99,0,5,0,154.443999999989,0,0,"[[[""img/mask70.png""],[""img/mask44.png""],[""img/mask8.png""],[""img/mask74.png""],[""img/mask26.png""]]]","","[4,0,6,1,5]","color",251,1,4,270,351.15460897298,81.1546089729798,351.15460897298,81.1546089729798,81.1546089729798
48,315890,"558943fafdf99b5ccd435cb3",3147,"","[5,0,4]","[281,66,106]",281,336,282.355726209379,282.355726209379,306.355726209379,307,0,3,0,151.940000000002,0,0,"[[[""img/mask10.png""],[""img/mask2.png""],[""img/mask13.png""]]]","","[5,0,4]","color",336,1,5,225,282.355726209379,57.3557262093795,282.355726209379,57.3557262093795,57.3557262093795
54,340754,"558943fafdf99b5ccd435cb3",2879,"","[4,0,3,7,5]","[329,280,97,204,302]",329,300,309.793200779803,309.793200779803,9.79320077980282,10,0,5,0,156.267999999982,0,0,"[[[""img/mask95.png""],[""img/mask47.png""],[""img/mask18.png""],[""img/mask100.png""],[""img/mask86.png""]]]","","[4,0,3,7,5]","color",300,1,4,270,309.793200779803,39.7932007798028,309.793200779803,39.7932007798028,39.7932007798028
58,358325,"558943fafdf99b5ccd435cb3",2449,"","[1]","[161]",161,199,21.675115310383,21.675115310383,182.675115310383,180,0,1,0,156.54800000001,0,0,"[[[""img/mask5.png""]]]","","[1]","color",199,1,1,45,21.675115310383,23.324884689617,21.675115310383,23.324884689617,23.324884689617
76,406913,"558943fafdf99b5ccd435cb3",1625,"","[2,1,6,5,7]","[327,231,358,119,67]",327,109,334.867873308948,334.867873308948,225.867873308948,226,0,5,0,143.238000000012,0,0,"[[[""img/mask81.png""],[""img/mask87.png""],[""img/mask8.png""],[""img/mask50.png""],[""img/mask74.png""]]]","","[2,1,6,5,7]","color",109,1,2,0,-25.1321266910518,25.1321266910518,334.867873308948,25.1321266910518,334.867873308948
78,414193,"558943fafdf99b5ccd435cb3",3738,"","[3,4,2]","[114,42,227]",114,312,97.0092354057481,97.0092354057481,145.009235405748,141,0,3,0,151.697999999975,0,0,"[[[""img/mask78.png""],[""img/mask56.png""],[""img/mask42.png""]]]","","[3,4,2]","color",312,1,3,315,457.009235405748,142.009235405748,97.0092354057481,142.009235405748,217.990764594252
86,442131,"558943fafdf99b5ccd435cb3",3424,"","[0,3,6]","[49,252,22]",49,75,25.854872205553,25.854872205553,310.854872205553,308,0,3,0,143.568000000028,0,0,"[[[""img/mask35.png""],[""img/mask84.png""],[""img/mask20.png""]]]","","[0,3,6]","color",75,1,0,90,25.854872205553,64.145127794447,25.854872205553,64.145127794447,64.145127794447
88,447562,"558943fafdf99b5ccd435cb3",2473,"","[3,0,7,6,4]","[288,352,258,184,93]",288,171,322.885438800052,322.885438800052,151.885438800052,151,0,5,0,144.646000000008,0,0,"[[[""img/mask61.png""],[""img/mask56.png""],[""img/mask60.png""],[""img/mask96.png""],[""img/mask23.png""]]]","","[3,0,7,6,4]","color",171,1,3,315,322.885438800052,7.88543880005244,322.885438800052,7.88543880005244,7.88543880005244
100,486970,"558943fafdf99b5ccd435cb3",1617,"","[3,4,1]","[315,125,356]",315,233,NaN,NaN,NaN,219,0,3,0,150.70199999999,0,0,"[[[""img/mask71.png""],[""img/mask91.png""],[""img/mask98.png""]]]","","[3,4,1]","color",233,1,3,315,NaN,NaN,NaN,NaN,NaN
110,515658,"558943fafdf99b5ccd435cb3",1840,"","[3,2,5]","[260,12,337]",260,273,286.033279781005,286.033279781005,13.0332797810053,15,0,3,0,156.229999999981,0,0,"[[[""img/mask6.png""],[""img/mask83.png""],[""img/mask89.png""]]]","","[3,2,5]","color",273,1,3,315,286.033279781005,28.9667202189947,286.033279781005,28.9667202189947,28.9667202189947
