success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,rt,stimulus,response,position_of_items,colors_of_items,color_of_target,wheel_spin,response_angle,physical_response_angle,reported_color_angle,reported_color_discrete,which_test,set_size,wheel_num_options,actual_mask_duration,actual_stim_duration,CMDispTime,maskArray,maskRotation,item_positions,task,randomSpinAmount,subNo
"","","","","","continuous-colorCM7",498,1762851,"0.0-10.0-1.239-0.239","558943fafdf99b5ccd435cb3","62ffb23f2636bd43a6cd2f50","62ffbdeca750e67504589226",2199,"","","[4]","[169]",169,3,221.59302770301,221.59302770301,218.59302770301,219,0,1,0,144.688000000082,148.027999999933,150,"[[[""img/mask41.png""]]]","","[4]","color",3,1
"","","","","","survey-text",499,1774675,"0.0-11.0","558943fafdf99b5ccd435cb3","62ffb23f2636bd43a6cd2f50","62ffbdeca750e67504589226",11818,"","{""Q0"":""No""}","","",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"","","","",NaN,1
"","","","","","survey-text",500,1815692,"0.0-12.0","558943fafdf99b5ccd435cb3","62ffb23f2636bd43a6cd2f50","62ffbdeca750e67504589226",41004,"","{""Q0"":""50"",""Q1"":""Just what I thought my eyes perceived""}","","",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"","","","",NaN,1
"","","","","","html-button-response",501,1829587,"0.0-13.0","558943fafdf99b5ccd435cb3","62ffb23f2636bd43a6cd2f50","62ffbdeca750e67504589226",13892,"<p style=""font-size: 24px; "">When making guesses, people might guess some colors more than others. Which colors do you think people are most likely to guess?  </p> <p>  </p><p> </p> We are now going to show you the color wheel you used during the experiment. </p> <p>  </p><p> </p> Use the mouse to select 3 regions on the color wheel that you think people would be more likely to select when guessing. </p> <p>  </p><p> </p> It is fine to select nearby regions if needed.  </p>","0","","",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"","","","",NaN,1
"","","","","","color-report-last-question",502,1841766,"0.0-14.0","558943fafdf99b5ccd435cb3","62ffb23f2636bd43a6cd2f50","62ffbdeca750e67504589226",4875915411114,"","","[5]","[83]",83,90,13.8333664278129,128.533793964008,38.5337939640084,36197282,0,1,0,0,0,NaN,"","","","Q4colorReportOthers",NaN,1
"","","","","","html-button-response",503,1872515,"0.0-15.0","558943fafdf99b5ccd435cb3","62ffb23f2636bd43a6cd2f50","62ffbdeca750e67504589226",30746,"<p style=""font-size: 24px; "">This time, consider only your own experience, which may be the same or different from how others guess.  </p> <p>  </p><p> </p> Did you notice any patterns in the colors you chose when you were guessing? </p> <p>  </p><p> </p> Use the mouse to select 3 regions on the color wheel that you think you were more likely to select when guessing. </p> <p>  </p><p> </p> It is okay to select the same region, and it is okay if your answers are similar to the previous question. </p> <p>  </p><p> </p> <br> <br> <br>  </p>","0","","",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"","","","",NaN,1
"","","","","","color-report-last-question",504,1880094,"0.0-16.0","558943fafdf99b5ccd435cb3","62ffb23f2636bd43a6cd2f50","62ffbdeca750e67504589226",176741126528,"","","[5]","[153]",153,90,224.459889268173,148.348053389899,58.3480533898988,56238132,0,1,0,0,0,NaN,"","","","Q5colorReportSelf",NaN,1
"","","","","","continuous-colorCM7",498,1903293,"0.0-10.0-1.239-0.239","5bbeb9e16322c500015ae44c","62ffb23f2636bd43a6cd2f50","62ffc10a5201cf4c9e97e605",2070.60000000149,"","","[0,1,7]","[352,189,230]",352,245,96.9645724128837,96.9645724128837,211.964572412884,208,0,3,0,144.421999995597,0,0,"[[[""img/mask55.png""],[""img/mask77.png""],[""img/mask54.png""]]]","","[0,1,7]","color",245,2
"","","","","","survey-text",499,1916426,"0.0-11.0","5bbeb9e16322c500015ae44c","62ffb23f2636bd43a6cd2f50","62ffc10a5201cf4c9e97e605",13112.3999999985,"","{""Q0"":""I didn't notice anything strange.""}","","",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"","","","",NaN,2
"","","","","","survey-text",500,1946039,"0.0-12.0","5bbeb9e16322c500015ae44c","62ffb23f2636bd43a6cd2f50","62ffc10a5201cf4c9e97e605",29573.1000000015,"","{""Q0"":""50"",""Q1"":""I just went with my gut, or whatever my first instinct was.""}","","",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"","","","",NaN,2
"","","","","","html-button-response",501,1954671,"0.0-13.0","5bbeb9e16322c500015ae44c","62ffb23f2636bd43a6cd2f50","62ffc10a5201cf4c9e97e605",8618.79999999702,"<p style=""font-size: 24px; "">When making guesses, people might guess some colors more than others. Which colors do you think people are most likely to guess?  </p> <p>  </p><p> </p> We are now going to show you the color wheel you used during the experiment. </p> <p>  </p><p> </p> Use the mouse to select 3 regions on the color wheel that you think people would be more likely to select when guessing. </p> <p>  </p><p> </p> It is fine to select nearby regions if needed.  </p>","0","","",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"","","","",NaN,2
"","","","","","color-report-last-question",502,1965047,"0.0-14.0","5bbeb9e16322c500015ae44c","62ffb23f2636bd43a6cd2f50","62ffc10a5201cf4c9e97e605",2025.59999999404,"","","[5]","[145]",145,90,212.708651237133,313.547742025017,223.547742025017,22221121,0,1,0,0,0,NaN,"","","","Q4colorReportOthers",NaN,2
"","","","","","html-button-response",503,1970599,"0.0-15.0","5bbeb9e16322c500015ae44c","62ffb23f2636bd43a6cd2f50","62ffc10a5201cf4c9e97e605",5544.80000000447,"<p style=""font-size: 24px; "">This time, consider only your own experience, which may be the same or different from how others guess.  </p> <p>  </p><p> </p> Did you notice any patterns in the colors you chose when you were guessing? </p> <p>  </p><p> </p> Use the mouse to select 3 regions on the color wheel that you think you were more likely to select when guessing. </p> <p>  </p><p> </p> It is okay to select the same region, and it is okay if your answers are similar to the previous question. </p> <p>  </p><p> </p> <br> <br> <br>  </p>","0","","",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"","","","",NaN,2
"","","","","","color-report-last-question",504,1976829,"0.0-16.0","5bbeb9e16322c500015ae44c","62ffb23f2636bd43a6cd2f50","62ffc10a5201cf4c9e97e605",1384.80000000447,"","","[4]","[201]",201,90,297.992053044593,6.87793497895213,276.877934978952,276114207,0,1,0,0,0,NaN,"","","","Q5colorReportSelf",NaN,2
"","","","","","continuous-colorCM7",498,1336387,"0.0-10.0-1.239-0.239","5c7070519f9392000150023c","62ffb23f2636bd43a6cd2f50","62ffc15bc26a6c447857fc99",1534.20000004768,"","","[4,2,6,0,1]","[107,12,184,232,256]",107,229,266.628434307848,266.628434307848,37.6284343078479,38,0,5,0,148.44299995224,17.9390000237618,16,"[[[""img/mask65.png""],[""img/mask51.png""],[""img/mask21.png""],[""img/mask67.png""],[""img/mask75.png""]]]","","[4,2,6,0,1]","color",229,3
"","","","","","survey-text",499,1346461,"0.0-11.0","5c7070519f9392000150023c","62ffb23f2636bd43a6cd2f50","62ffc15bc26a6c447857fc99",10057.3000000715,"","{""Q0"":""No""}","","",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"","","","",NaN,3
"","","","","","survey-text",500,1404752,"0.0-12.0","5c7070519f9392000150023c","62ffb23f2636bd43a6cd2f50","62ffc15bc26a6c447857fc99",58284.2999999523,"","{""Q0"":""60"",""Q1"":""I chose the color closest to the solid black circle.""}","","",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"","","","",NaN,3
"","","","","","html-button-response",501,1417366,"0.0-13.0","5c7070519f9392000150023c","62ffb23f2636bd43a6cd2f50","62ffc15bc26a6c447857fc99",12613,"<p style=""font-size: 24px; "">When making guesses, people might guess some colors more than others. Which colors do you think people are most likely to guess?  </p> <p>  </p><p> </p> We are now going to show you the color wheel you used during the experiment. </p> <p>  </p><p> </p> Use the mouse to select 3 regions on the color wheel that you think people would be more likely to select when guessing. </p> <p>  </p><p> </p> It is fine to select nearby regions if needed.  </p>","0","","",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"","","","",NaN,3
"","","","","","color-report-last-question",502,1436162,"0.0-14.0","5c7070519f9392000150023c","62ffb23f2636bd43a6cd2f50","62ffc15bc26a6c447857fc99",919.300000071526,"","","[2]","[115]",115,90,16.9368950485913,98.8666760441444,8.8666760441443,7334285,0,1,0,0,0,NaN,"","","","Q4colorReportOthers",NaN,3
"","","","","","html-button-response",503,1446079,"0.0-15.0","5c7070519f9392000150023c","62ffb23f2636bd43a6cd2f50","62ffc15bc26a6c447857fc99",9916.40000009537,"<p style=""font-size: 24px; "">This time, consider only your own experience, which may be the same or different from how others guess.  </p> <p>  </p><p> </p> Did you notice any patterns in the colors you chose when you were guessing? </p> <p>  </p><p> </p> Use the mouse to select 3 regions on the color wheel that you think you were more likely to select when guessing. </p> <p>  </p><p> </p> It is okay to select the same region, and it is okay if your answers are similar to the previous question. </p> <p>  </p><p> </p> <br> <br> <br>  </p>","0","","",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"","","","",NaN,3
"","","","","","color-report-last-question",504,1455659,"0.0-16.0","5c7070519f9392000150023c","62ffb23f2636bd43a6cd2f50","62ffc15bc26a6c447857fc99",1829.10000002384,"","","[0]","[309]",309,90,140.281240628445,76.8367675103005,346.836767510301,345848,0,1,0,0,0,NaN,"","","","Q5colorReportSelf",NaN,3
"","","","","","continuous-colorCM7",498,2133512,"0.0-10.0-1.239-0.239","5cb41e6bcdcbe90001b2ace4","62ffb23f2636bd43a6cd2f50","62ffbcb7e587075d3ba584d9",1329.30000001192,"","","[5]","[25]",25,231,253.174252983682,253.174252983682,22.1742529836819,25,0,1,0,145.918000023812,86.8910000058822,83,"[[[""img/mask64.png""]]]","","[5]","color",231,4
"","","","","","survey-text",499,2178843,"0.0-11.0","5cb41e6bcdcbe90001b2ace4","62ffb23f2636bd43a6cd2f50","62ffbcb7e587075d3ba584d9",45324.2000000179,"","{""Q0"":""The color wheel was rotated for each trial, and oftentimes the color of the dot that is being asked about would be lined up in the color wheel by the dot itself""}","","",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"","","","",NaN,4
"","","","","","survey-text",500,2210194,"0.0-12.0","5cb41e6bcdcbe90001b2ace4","62ffb23f2636bd43a6cd2f50","62ffbcb7e587075d3ba584d9",31345.1999999881,"","{""Q0"":""40%"",""Q1"":""I usually chose a color I thought I saw in the masks that subsequently covered the dot""}","","",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"","","","",NaN,4
"","","","","","html-button-response",501,2219552,"0.0-13.0","5cb41e6bcdcbe90001b2ace4","62ffb23f2636bd43a6cd2f50","62ffbcb7e587075d3ba584d9",9354.29999998212,"<p style=""font-size: 24px; "">When making guesses, people might guess some colors more than others. Which colors do you think people are most likely to guess?  </p> <p>  </p><p> </p> We are now going to show you the color wheel you used during the experiment. </p> <p>  </p><p> </p> Use the mouse to select 3 regions on the color wheel that you think people would be more likely to select when guessing. </p> <p>  </p><p> </p> It is fine to select nearby regions if needed.  </p>","0","","",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"","","","",NaN,4
