"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","945","0.0-0.0","55b2d3f2fdf99b525bc839aa","640759fa512f630a2bdc333d","6407b70bf3b4f29a3b1567f2","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","26838","0.0-1.0","55b2d3f2fdf99b525bc839aa","640759fa512f630a2bdc333d","6407b70bf3b4f29a3b1567f2","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","26866","0.0-2.0","55b2d3f2fdf99b525bc839aa","640759fa512f630a2bdc333d","6407b70bf3b4f29a3b1567f2","28.100000001490116","What a beautiful Tuesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>","audiovolumedown","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","36868","0.0-3.0","55b2d3f2fdf99b525bc839aa","640759fa512f630a2bdc333d","6407b70bf3b4f29a3b1567f2","135.5","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","audiovolumedown","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","39367","0.0-4.0","55b2d3f2fdf99b525bc839aa","640759fa512f630a2bdc333d","6407b70bf3b4f29a3b1567f2","2498.800000000745","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","s","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","49371","0.0-5.0","55b2d3f2fdf99b525bc839aa","640759fa512f630a2bdc333d","6407b70bf3b4f29a3b1567f2","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","146895","0.0-6.0","55b2d3f2fdf99b525bc839aa","640759fa512f630a2bdc333d","6407b70bf3b4f29a3b1567f2","97523.5","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","f","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","164323","0.0-7.0","55b2d3f2fdf99b525bc839aa","640759fa512f630a2bdc333d","6407b70bf3b4f29a3b1567f2","17426.20000000298","[""video/TaskInstructions3.mp4""]","f","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","167686","0.0-8.0-0.0","55b2d3f2fdf99b525bc839aa","640759fa512f630a2bdc333d","6407b70bf3b4f29a3b1567f2","3362.39999999851","img/training1.png","f","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","179407","0.0-8.0-1.0-0.0","55b2d3f2fdf99b525bc839aa","640759fa512f630a2bdc333d","6407b70bf3b4f29a3b1567f2","[6608.199999999255]","","","[27]","[244]","244","34","273.32976030632784","[273.32976030632784]","[239.32976030632784]","[239]","0","0","1","0","500.2719999977562","998.1489999985206","1000","","","0","training","",""
