"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","1178","0.0-0.0","56f2a49ced0cf600069131cd","640759fa512f630a2bdc333d","64076b293f19d64703cfbaba","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","9097","0.0-1.0","56f2a49ced0cf600069131cd","640759fa512f630a2bdc333d","64076b293f19d64703cfbaba","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","22069","0.0-2.0","56f2a49ced0cf600069131cd","640759fa512f630a2bdc333d","64076b293f19d64703cfbaba","12969.299999952316","What a beautiful Tuesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","32072","0.0-3.0","56f2a49ced0cf600069131cd","640759fa512f630a2bdc333d","64076b293f19d64703cfbaba","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","53815","0.0-4.0","56f2a49ced0cf600069131cd","640759fa512f630a2bdc333d","64076b293f19d64703cfbaba","21740.5","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","enter","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","63825","0.0-5.0","56f2a49ced0cf600069131cd","640759fa512f630a2bdc333d","64076b293f19d64703cfbaba","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","81789","0.0-6.0","56f2a49ced0cf600069131cd","640759fa512f630a2bdc333d","64076b293f19d64703cfbaba","17962","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","93917","0.0-7.0","56f2a49ced0cf600069131cd","640759fa512f630a2bdc333d","64076b293f19d64703cfbaba","12120.300000071526","[""video/TaskInstructions3.mp4""]","enter","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","99135","0.0-8.0-0.0","56f2a49ced0cf600069131cd","640759fa512f630a2bdc333d","64076b293f19d64703cfbaba","5215.899999976158","img/training1.png","enter","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","111504","0.0-8.0-1.0-0.0","56f2a49ced0cf600069131cd","640759fa512f630a2bdc333d","64076b293f19d64703cfbaba","[2745.100000023842]","","","[7]","[26]","26","300","307.5396015640517","[307.5396015640517]","[7.539601564051679]","[8]","0","0","1","0","498.31699999999546","1003.974000023838","1000","","","0","training","",""
"","","","","","image-keyboard-response","10","121340","0.0-8.0-0.1","56f2a49ced0cf600069131cd","640759fa512f630a2bdc333d","64076b293f19d64703cfbaba","9833.900000095367","img/training2.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","many-guess-6","11","129381","0.0-8.0-1.1-0.1","56f2a49ced0cf600069131cd","640759fa512f630a2bdc333d","64076b293f19d64703cfbaba","[1988.3000000715256]","","","[6,8,7]","[268,227,339]","268","153","28.861574923012203","[28.861574923012203]","[235.8615749230122]","[235]","[30,120,120,300,120,120,120,210,30,30,30,300,210,210,300,120,30,30,210,120,300,300,120,300,120,210,30,30,120,300,30,210,300,30,30,210]","0","3","0","1000.3110000476881","993.3240000238438","1000","[[[""img/mask44.png""],[""img/mask15.png""],[""img/mask26.png""]]]","","[6,8,7]","training","",""
"","","","","","image-keyboard-response","12","141893","0.0-8.0-0.2","56f2a49ced0cf600069131cd","640759fa512f630a2bdc333d","64076b293f19d64703cfbaba","12509.899999976158","img/training3.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","13","147263","0.0-8.0-1.2-0.2","56f2a49ced0cf600069131cd","640759fa512f630a2bdc333d","64076b293f19d64703cfbaba","[1726.8000000715256]","","","[14,15,33,17,8]","[38,273,338,230,194]","38","327","211.95749189425317","[211.95749189425317]","[244.95749189425317]","[246]","[300,30,300,300,120,120,30,300,300,300,30,300,300,120,120,30,120,210,210,300,120,120,30,120,120,120,120,120,120,30,30,300,120,30,300,210]","0","5","0","498.23499999998603","491.61800004768884","500","[[[""img/mask97.png""],[""img/mask50.png""],[""img/mask88.png""],[""img/mask15.png""],[""img/mask91.png""]]]","","[14,15,33,17,8]","training","",""
"","","","","","image-keyboard-response","14","154051","0.0-8.0-0.3","56f2a49ced0cf600069131cd","640759fa512f630a2bdc333d","64076b293f19d64703cfbaba","6786.600000023842","img/training4.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","15","160400","0.0-8.0-1.3-0.3","56f2a49ced0cf600069131cd","640759fa512f630a2bdc333d","64076b293f19d64703cfbaba","[3267.100000023842]","","","[7,23,2,3,35,22,15,25,20,13]","[248,32,191,63,163,278,130,147,98,214]","248","232","118.53243446774799","[118.53243446774799]","[246.53243446774798]","[245]","[300,210,30,120,30,210,120,210,120,300,120,120,300,300,300,30,300,210,120,120,210,210,120,30,300,300,300,30,120,30,300,30,300,120,300,210]","0","10","0","125.61400002383743","122.82900009537116","132","[[[""img/mask59.png""],[""img/mask17.png""],[""img/mask19.png""],[""img/mask63.png""],[""img/mask85.png""],[""img/mask29.png""],[""img/mask42.png""],[""img/mask74.png""],[""img/mask47.png""],[""img/mask100.png""]]]","","[7,23,2,3,35,22,15,25,20,13]","training","",""
"","","","","","image-keyboard-response","16","182030","0.0-8.0-0.4","56f2a49ced0cf600069131cd","640759fa512f630a2bdc333d","64076b293f19d64703cfbaba","21628.399999976158","img/training5.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","17","187323","0.0-8.0-1.4-0.4","56f2a49ced0cf600069131cd","640759fa512f630a2bdc333d","64076b293f19d64703cfbaba","[1932.9000000953674]","","","[13,28,30,19,25,15,23,14,18,16,4,32,33,0,34,31,27,5,21,3,12,9,2,26,8,7,6,10,20,11,24,1,29,17,22,35]","[214,84,354,34,54,94,234,224,44,174,15,194,124,114,314,324,144,184,264,284,304,134,334,164,154,24,244,294,204,274,5,74,104,344,64,254]","214","41","45.360657579517635","[45.360657579517635]","[4.360657579517635]","[3]","[300,210,300,210,30,300,120,120,120,30,300,30,210,30,120,30,210,120,300,210,120,30,30,210,210,210,300,210,30,300,30,30,30,300,30,210]","0","36","0","126.7700000476907","5.133000071538845","16","[[[""img/mask82.png""],[""img/mask83.png""],[""img/mask23.png""],[""img/mask36.png""],[""img/mask31.png""],[""img/mask5.png""],[""img/mask11.png""],[""img/mask29.png""],[""img/mask15.png""],[""img/mask53.png""],[""img/mask19.png""],[""img/mask7.png""],[""img/mask33.png""],[""img/mask34.png""],[""img/mask3.png""],[""img/mask60.png""],[""img/mask63.png""],[""img/mask47.png""],[""img/mask59.png""],[""img/mask94.png""],[""img/mask32.png""],[""img/mask75.png""],[""img/mask71.png""],[""img/mask9.png""],[""img/mask25.png""],[""img/mask75.png""],[""img/mask97.png""],[""img/mask19.png""],[""img/mask98.png""],[""img/mask59.png""],[""img/mask30.png""],[""img/mask57.png""],[""img/mask28.png""],[""img/mask13.png""],[""img/mask53.png""],[""img/mask45.png""]]]","","[13,28,30,19,25,15,23,14,18,16,4,32,33,0,34,31,27,5,21,3,12,9,2,26,8,7,6,10,20,11,24,1,29,17,22,35]","training","",""
"","","","","","image-keyboard-response","18","189929","0.0-9.0","56f2a49ced0cf600069131cd","640759fa512f630a2bdc333d","64076b293f19d64703cfbaba","2604.600000023842","[""img/endTraining.png""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","190445","0.0-10.0-0.0","56f2a49ced0cf600069131cd","640759fa512f630a2bdc333d","64076b293f19d64703cfbaba","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","color-precision2","20","194162","0.0-10.0-1.0-0.0","56f2a49ced0cf600069131cd","640759fa512f630a2bdc333d","64076b293f19d64703cfbaba","[252.5]","","","[1]","[99]","99","177","280.72175062352323","[280.72175062352323]","[103.72175062352323]","[104]","0","0","1","0","150.3070000000007","993.244000000006","1000","[[[""img/mask3.png""]]]","","","main","177","color-precision2"
"","","","","","html-keyboard-response","21","194678","0.0-10.0-0.1","56f2a49ced0cf600069131cd","640759fa512f630a2bdc333d","64076b293f19d64703cfbaba","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","color-precision2","22","198090","0.0-10.0-1.1-0.1","56f2a49ced0cf600069131cd","640759fa512f630a2bdc333d","64076b293f19d64703cfbaba","[273.8000000715256]","","","[6]","[248]","248","310","195.3894230512118","[195.3894230512118]","[245.3894230512118]","[245]","0","0","1","0","152.80600002384745","990.1790000000037","1000","[[[""img/mask17.png""]]]","","","main","310","color-precision2"
"","","","","","html-keyboard-response","23","198602","0.0-10.0-0.2","56f2a49ced0cf600069131cd","640759fa512f630a2bdc333d","64076b293f19d64703cfbaba","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","color-precision2","24","202123","0.0-10.0-1.2-0.2","56f2a49ced0cf600069131cd","640759fa512f630a2bdc333d","64076b293f19d64703cfbaba","[347.7000000476837]","","","[35]","[41]","41","344","27.9475089993444","[27.9475089993444]","[43.94750899934439]","[42]","0","0","1","0","153.24000004769186","1004.984000071534","1000","[[[""img/mask23.png""]]]","","","main","344","color-precision2"
"","","","","","html-keyboard-response","25","202628","0.0-10.0-0.3","56f2a49ced0cf600069131cd","640759fa512f630a2bdc333d","64076b293f19d64703cfbaba","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","many-guess-6","26","207019","0.0-10.0-1.3-0.3","56f2a49ced0cf600069131cd","640759fa512f630a2bdc333d","64076b293f19d64703cfbaba","[2289.7999999523163]","","","[4,28,5,25,26,17,30,1,29,20,9,32,14,35,6,31,23,12,24,0,18,27,7,3,15,19,16,2,11,22,10,21,33,34,8,13]","[312,103,63,133,13,33,272,242,183,223,203,153,23,173,193,232,352,282,252,93,83,213,262,292,143,322,332,123,3,43,163,73,113,342,302,53]","312","284","294.7023494740432","[294.7023494740432]","[10.702349474043217]","[11]","[300,30,300,210,120,210,30,210,210]","0","36","0","150.51000009535346","14.411000095366035","16","[[[""img/mask76.png""],[""img/mask81.png""],[""img/mask34.png""],[""img/mask61.png""],[""img/mask75.png""],[""img/mask81.png""],[""img/mask19.png""],[""img/mask86.png""],[""img/mask81.png""],[""img/mask32.png""],[""img/mask3.png""],[""img/mask17.png""],[""img/mask39.png""],[""img/mask13.png""],[""img/mask20.png""],[""img/mask65.png""],[""img/mask78.png""],[""img/mask25.png""],[""img/mask24.png""],[""img/mask97.png""],[""img/mask42.png""],[""img/mask23.png""],[""img/mask8.png""],[""img/mask47.png""],[""img/mask95.png""],[""img/mask18.png""],[""img/mask20.png""],[""img/mask59.png""],[""img/mask44.png""],[""img/mask44.png""],[""img/mask3.png""],[""img/mask91.png""],[""img/mask88.png""],[""img/mask56.png""],[""img/mask70.png""],[""img/mask78.png""]]]","","[4,28,5,25,26,17,30,1,29,20,9,32,14,35,6,31,23,12,24,0,18,27,7,3,15,19,16,2,11,22,10,21,33,34,8,13]","main","284","many-guess-6"
"","","","","","html-keyboard-response","27","207524","0.0-10.0-0.4","56f2a49ced0cf600069131cd","640759fa512f630a2bdc333d","64076b293f19d64703cfbaba","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","many-guess-6","28","212220","0.0-10.0-1.4-0.4","56f2a49ced0cf600069131cd","640759fa512f630a2bdc333d","64076b293f19d64703cfbaba","[1828.8999999761581]","","","[10,7,12,13,18,31,19,5,23,32,3,4,16,14,21,27,1,9,2,34,33,11,15,28,30,22,25,17,0,29,8,20,24,26,35,6]","[131,181,300,290,51,250,61,310,41,171,350,121,240,91,11,260,200,340,191,141,1,270,21,111,31,71,280,101,81,220,210,330,151,320,230,161]","131","78","191.72246335123805","[191.72246335123805]","[113.72246335123805]","[113]","[30,210,300,300,210,30,210,210,120]","0","36","0","151.06400002384908","20.20000000001164","16","[[[""img/mask30.png""],[""img/mask23.png""],[""img/mask5.png""],[""img/mask26.png""],[""img/mask74.png""],[""img/mask61.png""],[""img/mask48.png""],[""img/mask72.png""],[""img/mask32.png""],[""img/mask17.png""],[""img/mask19.png""],[""img/mask71.png""],[""img/mask90.png""],[""img/mask20.png""],[""img/mask73.png""],[""img/mask80.png""],[""img/mask92.png""],[""img/mask16.png""],[""img/mask100.png""],[""img/mask1.png""],[""img/mask14.png""],[""img/mask38.png""],[""img/mask69.png""],[""img/mask38.png""],[""img/mask71.png""],[""img/mask7.png""],[""img/mask51.png""],[""img/mask94.png""],[""img/mask45.png""],[""img/mask39.png""],[""img/mask56.png""],[""img/mask32.png""],[""img/mask62.png""],[""img/mask22.png""],[""img/mask45.png""],[""img/mask100.png""]]]","","[10,7,12,13,18,31,19,5,23,32,3,4,16,14,21,27,1,9,2,34,33,11,15,28,30,22,25,17,0,29,8,20,24,26,35,6]","main","78","many-guess-6"
"","","","","","html-keyboard-response","29","212721","0.0-10.0-0.5","56f2a49ced0cf600069131cd","640759fa512f630a2bdc333d","64076b293f19d64703cfbaba","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
