"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","7274","0.0-0.0","570b7b5fb9b52b00102d96f9","640759fa512f630a2bdc333d","6408c17ef3abdad510a25269","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","136788","0.0-1.0","570b7b5fb9b52b00102d96f9","640759fa512f630a2bdc333d","6408c17ef3abdad510a25269","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","155719","0.0-2.0","570b7b5fb9b52b00102d96f9","640759fa512f630a2bdc333d","6408c17ef3abdad510a25269","18930","What a beautiful Wednesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","165729","0.0-3.0","570b7b5fb9b52b00102d96f9","640759fa512f630a2bdc333d","6408c17ef3abdad510a25269","4655","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","182209","0.0-4.0","570b7b5fb9b52b00102d96f9","640759fa512f630a2bdc333d","6408c17ef3abdad510a25269","16480","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","192221","0.0-5.0","570b7b5fb9b52b00102d96f9","640759fa512f630a2bdc333d","6408c17ef3abdad510a25269","8930","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","192748","0.0-6.0","570b7b5fb9b52b00102d96f9","640759fa512f630a2bdc333d","6408c17ef3abdad510a25269","527","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","200357","0.0-7.0","570b7b5fb9b52b00102d96f9","640759fa512f630a2bdc333d","6408c17ef3abdad510a25269","7600","[""video/TaskInstructions3.mp4""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","202976","0.0-8.0-0.0","570b7b5fb9b52b00102d96f9","640759fa512f630a2bdc333d","6408c17ef3abdad510a25269","2618","img/training1.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","214738","0.0-8.0-1.0-0.0","570b7b5fb9b52b00102d96f9","640759fa512f630a2bdc333d","6408c17ef3abdad510a25269","[6974]","","","[19]","[252]","252","352","233.02930820752613","[233.02930820752613]","[241.02930820752613]","[241]","0","0","1","0","498.8999999999942","1005.2399999999907","1000","","","0","training","",""
"","","","","","image-keyboard-response","10","218452","0.0-8.0-0.1","570b7b5fb9b52b00102d96f9","640759fa512f630a2bdc333d","6408c17ef3abdad510a25269","3713","img/training2.png"," ","","","","","","","","","","","","","","","","","","","","",""
